"topic","date"," time","place","url","date published","article text"
"accident","2023-05-11","02:30:00","{""Hamburg"", ""Hamburg"", ""Germany""}","https://news.google.com/rss/articles/CBMinAFodHRwczovL3d3dy5tYXJrZXRzY3JlZW5lci5jb20vcXVvdGUvc3RvY2svQVVSVUJJUy1BRy00MzY0MzkvbmV3cy9BdXJ1YmlzLUZ1cnRoZXItZmF0YWxpdHktYWZ0ZXItc2VyaW91cy1pbmR1c3RyaWFsLWFjY2lkZW50LWF0LUF1cnViaXMtaW4tSGFtYnVyZy00Mzg1NTE0Ny_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 13:15:32","Following a serious industrial accident at multimetal company Aurubis' plant in Hamburg at around 2:30 a.m. on May 11, 2023, a third worker died on Friday of last week as a result of the accident. A first worker died shortly after arriving at the hospital immediately after the accident, and a second colleague died on the evening of May 11, 2023.  A nitrogen leak occurred during regular maintenance at the Primary Smelter Plant East (RWO). The three Aurubis employees were directly exposed. Rescue workers and the Plant Fire Department were immediately deployed.  ""We are deeply saddened by this terrible tragedy,"" Aurubis CEO Roland Harings said. ""Our hearts go out to their loved ones and everyone else affected. We want to express our deepest sympathy. There will be an internal memorial service for the deceased employees at the Hamburg plant on Tuesday at noon.""  Aurubis is working closely with the authorities as they conduct a complete and detailed investigation into the root cause of the"
"accident","2014-07-10","22:00:00","{""Houston"", ""Texas"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LnBtZy1zYy5jb20vcHJvZ3Jlc3NpdmVfam91cm5hbC9hcnRpY2xlX2QyY2RhZTQ2LWJhMmQtNWRhZS1hZWM1LWM3NDQ0M2VkMjkxZi5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:00:00","We have used your information to see if you have a subscription with us, but did not find one. Please use the button below to verify an existing account or to purchase a new subscription."
"accident","2017-05-05","21:50:00","{""Bracebridge"", ""Ontario"", ""Canada""}","https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vbXVza29rYXJhZGlvLmNvbS9uZXdzL2FydGljbGUvbW90b3JjeWNsZS1hY2NpZGVudC1zZW5kcy1vbmUtdG8taG9zcGl0YWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:12:05","On Saturday, at 9:50 a.m. Bracebridge OPP responded to a collision between a motorcycle and a pickup truck on Highway 118 near Ashley Lane in Bracebridge. The motorcycle operator, a 37-year-old person from Bracebridge, was transported to hospital with non-life-threatening injuries. Police have charged the operator of the truck, a 50-year-old Bracebridge resident, under the Provincial Offenses Act.  May is Motorcycle Safety Awareness Month and Bracebridge Ontario Provincial Police (OPP) is asking all road users to be extra vigilant when encountering motorcycles. Motorcycles are smaller and it can be difficult gauge their rate of speed. Please provide extra space for motorcycles while travelling and always err on the side of caution when making turning movements around them."
"accident","2023-07-25","14:00:00","{""Nagaon"", ""Assam"", ""India""}","https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vbmVpbmRpYWJyb2FkY2FzdC5jb20vMjAyMy8wNS8xNi9hc3NhbS1wb2xpY2Utb2ZmaWNlci1qdW5tb25pLXJhYmhhLWRpZWQtaW4tcm9hZC1hY2NpZGVudC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 03:31:03","Assam SI ( Sub-Inspector) Junmoni Rabha died in a road accident after her vehicle Maruti Alto collided with a truck in Jhakhalabandha in Nagaon district of Assam.  She was taken to hospital where she breathed last. The mishap took place on Monday night at 2 A.M.  Nagaon Superintendent of Police Leena Doley reached the accident spot. Report from sources her body has now been sent to Nagaon for post-mortem."
"accident","2023-03-04","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vY2FyaWJiZWFuLmxvb3BuZXdzLmNvbS9jb250ZW50L2Jlcm11ZGEtZm9vdGJhbGxlci1tYXJjby13YXJyZW4taWRlbnRpZmllZC1oaXQtcnVuLWNyYXNoLXZpY3RpbdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 19:15:00","The Bermuda Police Service (BPS) has identified the victim of last Sunday’s fatal hit and run accident as national footballer Marco Warren.  Inspector Kenten Trott of the Roads Policing Unit identified Warren as the victim today as he appealed for the driver to come forward.  “To the driver and occupants of the vehicle involved, we are appealing to you to do the right thing. You did not do the right thing at the first opportunity, but you can still help ease the pain of Marco’s family,” Trott stated.  “How would you feel if your loved one was lost in such a manner?”  He continued: “Somebody knows something. Somebody knows that their child, their family member, their friend, their cousin came home with damage to their vehicle on Sunday morning.”  Trott also appealed to mechanics and body shop owners to report any suspicious damage to vehicles arriving at their businesses.  Trott said investigators are looking at CCTV footage but they still need additional help.  Warren,29, was walking "
"accident","2023-05-13","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMigAFodHRwczovL2RhaWx5dm9pY2UuY29tL25ldy15b3JrL3NhcmF0b2dhL2NhcGl0YWwtcmVnaW9uLWZpcmUtY2hpZWYta2lsbGVkLWluLWFjY2lkZW50LXJlbWVtYmVyZWQtYXMta2luZC1oYXJkd29ya2luZy1mYW1pbHktbWFuL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 19:45:00","In Columbia County, North Chatham Fire Department Chief Brent Gawron died Saturday, May 13, at his home in the hamlet of Malden Bridge, according to a GoFundMe campaign created the following day.  “Brent passed away last night in a tragic accident at home,” reads the campaign. “This loss is unimaginable for us all but especially for his wife, Erinn and their two daughters, Lucy and Penelope.”  The campaign’s creators, Jason and Catherine Squires, did not elaborate on a cause of death.  “Brent was a kind, hardworking family man. He was a doting, loving husband and an amazing father to their two girls,” their tribute continues. “His dedication to his family was second to none.”  In addition to his duties at the Chatham Fire Department, Gawron also worked as a highway maintenance worker for the New York State Department of Transportation, according to his Facebook profile.  An online wedding announcement shows that he married his wife Erinn in Hannock, Massachusetts, in June 2022.  As ne"
"accident","2023-05-22","Not Discerned","{""AlAqabah"", ""Akaba"", ""Jordan""}","https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vZW4ucm95YW5ld3MudHYvbmV3cy80MTc3Ny8yMDIzLTA1LTE10gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:51:50","Social media users circulated Monday a video showing a truck driver crashing into a number of vehicles that were inside a tunnel in Aqaba.  The camera, which was showing both the driver's face and the road, was installed inside the truck he was driving.  In the video, people are shown coming out of the windows and celebrating something.  The driver was driving between 30-60km/h, as shown on the truck's speed monitor.  The driver can be heard screaming before crashing into the vehicles.  Also Read: One dead, 11 injured in eight-vehicle pileup in Aqaba  Sunday, a person died and 13 others were injured after seven vehicles collided with a truck in Aqaba, according to Roya's correspondent.  The injured were transferred to a hospital.  An investigation was opened into the accident to find out its causes."
"accident","2023-05-13","Not Discerned","{""Laurel"", ""Maryland"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiWmh0dHA6Ly9maXJzdHN0YXRldXBkYXRlLmNvbS8yMDIzLzA1L3Ryb29wZXJzLWlkZW50aWZ5LW1hbi1raWxsZWQtaW4tc2VhZm9yZC1hcmVhLWFjY2lkZW50L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 14:53:44","The Delaware State Police have identified the man who died in a fatal single motor vehicle crash on May 13, 2023, in the Seaford area as Gary Workman Jr., 38, of Laurel, Delaware.  Original Story  Officials said on May 13, 2023, at approximately 9:37 p.m., a 1998 Dodge Dakota operated by a 38-year-old male of Laurel was traveling southbound in the left lane of Sussex Highway (Route 13) just south of Cannon Road (Route 18). For unknown reasons, the Dodge swerved to the right, began to slide in a southwesterly direction, and rotated in a counterclockwise manner.  The Dodge slid across the right lane and then the shoulder of Sussex Highway, before exiting the west edge of the roadway and through a steep ditch. The Dodge continued traveling in a southwesterly direction until the front of the vehicle struck the support of a large sign.  Delaware State Police are investigating a fatal single motor vehicle collision that occurred in the Seaford area on Saturday night.  The 38-year-old male o"
"accident","2018-05-13","Not Discerned","{""Karimnagar"", ""Telangana"", ""India""}","https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3Lm5kdHYuY29tL2VudGVydGFpbm1lbnQvYWRhaC1zaGFybWEtc2hhcmVzLWhlYWx0aC11cGRhdGUtYWZ0ZXItYWNjaWRlbnQtbm90aGluZy1zZXJpb3VzLW5vdGhpbmctbWFqb3ItNDAzNTQzMtIBfmh0dHBzOi8vd3d3Lm5kdHYuY29tL2VudGVydGFpbm1lbnQvYWRhaC1zaGFybWEtc2hhcmVzLWhlYWx0aC11cGRhdGUtYWZ0ZXItYWNjaWRlbnQtbm90aGluZy1zZXJpb3VzLW5vdGhpbmctbWFqb3ItNDAzNTQzMi9hbXAvMQ?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:36:00","Image was shared by Adah Sharma.(courtesy: adah_ki_adah)  Actress Adah Sharma, who was last seen in the much-talked-about film The Kerala Story, met with an accident on Sunday. Following the accident, Adah Sharma shared a health update on social media confirming that she and the whole team are fine. In her post on Instagram and Twitter, Adah Sharma said, “I'm fine guys. Getting a lot of messages because of the news circulating about our accident. The whole team, all of us are fine, nothing serious, nothing major but thank you for the concern [heart emojis].” As per a report by ETimes, the team of the film including Adah Sharma was scheduled to join an event in Karimnagar, which was then called off due to the accident.  Meanwhile, on the occasion of Mother's Day, Adah Sharma shared a bunch of images with her mother and grandmother, as well as the actors who played her mother and grandmother in The Kerala Story. In the caption, she said, “For Mother's Day this year mixing up Reel and Re"
"accident","2017-07-10","22:00:00","{""Louisville"", ""Colorado"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmttenUuY29tL25ld3MvYWNjaWRlbnQtaW4tc3Qtam9zZXBoLWxlYXZlcy1va2xhaG9tYS1tYW4taW5qdXJlZC9hcnRpY2xlX2I0MDg1ODY4LWYzOTAtMTFlZC1iZGE4LWVmZTc4MmM0NDNjMS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 02:23:00","Success! An email has been sent to with a link to confirm list signup."
