"topic","date"," time","place","url","date published","article text"
"birth","2023-01-29","Not Discerned","{""Toledo"", ""Ohio"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiQmh0dHBzOi8vd3d3Lmp1c3RpY2UuZ292L3VzYW8tc2R0eC9wci93b21hbi1hZG1pdHMtc211Z2dsaW5nLW1pbm9yc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 18:03:56","McALLEN, Texas – A 22-year-old resident of Toledo, Ohio, has pleaded guilty to transporting an undocumented alien, announced U.S. Attorney Alamdar S. Hamdani.  On Jan. 29, Maria Aguilar arrived at the Hidalgo port of entry with three minors in her vehicle. At that time, she claimed they were her relatives and presented Ohio birth certificates.  Law enforcement noticed the children appeared nervous and ultimately discovered the birth certificates were for other people.  Aguilar admitted the minors were not relatives, but undocumented aliens, and expected to be paid $4,700 to smuggle the minors into the United States.  U.S. District Judge Ricardo Hinojosa will impose sentencing Aug. 17. At that time, Aguilar faces up to 10 years in prison and a possible $250,000 maximum fine.  She was permitted to remain on bond pending that hearing.  Customs and Border Protection conducted the investigation. Assistant U.S. Attorney Theodore Parran III prosecuted the case."
"birth","1881-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMihAFodHRwczovL3d3dy5kZWNjYW5jaHJvbmljbGUuY29tL25hdGlvbi9pbi1vdGhlci1uZXdzLzE2MDUyMy9mYXJtZXJzLXBheS10cmlidXRlLXRvLXNpci1hcnRodXItY290dG9uLW9uLTIyMHRoLWJpcnRoLWFubml2ZXJzYXJ5Lmh0bWzSAYgBaHR0cHM6Ly93d3cuZGVjY2FuY2hyb25pY2xlLmNvbS9hbXAvbmF0aW9uL2luLW90aGVyLW5ld3MvMTYwNTIzL2Zhcm1lcnMtcGF5LXRyaWJ1dGUtdG8tc2lyLWFydGh1ci1jb3R0b24tb24tMjIwdGgtYmlydGgtYW5uaXZlcnNhcnkuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:33:45","Published on: May 15, 2023 | Updated on: May 15, 2023  Former Minister Vadde Sobhanadreeswara Rao, MLA Malladi Vishnu, Congress leader Kolanukonda Sivaji and CPM Leaders Kesava Rao paying floral tributes to statue of Sir Arthur Cotton. (DC Image)  KAKINADA: Public and private organisations of Dulla village in Kadiam mandal of East Godavari district on Monday paid tributes to Sir Arthur Cotton, who got the Dowleswaram Barrage constructed, on his 220th birth anniversary.  Led by farmer Sathi Bhaskara Reddy, people performed ‘abhishekam (milk bath and paddy bath)’ to a statue of Sir Arthur Cotton, amid Vedic chants, installed at Bhaskara Reddy’s residence.  Bhaskara Reddy said that before the construction of the Dowleswaram Barrage, people used to face nature’s fury, in the form of cyclones and floods.  Nekkanti Srinivas, the president of the Sir Arthur Cotton Farmers’ Association, paying tributes at Alamaru, said that the Alamuru water locks regulate Kotipalli and Korangi canals, coveri"
"birth","2017-10-01","10:00:00","{""Birmingham"", ""Alabama"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmJpcm1pbmdoYW1tYWlsLmNvLnVrL25ld3MvbWlkbGFuZHMtbmV3cy9ibGFjay1tdW1zLXNhbmR3ZWxsLXdlc3QtYmlybWluZ2hhbS0yNjgzMTk3MtIBZGh0dHBzOi8vd3d3LmJpcm1pbmdoYW1tYWlsLmNvLnVrL25ld3MvbWlkbGFuZHMtbmV3cy9ibGFjay1tdW1zLXNhbmR3ZWxsLXdlc3QtYmlybWluZ2hhbS0yNjgzMTk3Mi5hbXA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 04:30:00","Pregnant black women in Sandwell and West Birmingham reportedly experienced 'overt racism' and were regularly 'made to feel invisible', with their fears and concerns ignored, new research has found.  One local mum claimed the late miscarriage of her baby was because her repeated worries were dismissed. Another reported being told 'all you people are the same' during an exchange with a health worker immediately after giving birth. The experiences are recorded in a new report Inequalities in Maternity Services in West Birmingham, produced by Healthwatch Birmingham.  It adds to a body of evidence highlighting the alleged unequal treatment experienced by women from ethnic minorities which is claimed to contribute to much higher rates of infant mortality, maternal death and still birth among women of colour. The statistics are particularly weighted against women from overseas, and non English speakers.  READ MORE: Baby death rates in Birmingham nearly double the national average - call for"
"birth","2023-01-01","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5jb3R0b253b29kaG9sbGFkYXlqb3VybmFsLmNvbS8yMDIzLzA1LzE1Lzg5Mjc4L2JpcnRoaW5nLXBvb2xzLW1hcmtldC0yMDIzLW1ham9yLWRyaXZlcnMtYWN0aXZlLWJpcnRoLXBvb2xzLWVkZWwtaW1tZXJzeXMtZmVicm9tZWQtbGEtYmFzc2luZS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 12:36:08","Birthing Pools Market 2023 published by MarketsandResearch.biz is intended to present a brief introduction and market overview, in which industry is first defined before estimating its market scope and size. The report elaborates on the market scope and market size estimation. The data gathered in the report is appropriately tabulated and classified to analyze the Compound Annual Growth Rate (CAGR) of the market. The research is used to assess the market in the timeline forecast from 2023 to 2029.  The drivers, limitations, and opportunities are listed for the global Birthing Pools industry, followed by industry news and policies. The study also includes an industry overview of emerging innovations focused on growth opportunities and the competitive strategic background that can drive market growth. This is followed by an overview of the market segmentation such as type, application, and region.  DOWNLOAD FREE SAMPLE REPORT: https://www.marketsandresearch.biz/sample-request/352036  Th"
"birth","2016-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiP2h0dHBzOi8vMTA3OWlzaG90LmNvbS90aGUtd2Vla25kLWNoYW5nZXMtYmlydGgtbmFtZS1mYW5zLXJlYWN0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:10:48","It looks like The Weeknd is forging ahead with his plans to retire his stage name and be known by his real name Abel Tesfaye.  On Monday (May 15), The Weeknd changed his Twitter and Instagram account handles to his birth name Abel Tesfaye. This comes as the R&B singer revealed in a recent W magazine cover story that he's ready to enter the next phase in his musical career and leave his Weeknd persona behind.  ""It's getting to a place and a time where I’m getting ready to close the Weeknd chapter,"" he told the publication. ""I'll still make music, maybe as Abel, maybe as The Weeknd. But I still want to kill The Weeknd. And I will. Eventually. I'm definitely trying to shed that skin and be reborn.""  Following the name switch on his social media channels, The Weeknd retweeted a follower referencing his ""disappearance"" for Abel Tesfaye.  ""@theweeknd for 12 years has watered us,nourished copiously with perfect and timeless productions,"" the tweet began. ""The sum of the masterpieces is incal"
"birth","2017-12-10","10:00:00","{""Geneva"", ""Illinois"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMijgFodHRwczovL3BtbmNoLndoby5pbnQvbmV3cy1hbmQtZXZlbnRzL25ld3MvaXRlbS8xNS0wNS0yMDIzLWJvcm4tdG9vLXNvb24tYS1kZWNhZGUtb2YtY2hhbmdlLWFuZC1jaGFuZ2UtZm9yLXRoZS1uZXh0LWRlY2FkZS1zdXBwb3J0LWZyb20taGNwYS1z0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 09:26:20","The Born Too Soon: Decade of Action has highlighted that whilst encouraging progress has been made to prevent and protect preterm birth, much more concerted action is needed.  Every 2 seconds, a baby is born too soon. Every 40 seconds, one of those babies dies. In the last decade, preterm birth rates have not changed in any region of the world. Coverage is highly inequitable and challenges disproportionately affect those most vulnerable. For example, nearly 1 in 10 preterm babies are born in the 10 most fragile countries affected by humanitarian crises where accessing care is particularly challenging.  This is unacceptable as the majority of related deaths and disabilities are preventable. We have in our hands the cost-effective solutions to ensure that every woman has access to high-quality reproductive and maternal care, and that every baby born too soon – and other vulnerable newborns – can survive and thrive. It is our job to implement these solutions comprehensively in every sett"
"birth","2023-02-01","Not Discerned","{""NewCastle"", ""Colorado"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vbmV3cy55YWhvby5jb20vZml2ZS1ncmFuZGNoaWxkcmVuLWJvcm4td2l0aGluLWZpdmUtMDM1OTAwNTQ4Lmh0bWzSAVFodHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvZml2ZS1ncmFuZGNoaWxkcmVuLWJvcm4td2l0aGluLWZpdmUtMDM1OTAwNTQ4Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 03:59:00","May 15—Jay and Beth Anderson's family has literally doubled in size.  Within five weeks, the Scott Township couple had five grandchildren born, including triplets.  ""It's been a busy five weeks,"" said Jay, co-owner of Anderson Bros Tool Co. in New Castle. ""We're taking one day to the next.""  ""Actually it hasn't sunk in yet,"" added Beth, a court reporter at the Lawrence County Courthouse. ""I think when I see them all together, it will be kind of real.""  High school sweethearts who graduated from Laurel in 1980, the Andersons, both 61, celebrated their 40th wedding anniversary on Mother's Day. The couple had three children, including twins.  Their daughter Kierston Blenheim, 32, gave birth to triplet girls on April 1. Myles, Piper and Eloise ""Elle"" arrived more than two months early. Kierston and her husband, Alex, live in the Philadelphia suburb of Havertown.  Kierston's twin, Kaitlyn Sorensen, and her husband, Phil, of Erie had a daughter on April 25. Murphy joins a brother, Easton, w"
"birth","2023-12-01","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm9rLmNvLnVrL2NlbGVicml0eS1uZXdzL2xhdXJhLWFuZGVyc29uLWJpcnRoLXBsYW4tcHJlZ25hbmN5LTI5OTYyMTAx0gFUaHR0cHM6Ly93d3cub2suY28udWsvY2VsZWJyaXR5LW5ld3MvbGF1cmEtYW5kZXJzb24tYmlydGgtcGxhbi1wcmVnbmFuY3ktMjk5NjIxMDEuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 07:20:00","Something went wrong, please try again later.  Invalid email Something went wrong, please try again later.  Love Love Island? Our Factor 50 email brings all the goss direct to your inbox  Mum-to-be Laura Anderson has revealed she is hoping for a water birth when her daughter with Gary Lucy arrives.  The former Love Island star - who is 25 weeks pregnant - revealed she’s taken a hypnobirthing course and is aiming for a water birth as she’s heard good things about the effect of warm water on certain parts of the body during it.  The 34-year-old told OK!: “I took a hypnobirthing course which was quite interesting.  “I’d quite like to have a water birth – I think the heat is good for your back.""  She added: “I don’t think you can really plan these things though. I’m trying to educate myself on all the things that could happen.”  Laura’s pregnancy journey has been what she describes as a “rollercoaster"". Shortly after announcing the lovely news she’s having a baby with ex Hollyoaks star Ga"
"birth","2023-05-22","Not Discerned","{""Calcutta"", ""WestBengal"", ""India""}","https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm1pbGxlbm5pdW1wb3N0LmluL2JlbmdhbC9jZWxlYnJhdGluZy1iaXJ0aC1jZW50ZW5hcnktb2YtYXV0ZXVyLW1yaW5hbC1zZW4tZXhwby1vbi01MTg3NjLSAWhodHRwczovL3d3dy5taWxsZW5uaXVtcG9zdC5pbi9hbXAvYmVuZ2FsL2NlbGVicmF0aW5nLWJpcnRoLWNlbnRlbmFyeS1vZi1hdXRldXItbXJpbmFsLXNlbi1leHBvLW9uLTUxODc2Mg?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 19:15:47","kolkata: A champion of low-budget films, Mrinal Sen had a penchant to depict social reality through his films, using new techniques and formats. Kunal Sen believed his father would have adapted to the technological advancements to make low-budget films.    From ‘Mrigayaa’, ‘Calcutta 71’, ‘Kharij’, ‘Ek Din Pratidin’, to ‘Bhuvan Shome’, Sen, who gave birth to a new cinema movement in India, highlighted the middle-class lives in the city through most of his films.  However, as Anjan Dutt rightly pointed out, Sen’s films threw questions at the audience, actors and even himself. However, he never sought solutions.  Kolkata is celebrating the birth centenary of the master filmmaker. On Monday, an eight-day birth centenary celebration, titled ‘Sentenary’ kicked off at Gorky Sadan. Beginning Monday, (May 15), the celebrations which comprise exhibitions, talk shows and film screenings, will continue till May 22.  Madhabi Mukherjee, who stole our hearts forever with her performance in ‘Baishe S"
"birth","2023-05-20","Not Discerned","{""Kukatpalle"", ""Telangana"", ""India""}","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmFwN2FtLmNvbS9sdi0zNzQxMTYtbGl2ZS1qci1udHItaW52aXRlZC10by1jZWxlYnJhdGUtbnRycy1iaXJ0aC1jZW50ZW5hcnktd2l0aC1ncmFuZC1ldmVudNIBamh0dHBzOi8vd3d3LmFwN2FtLmNvbS9hbXAvdm4vMzc0MTE2L2xpdmUtanItbnRyLWludml0ZWQtdG8tY2VsZWJyYXRlLW50cnMtYmlydGgtY2VudGVuYXJ5LXdpdGgtZ3JhbmQtZXZlbnQ?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:18:19","15-05-2023 Mon 15:48 | 2  The NTR Souvenir Committee, headed by TD Janardhan, is in full swing preparing for the centennial birth celebrations of legendary actor and politician NTR. The grand commemoration has been slated for May 20 at Kukatpally, with an exceptional invitation being extended to the famed Jr NTR.    The committee is planning an array of activities for the centenary celebrations, which include the launch of an exclusive website, 'Jayaho NTR', and the release of a meticulously designed souvenir, 'Shakapurushudu'. Both endeavors are aimed at honoring NTR's remarkable life and enduring legacy.    A comprehensive list of invitees was thoroughly deliberated during a strategic meeting held at the residence of TDP chief, Chandrababu Naidu. Nandamuri Balakrishna and Ramakrishna have been appointed to supervise the program following Chandrababu's directives. Consequently, the committee has rolled out invitations to NTR's family members, such as Jr NTR, Kalyan Ram, and Daggubati"
