"topic","date"," time","place","date published","article text","url"
"accident","2023-05-18","Not Discerned","{""Henderson"", ""Nevada"", ""UnitedStates""}","Thu 18 May 2023 15:29:00","MASON COUNTY, W.Va. (WSAZ) - Emergency crews in Mason County are on the scene of a crash involving a West Virginia Department of Transportation vehicle.  Dispatchers said the crash happened on old U.S. highway 35 near Henderson Thursday morning.  Mason County Sheriff Corey Miller said a dump truck is the only vehicle involved in the crash.  Sheriff Miller said the driver suffered non-life threatening injuries.  Check back with WSAZ for updates.  Copyright 2023 WSAZ. All rights reserved.","https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LndzYXouY29tLzIwMjMvMDUvMTgvZW1lcmdlbmN5LWNyZXdzLXJlc3BvbmQtYWNjaWRlbnQtaW52b2x2aW5nLXd2LWRvdC10cnVjay8_b3V0cHV0VHlwZT1hcHBz0gFnaHR0cHM6Ly93d3cud3Nhei5jb20vMjAyMy8wNS8xOC9lbWVyZ2VuY3ktY3Jld3MtcmVzcG9uZC1hY2NpZGVudC1pbnZvbHZpbmctd3YtZG90LXRydWNrLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-05-19","Not Discerned","{""Suva"", ""Central"", ""Fiji""}","Fri 19 May 2023 02:49:59","An accident at the Edinburgh Drive roundabout in Suva is causing major traffic at the entrance of the city.  A container truck and a mini-van are involved in the accident.  Police are at the site and controlling traffic.","https://news.google.com/rss/articles/CBMiOGh0dHBzOi8vd3d3LmZiY25ld3MuY29tLmZqL25ld3MvYWNjaWRlbnQtY2F1c2VzLXRyYWZmaWMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-06-16","Not Discerned","{""Wellesley"", ""Massachusetts"", ""UnitedStates""}","Thu 18 May 2023 16:51:53","WELLESLEY, MA–Twenty local construction firms have been named winners of the 2022 National Associated General Contractors of America Safety Awards, a major accomplishment in a year which saw the lowest average accident incidence rate in history.  The Associated General Contractors of Massachusetts (AGC MA) submitted applications from their member companies, 18 of which had no injuries reported onsite. In addition, firms with incidence rates less than half the national average will receive the AGC MA Safety Merit Award.  “Year after year AGC MA members are recognized for safety excellence,” says AGC MA Director of Safety Services Chris Ziegler. “It’s a testament to the collaborative culture among our area safety professionals and that our company leaders put working safely above all else.”  Local awardees will be recognized at the annual AGC MA Safety Awards Luncheon at the Westin Copley Place on Friday, June 16th. Visit www.agcmass.org to learn more.  “We couldn’t be prouder of the work that Chris and the AGC MA Safety Committee put in to develop innovative training programs, share best practices, and support one another,” says AGC MA CEO John Ferrante. “We have a lot of big things in the works to take industry safety to the next level and hope to have even more companies on this list next year.”  National AGC Safety Award Winners  Auburn Construction Co Inc  Berkeley Building Company  Bond Civil & Utility Construction, Inc.  Colantonio, Inc.  Columbia  Commodore Builders  Construction Coordinators, Inc.  Elaine Construction, Inc.  F.W. Madigan Company, Inc.  Gilbane Building Company  Lauring Construction Co., Inc.  Lee Kennedy Co., Inc.  Sea-Dar Construction  Senate Construction Corp  Shawmut Design and Construction  Siena Construction Corporation  TOCCI  W.S. Kenney Co., Inc.  W.T. Rich Company, Inc.  Walsh Brothers, Inc.  AGC MA Safety Merit Award Winners  Consigli Construction Co., Inc.  Dellbrook | JKS Construction  Dimeo Construction Company  Harry Grodsky & Co., Inc.  United Civil, Inc.  Share this: LinkedIn  Twitter  Facebook  Print  Email    Related","https://news.google.com/rss/articles/CBMijgFodHRwczovL2Jvc3RvbnJlYWxlc3RhdGV0aW1lcy5jb20vaW4teWVhci13aXRoLWxvd2VzdC1jb25zdHJ1Y3Rpb24tYWNjaWRlbnQtcmF0ZS1pbi1oaXN0b3J5LTIwLW1hc3NhY2h1c2V0dHMtZmlybXMtd2luLW5hdGlvbmFsLXNhZmV0eS1hd2FyZHMv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-05-14","09:35:00","Not Discerned","Thu 18 May 2023 16:47:56","Two Methow Valley residents were uninjured in a car-motorcycle collision Sunday (May 14) on Highway 20 near Mazama, but the motorcycle rider was airlifted to the Harborview trauma center in Seattle after the accident.  According to the Washington State Patrol, the car’s driver, Sarah Gilman, 41, of Winthrop, and passenger Ann Diamond, 61, of Mazama, were westbound on Highway 20 at about milepost 178, around 9:35 a.m., when Gilman slowed down and began a left turn. The motorcyclist, who was also westbound behind Gilman’s car, attempted to pass and then collided with driver’s side of the car, the State Police said. Both vehicles came to rest on the right shoulder.  Gilman and Diamond, who were both wearing seatbelts, were not injured, the State Patrol said. The motorcyclist was identified as a 45-year-old man from Bellingham, but his name was not provided in the State Police report. The State Police said the motorcyclist was not wearing a USDOT compliant helmet.  It was not known if alcohol or drugs were involved, according to the State Police report.  Several valley residents also reported coming across the scene of a one-car injury accident on Highway 20 near the Weeman Bridge on Sunday evening, involving another injured person being airlifted to Harborview. The car was reportedly well off the road and had only one occupant. The State Police had not filed a report on the accident as of early this week.","https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vbWV0aG93dmFsbGV5bmV3cy5jb20vMjAyMy8wNS8xOC90d28taGlnaHdheS0yMC1hY2NpZGVudHMtb3Zlci10aGUtd2Vla2VuZC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-10-03","Not Discerned","{""California"", ""Maryland"", ""UnitedStates""}","Thu 18 May 2023 20:50:30","By Kathryn Doorey  Click here for updates on this story  WAIKAPU, Hawaii (KITV) — A Good Samaritan spoke to KITV4 after he came to the aid of a victim who was hit while riding her moped, and dragged by a car.  The victim, a 32-year-old woman, was allegedly rear-ended by suspect Jermaine Mudong while riding her moped southbound on Honoapiilani Highway.  The woman was caught in the undercarriage of Mudong’s car and dragged a “significant” distance before she was released. Her condition was last listed as critical, after being taken to the Maui Memorial medical center.  “It was one of the worst accidents I’ve seen,” explains Pilliod, who says he arrived on scene where the victim was, just after the accident. “Her shoulder was torn open from being dragged down the road. She was bleeding from her forehead.”  Pilliod applied pressure to the bleeding using towels, and other bystanders helped. His focus was to keep her awake, while stopping the bleeding, until medics arrived.  “She was breathing the entire time, which is pretty much a miracle. [The accident] was a bad one. One gentleman — I think he saw the accident — and he was cussing and screaming and yelling. At one point I said, ‘Hey, you know, she needs positive energy, she needs a prayer, she needs goods spirits around her. They’ll be time for that later.’ He said, ‘Absolutely.’ Someone else came over and was praying over her. “  A GoFundMe has been set up for the victim here.  Pilliod says he was an EMT and firefighter back in California. “It makes you angry, it makes you want to cry. I just hugged my wife. I have a scooter…it’s time to go up for sale.”  The suspect was booked on multiple injury complaints, including operating a vehicle under the influence of an intoxicant, but he has since been released pending investigation.  Please note: This content carries a strict local market embargo. If you share the same market as the contributor of this article, you may not use it on any platform.","https://news.google.com/rss/articles/CBMie2h0dHBzOi8va2VzcS5jb20vbmV3cy8yMDIzLzA1LzE4L29uZS1vZi10aGUtd29yc3QtYWNjaWRlbnRzLWl2ZS1zZWVuLWdvb2Qtc2FtYXJpdGFuLWRlc2NyaWJlcy1oZWxwaW5nLXdhaWthcHUtY3Jhc2gtdmljdGltL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2021-09-21","Not Discerned","{""Montana"", ""Montana"", ""Bulgaria""}","Thu 18 May 2023 16:34:47","Ashley McBryde isn't just a solo musician — she's part of a band, and the camaraderie she describes among herself and her bandmates sounds akin to being a member of a family.  However, that foundation was shaken within the past two years after McBryde and a bandmate both suffered serious, life-threatening accidents.  McBryde's accident occurred in September 2021 when a horse she was riding in Montana sped off uncontrollably. She fell off the horse and became unconscious upon hitting the ground, requiring ""life-saving"" measures to keep her breathing. She also suffered a concussion and a broken pelvis.  Thankfully, McBryde healed up and was able to resume touring. The band was handed another blow in December 2022, however, when bandmate Wes Dorethy suffered a ""near-fatal"" UTV accident. According to Dorethy's post about the situation, he underwent emergency surgery that saved his life, but still faced a long road to recovery.  When talking with Taste of Country's Adison Haager at the 2023 ACM Awards, McBryde says in the aftermath of both incidents, she and her band have made a concerted effort to treat each other and themselves with kindness.  Since then, only good things have followed.  ""We're taking better care of each other and better care of ourselves,"" she says. ""Since we started doing those things on purpose — it's not like we were crappy to each other — we started being more mindful about it, then I became a member of the Grand Ole Opry, and then I won a Grammy, and then we headlined RodeoHouston. All these amazing things, all this hard work that we've been putting in all these years has started paying off.""  The singer shared that even 18 months after her horseback riding accident, she was still struggling with vertigo and unable to do things she loves. She adds that the incidents have motivated herself and her bandmates to simply ""make better choices"" and stay healthy.  ""I was just like, 'Wow, that was so bad. It was so bad,'"" she says of the incident. ""We have to take better care of ourselves. So, right now no one's riding as much as a scooter. No ATVs, no skateboards, no horses.""  The two near-death experiences for herself and Dorethy also changed McBryde's songwriting process, as she now looks at life with newfound gratitude.  ""Songwriting-wise, it feels sort of like you can walk into the room knowing no matter what we create today, the thing that I wanted to be when I grew up, I am,"" she says. ""So, even if we don't get a song today, I'm so happy about who we are and the season that we're walking into.""  Despite her disastrous horseback riding session in 2021, McBryde says she will ride a horse again in the future, and she's working with a therapist to ward off any negative psychological effects from the accident.  ""I will be back on a horse,"" she says. ""I love riding horses.""  All-Time Scariest Bus Accidents Involving Country Artists:","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3lyay5jb20vaXhwLzIwNC9wL2FzaGxleS1tY2JyeWRlLWJhbmQtdGFraW5nLWJldHRlci1jYXJlLW9mLWVhY2gtb3RoZXItYWZ0ZXItYWNjaWRlbnRzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2016-11-15","Not Discerned","{""Shelbyville"", ""Tennessee"", ""UnitedStates""}","Thu 18 May 2023 16:13:00","Shelbyville, IN (46176)  Today  Rain. Thunder is possible early. Low near 55F. Winds NNW at 10 to 15 mph. Chance of rain 100%..  Tonight  Rain. Thunder is possible early. Low near 55F. Winds NNW at 10 to 15 mph. Chance of rain 100%.","https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5zaGVsYnluZXdzLmNvbS9uZXdzL3BlcnNvbi1kaWVzLWluLWFjY2lkZW50LWF0LWpvaG5zb24tc2hlbGJ5LWxpbmUvYXJ0aWNsZV82YWI4ZTA5YS1hOGViLTVjMDQtOTA1YS00MWUyZTgzZTQyYWIuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-05-16","14:00:00","{""Rogers"", ""Arkansas"", ""UnitedStates""}","Thu 18 May 2023 08:34:18","    One man died in a single-vehicle wreck in Rogers early Tuesday morning, according to a preliminary fatality report from the Benton County sheriff's office.  Tredis Allen, 31, of Rogers was driving south at high speed around 2 a.m. Tuesday near 801 N. Old Wire Road when he lost control of his 1998 Jeep Grand Cherokee and left the road, according to the report.  The Jeep hit a tree and Allen was pinned inside the vehicle, the report says.  A deputy investigating the crash reported that it was overcast and the road was wet at the time.    ","https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lm53YW9ubGluZS5jb20vbmV3cy8yMDIzL21heS8xOC9yb2dlcnMtbWFuLWtpbGxlZC1pbi1zaW5nbGUtdmVoaWNsZS1hY2NpZGVudC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","2023-05-16","Not Discerned","{""Shamrock"", ""Texas"", ""UnitedStates""}","Thu 18 May 2023 17:37:01","May 18, 2023  By News Director Jared Atha  The Texas Department of Public Safety responded to a crash Tuesday, that killed a Newcastle, Oklahoma man.  According to a report provided by the DPS, the crash occurred Tuesday at around 11:55 p.m. 11 miles east of Shamrock when a Dodge pickup truck towing a flat bed trailer was traveling eastbound on Interstate 40, while a semi-trailer was legally parked on improved shoulders.  Troopers stated that the driver of the pickup, 59-year-old Russell Mullican of Newcastle, failed to drive in a single lane, drove onto the shoulder and hit the left rear part of the semi-trailer.  Mullican was pronounced dead on the scene by the Wheeler County Justice of the Peace.  No other injuries were reported.  Copyright 2023 Paragon Communications. All rights reserved. This material may not be published, broadcast, rewritten, or redistributed without permission.","https://news.google.com/rss/articles/CBMiO2h0dHBzOi8vd3d3LmtlY29mbS5jb20vbmV3cy9mYXRhbC1hY2NpZGVudC1uZWFyLXNoYW1vY2stdHgv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"accident","1986-04-01","Not Discerned","{""Tallahassee"", ""Florida"", ""UnitedStates""}","Thu 18 May 2023 16:40:41","TALLAHASSEE — A measure now before Gov. Ron DeSantis would extend liability protections to private aerospace companies if crew members are injured or killed in spaceflights.  The legislation (SB 1318) was among 62 bills DeSantis received Tuesday. He has until May 31 to act on the proposal.  With the state seeing growth in private launches, the bill would cover crew members who are employees or contractors of companies such as SpaceX and others.  Senate bill sponsor Tom Wright, a New Smyrna Beach Republican who chairs the Senate Military and Veterans Affairs, Space and Domestic Security Committee, said earlier this year the proposal “would adapt Florida law to address the evolution of space flight, allowing company employees of SpaceX, Boeing, Blue Origin and so forth to fly to space under this.”  The law doesn’t cover ground crew members or change workers’ compensation rules.  The measure isn’t the only legislation now on DeSantis’ desk that has a tie to the space industry.  A series of road designations in a Department of Transportation bill (HB 21) includes the bridge on State Road 3 over the Canaveral Barge Canal in Brevard County being dedicated to Christa McAuliffe, the New Hampshire teacher killed in 1986 on the space shuttle Challenger.  The proposal would also name the new NASA Causeway Bridge on State Road 405 over the Indian River in Brevard County after astronaut Sally Ride.","https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vMjAyMy8wNS8xOC9kZXNhbnRpcy1nZXRzLWJpbGwtdG8tcHJvdGVjdC1zcGFjZXgtb3RoZXItZmlybXMtZnJvbS1hY2NpZGVudC1saWFiaWxpdHnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
