"topic","date"," time","place","date published","article text","url"
"assassination","2023-05-18","Not Discerned","Not Discerned","2023-05-19T08:30:44","Jemima Goldsmith warns people of fake Twitter profiles operating in the name of her sons Suleiman and Qasim.  In the past few days, several tweets from accounts impersonating the sons of former Prime Minister Imran Khan appeared on social media. The accounts posted pictures of Imran Khan’s sons with him in several posts along with emotional messages, expressing solidarity with the PTI chairman.  These accounts amassed a huge following within a passage of a few days. Jemima took to Twitter to warn people from following fake accounts. Her response came when a Twitter user asked her about the authenticity of the Twitter accounts.  Jemima criticized Twitter CEO Elon Musk for fake accounts of her children. In her tweet, she said, “Thanks @elonmusk Fake accounts pretending to be my children, created by imposters with a political agenda in Pakistan. This is exactly what I feared would happen when you took away Twitter’s verification blue ticks. FYI my children are not on social media & have no plans to be,” said Jemima in her tweet.  Thanks @elonmusk  Fake accounts pretending to be my children, created by imposters with a political agenda in Pakistan. This is exactly what I feared would happen when you took away Twitter’s verification blue ticks. FYI my children are not on social media & have no plans to be. https://t.co/60p8lTSwoU — Jemima Goldsmith (@Jemima_Khan) May 18, 2023  Elon Musk following his takeover of Twitter has changed the verification and blue-tick policy. As per the new policy, users can get a blue tick on their accounts after paying $8.  Read more: Jemima Goldsmith recalls spending Ramzan in Pakistan  The policy was criticized by Twitter users citing the issues of verification and authenticity of renowned figures. They argued that such policies would facilitate people creating fake accounts.  The sons of Imran Khan had visited him following his injury in the assassination attempt a few months ago. They stayed for a few days with him and then returned to England. The sons have been living with their mother Jemima in the UK following the separation between the couple.  Imran Khan married Reham Khan for the second time. The marriage did not last long and they parted ways within two years. Khan then married his spiritual guide Bushra Begum before becoming the prime minister in 2018.","https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3Lmdsb2JhbHZpbGxhZ2VzcGFjZS5jb20vamVtaW1hLXdhcm5zLW9mLWZha2UtcHJvZmlsZXMtaW1wZXJzb25hdGluZy1oZXItc29ucy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2021-01-01","Not Discerned","{""Gelendzhik"", ""Krasnodar"", ""Russia""}","2023-05-19T21:23:11","For free real time breaking news alerts sent straight to your inbox sign up to our breaking news emails Sign up to our free breaking news emails Please enter a valid email address Please enter a valid email address SIGN UP I would like to be emailed about offers, events and updates from The Independent. Read our privacy notice Thanks for signing up to the  Breaking News email {{ #verifyErrors }} {{ message }} {{ /verifyErrors }} {{ ^verifyErrors }} Something went wrong. Please try again later {{ /verifyErrors }}  Russian president Vladimir Putin has a secret network of underground tunnels that run beneath his palace hideaway by the Black Sea, unearthed plans suggest.  Mr Putin had a huge underground bunker built beneath Gelendzhik Palace, according to plans posted online by the engineering firm in charge of the project, with a network of tunnels lying around 50 metres under the surface.  The complex, first reported by Business Insider, is thought to have been constructed for protection in the event of a revolution or war and was built before Russia took over Crimea in 2014.  The £1bn palace is located on a verge overlooking the sea and takes up a 190,000 square-foot area. It even has its own church, ice rink, casino and hookah lounge.  (Alexei Navalny)  The labyrinth of hidden tunnels was revealed by jailed Russian opposition figure Alexei Navalny’s Anti-Corruption Foundation, after the defunct Russian construction firm Metro Style posted the diagrams on its website in the early 2010s to show off their work.  The bunkers appear to have a ventilation system, sewerage and a fresh water supply, while the walls are 15-inch concrete shells, as shown in the diagrams.  There is also an elevator shaft that connects the complex to the two tunnels, as revealed in one diagram - and the lower one has a walkway to the beach, as well as cable racks that could be used to bring electricity, lighting and fibre-optic cables to a command post.  Meanwhile, exits from both tunnels can be seen on the cliff face rising up from the sea to the palace.  Exits from both tunnels can be seen on the cliff face (Alexei Navalny/YouTube)  “This tunnel set-up has all kinds of safety and security,” said Thaddeus Gabryszewski, who is a structural engineer familiar with defensive structures and reviewed the diagrams for Business Insider. “There’s a fire system. There’s water, there’s a sewer. This is intended for someone to survive or escape.”  The engineering company described the project as an “underground complex for a resort” in Gelendzhik, the town closest to the Russian president’s palace, and it stretches across 6,500 square feet.  Speaking to Business Insider, Michael C Kimmage, who is a former State Department official and worked on Russia and Ukraine policy, said: ""Putin has a lot of anxiety about being the not-entirely-legitimate leader of Russia.  “So knowing that his legitimacy is not entirely secured by-elections, he is going to seek to maximise his personal safety through a complex of well-defended personal residences.""  There is also an elevator shaft that connects the complex to the two tunnels, as revealed in one diagram - and the lower one has a walkway to the beach (Wayback Machine / Metro Style)  The diagrams were taken down from Metro Style’s website in 2016, but they were still visible on the Wayback Machine, which is an archive of online content.  Then they were circulated in a community of so-called ”diggers”, which are a group of Russian citizens who visit and document forbidden sites.  An anonymous digger who said he was part of a group called “Sect Z” told Business Insider that he was sharing the images “because we are tired of Putin’s stupid face and want to show his paranoid underground transport”.  The bunkers have a ventilation system, sewerage and a fresh water supply, while the walls are 15-inch concrete shells, as shown in the diagrams (Wayback Machine / Metro Style)  The diagrams were taken down from Metro Style’s website in 2016, but they were still visible on the Wayback Machine, which is an archive of online content (Wayback Machine / Metro Style)  Last month, a protection officer for Mr Putin defected and called the Russian president a “paranoid war criminal”.  Gleb Karakulov, 35, who served as an engineer in the Federal Guard Service (FSO) presidential communications unit, claimed last month that Mr Putin opts to stay “in his bunker” rather than make trips because he is so paranoid about an assassination attempt.  The Russian president also allegedly travels with a 2.5 metre high box to prevent his secret talks from leaking and Western bugging.  Mr Karakulov claimed that the Russian president is isolating for a fourth year in a row, out of fear of becoming infected with Covid-19, and staff can only work in the same room as him once they have been in isolation for two weeks.  Mr Putin does not use a mobile phone or the internet, meaning his knowledge of events is filtered via the secret services - and what he watches on state-controlled Russian TV, according to Mr Karakulov.  The diagrams were circulated in a community of so-called ‘diggers’ , which are a group of Russian citizens who visit and document forbidden sites (Wayback Machine / Metro Style)  Speaking about the war in Ukraine, Mr Karakulov issued an appeal to officers to come forward with evidence about Mr Putin as a “war criminal,” saying the war is “beyond the pale” and “defies reason”.  When the organisation of opposition leader Mr Navalny initially published an expose of the Russian president’s Black Sea palace in 2021, thousands of Russians protested, holding up gold-painted toilet brushes in reference to a £700 utensil allegedly found in the residence.  Opposition leader Alexei Navalny published an expose of the Russian president’s Black Sea palace in 2021 (Copyright 2021 The Associated Press. All rights reserved.)  Mr Putin has denied owning the palace. Meanwhile, his billionaire childhood friend claimed that the property belonged to him not the president, who he said had nothing to do with it.  But the palace, which is surrounded by 17,000 acres of woods, is constantly protected by Mr Putin’s security team and protected by a no-fly zone – and the Kremlin failed to explain why this was the case if the president does not live there.","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL25ld3Mvd29ybGQvZXVyb3BlL3B1dGluLWJ1bmtlci1zZWNyZXQtdHVubmVscy1ydXNzaWEtYjIzNDE5NTcuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","1963-11-22","Not Discerned","{""Dallas"", ""Texas"", ""UnitedStates""}","2023-05-19T09:32:31","We will use the details you have shared to manage your registration. You agree to the processing, storage, sharing and use of this information for the purpose of managing your registration as described in our Privacy Policy.  Would you like to receive The WeekDay newsletter ?  The WeekDay newsletter provides you with a daily digest of news and analysis.  We will use the details you have shared to manage your newsletter subscription. You agree to the processing, storage, sharing and use of this information for the purpose of managing your subscription as described in our Privacy Policy.  We will use the information you have shared for carefully considered and specific purposes, where we believe we have a legitimate case to do so, for example to send you communications about similar products and services we offer. You can find out more about our legitimate interest activity in our Privacy Policy.  If you wish to object to the use of your data in this way, please tick here.  'We' includes The Week and other Future Publishing Limited brands as detailed here.","https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnRoZXdlZWsuY28udWsvbmV3cy93b3JsZC1uZXdzL21pZGRsZS1lYXN0Lzk2MDkwNi9pbXJhbi1raGFuLWFycmVzdC1wYWtpc3Rhbi1lbnRlcnMtdW5jaGFydGVkLXRlcnJpdG9yedIBdmh0dHBzOi8vd3d3LnRoZXdlZWsuY28udWsvbmV3cy93b3JsZC1uZXdzL21pZGRsZS1lYXN0Lzk2MDkwNi9pbXJhbi1raGFuLWFycmVzdC1wYWtpc3Rhbi1lbnRlcnMtdW5jaGFydGVkLXRlcnJpdG9yeT9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2023-05-29","Not Discerned","{""Okitipupa"", ""Ondo"", ""Nigeria""}","2023-05-20T06:15:58","• Pirisola seeks action on refineries, graft, unemployment As the nation prepares to usher in a new administration at different levels of government on May 29, the political leaders have been tasked to manage carefully and fairly the diversity of the country such that no section will feel neglected in the interest of peace, survival of democracy and national development. Essentially, appointments into offices should be done in a way that gives every part of the county a sense of belonging, which is an antidote to agitations. The Anglican Diocese On The Coast, Ondo State gave the advice at the First Session of its 10th Synod held at the Cathedral Church of Ebenezer, Ilutitun in Okitipupa Local Government Area last weekend. The Diocesan, the Rt. Rev’d Oluseyi Pirisola, in his charge, thanked God for keeping the nation united and peaceful in the face of happenings that could have torn its fabrics into pieces. He urged relevant authorities to address the rapidly falling value of the naira that has made the prices of goods and services to go beyond the reach of most Nigerians. The Synod lamented the resurgence of cruel killing of innocent citizens after the general elections, urging security agencies to work harder to tackle the menace. The Anglicans called for revival of the nation’s refineries for optimal production, revival of agriculture and agro-allied companies as well as provision enabling environment for businesses to thrive so as to create employment opportunities for the people. They commended President Muhammadu Buhari’s administration for removal of railway and electricity generation, distribution and transmission from the Exclusive Legislative list thus allowing the state government to build and operate these amenities. The state governments were advised to quickly take advantage of the change of this policy to develop their own areas. The Independent National Electoral Commission (INEC) was admonished to study the complaints against the conduct of the 2023 general elections with a view to improving upon it in future elections for transparency and peace in the nation’s democratic process, just as the Federal Government was tasked to do everything within its power to avert constant strike in the universities. The Synod themed ‘The God who Hears, Cares and Intervenes’ was attended by eminent citizens, including Obagberume of Igbodigo, Oba Ebunoluwa Aiyeku; Halu of Ode Aye Kindgom, Oba Williams Akinlade; Majuwa of Morubodo Kingdom, Oba Ernest Idepefo; Gen. Olu Bajowa (rtd) represented by Chief Olu Akinbo; Prof Monone Omosule and Dr. (Mrs) Omosule of Obafemi Awolowo University, Ile Ife; Senator Boluwaji Kunlere (Chancellor) and Price Fioye Bajowa, former secretary to Ondo State government. Others are Bishop of the Diocese of Ile Oluji, the Rt. Rev’d Abel Ajibodu; Bishop of Idoani Diocese, Rt. Rev’d Oludare Agara; Vice Chairman, Okitipupa Local Government, Chief Ola Iwaeni; Mr Duro Olatunji, former Chairman of Briscoe Motors and former Chancellor, Barrister Timothy Akinyeye. To alleviate the negative impacts of unemployment in the socio-economic life of the citizens, especially the youth, the government was advised to give priority attention to the problem, just as it urged job seekers to acquire 21st-century skills that can easily fetch them gainful employment. Diocese On The Coast lamented high level of corruption and suggested that the menace be tackled through reformation of public administration and public finance management and strengthening the role of auditing agencies; creation of pathways that would give citizens relevant tools and social empowerment skills and opportunities to engage and participate in governance; provision of incentives for the general population to boldly report cases of corruption; intentional and adequate funding and strengthening of the bodies that prosecute corruption cases, EFCC and ICPC; and promotion of transparency and access to information. The church urged the Federal Government to end the epileptic power supply in the country which has forced many companies to relocate to neighbouring countries. Ondo State government was commended for laudable projects executed across the state, noting the establishment of the Amotekun Corps for safety of life and property and the Okitipupa-Igodan Bye Pass for improved transportation system within Ondo South axis. The delegates also praised the government for payment of salaries and pensions up to date, urging that the same attention be given to gratuities. The church, however, decried payment of salary in instalments by the government. As the state prepares to elect a new governor in 2024, the Synod appealed that the campaigns should be issue-based, devoid of calumny and character assassination and the election proper should be violent-free. The delegates decried continued darkness in Ondo South comprising Okitipupa, Irele, Ilaje and Ese-Odo Local Government areas due to disconnection from the national grid since 2014 and called for the intervention of the state government and other stakeholders to save the economy and socio-economic life of the affected places. The state government was advised to put pressure on the Federal Government to fix failed roads, including the Orita-Ilado to Gbagada Bridge, to reduce the economic wastage that farmers suffer on account of the bad condition of the roads.  Related","https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vdGhlc3RyZWV0am91cm5hbC5vcmcvb25kby1hbmdsaWNhbnMtdXJnZS1jYXJlZnVsLWhhbmRsaW5nLW9mLW5hdGlvbnMtZGl2ZXJzaXR5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","1979-11-26","Not Discerned","{""Baku"", ""Baki"", ""Azerbaijan""}","2023-05-19T19:38:20","The Foreign Ministry has roundly rejected any connection between Iran and the Azeri nationals recently arrested on a charge of links with Iranian organizations.  “Sadly, the government of the Republic of Azerbaijan has been arresting and keeping its citizens in custody for some time on a charge and false allegation of links with Iranian institutions,” the ministry’s spokesman Nasser Kanaani said on Thursday, ISNA reported.  The spokesperson dismissed any official or unofficial connection between Iran and the arrestees, stressing that the popular relationships between the citizens of the two countries are “heartfelt, emotional, historical, religious and even family-based.”  “The government of Azerbaijan should not attribute such deep-rooted and historical bonds of its nationals to security issues or associate them with neighbors.”  Kanaani noted that every government has the inherent right to take action against the law-breaking citizens, but made it clear that Baku’s move to arrest and imprison many citizens by making the allegation of connection with Iran is inadmissible and unacceptable.  Azerbaijan’s interior ministry, security service and the office of prosecutor general said in a joint statement on Tuesday that at least nine Azeri nationals have been arrested, suspected of being “linked to Iranian secret services and of plotting a coup and assassinations”.  The statement gave nine names and said several other people had been arrested.","https://news.google.com/rss/articles/CBMiYmh0dHBzOi8vZmluYW5jaWFsdHJpYnVuZS5jb20vYXJ0aWNsZXMvbmF0aW9uYWwvMTE4MTUzL2F6ZXJiYWlqYW4tcy1zZXJpZXMtb2YtYWxsZWdhdGlvbnMtZGlzbWlzc2Vk0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","1978-11-01","Not Discerned","{""SanFrancisco"", ""California"", ""UnitedStates""}","2023-05-19T14:25:00","Hide Transcript Show Transcript  BUSINESS CONDITIONS ARE BEHIND THE DECISION. SENATOR DIANNE FEINSTEIN SUFFERED SERIOUS COMPLICATIONS FROM HER BOUT WITH SHINGLES THAT LEFT HER UNABLE TO RETURN TO THE SENATE FOR NEARLY THREE MONTHS. HER SPOKESPERSON TOLD OUR PARTNERS AT THE SAN FRANCISCO CHRONICLE SHE SUFFERED FROM RAMSAY HUNT SYNDROME AND ENCEPHALITIS. ENCEPHALITIS IS THE INFLAMMATION OF THE BRAIN THAT CAUSES IT TO SWELL. FEINSTEIN SPOKESPERSON SAYS THOSE SYMPTOMS RESOLVE THEMSELVES AFTER SHE WAS RELEASED FROM THE HOSPITAL BACK IN MARCH. RAMSAY HUNT IS CHARACTERIZED BY FACIAL PARALYSIS AND HEARING LOSS IN ONE EAR. CAN ALSO CAUSE DAMAGE AND PAIN. THE SENATOR CONTINUES TO HAVE COMPLICATIONS FROM THIS SYNDROME, AND FEINSTEIN RETURNED TO CAPITOL HILL LAST WEEK WHERE SHE WILL HAVE A LIGHTER SCHEDULE. WE’RE TOLD SEVERAL CONGRESSIONAL MEMBERS HA  Advertisement Sen. Dianne Feinstein's office details previously unknown complications from shingles illness Share Copy Link Copy  Democratic Sen. Dianne Feinstein's office said Thursday that she is suffering from Ramsay Hunt syndrome, a complication from the shingles virus that can paralyze part of the face, and that she contracted encephalitis while recovering from the virus earlier this year.Feinstein, 89, had not previously disclosed those medical details, though she said in a statement last week that she had suffered complications from the virus. The longtime California senator returned from a more than two-month absence on May 10 after weeks of questions about her declining health and whether she would be back in the Senate at all.Adam Russell, a spokesman for Feinstein, said that the encephalitis, or inflammation of the brain, ""resolved itself shortly after she was released from the hospital in March."" Feinstein continues to have complications from the Ramsay Hunt syndrome, Russell said.Russell confirmed the two complications after the New York Times first reported them, raising questions about whether she had been hiding the extent of her illnesses. Upon her return last week, Feinstein was using a wheelchair and noticeably thinner, and has appeared confused at times when speaking to reporters or being wheeled through the halls.""The senator previously disclosed that she had several complications related to her shingles diagnosis,"" Russell said in the statement. ""As discussed in the New York Times article, those complications included Ramsay Hunt syndrome and encephalitis.""Feinstein's face has appeared partially paralyzed since she returned to the Senate, stirring some speculation about whether she had had a stroke. Ramsay Hunt syndrome is a complication that occurs when the shingles virus reaches a facial nerve near the ears. It can also cause hearing loss.Encephalitis can also be caused by shingles. The swelling of the brain can have a number of different symptoms, including personality changes, seizures, stiffness, confusion and problems with sight or hearing, according to the Mayo Clinic.Aides to Feinstein said last week that she is still recovering from her illness and would operate on a reduced schedule. Since she has returned, she has missed some votes where she was not needed. On Wednesday, for example, she missed the first three Senate votes of the day but appeared for the last two, in which the margin was much closer.Feinstein has faced questions for several years about her clearly declining health and her mental acuity. In February Feinstein said she would not run for re-election in 2024.But some Democrats have pushed for her to leave sooner. A member of the California congressional delegation, Democratic Rep. Ro Khanna, called on her to resign as she stayed away from Washington for more than ten weeks, and several other House progressives have echoed his call. And Senate Democrats were increasingly anxious during Feinstein's absence as they were unable to confirm some of President Joe Biden's judicial nominees with a narrow 51-49 majority. Video above: Sen. Feinstein returns to the Senate after absenceAs Democrats worried, Feinstein made an unusual request to be temporarily replaced on the Judiciary panel while she remained out of the Senate. But Republicans last month blocked a vote, saying there was little precedent for a temporary committee replacement and that they didn't want to help Democrats confirm the most partisan judges. Others said they thought Democrats were unfairly trying to push her out of office.Two weeks later, Democrats said that Feinstein would return to Washington.A senator for more than three decades, Feinstein has had a groundbreaking political career and shattered gender barriers. She was the first woman to serve as president of the San Francisco Board of Supervisors in the 1970s and the first female mayor of San Francisco. She ascended to that post after the November 1978 assassinations of then-Mayor George Moscone and City Supervisor Harvey Milk by a former supervisor, Dan White. Feinstein found Milk's body.In the Senate, she was the first woman to head the Senate Intelligence Committee and the first woman to serve as the Judiciary Committee's top Democrat.","https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lnd2dG0xMy5jb20vYXJ0aWNsZS9kaWFubmUtZmVpbnN0ZWluLXJhbXNheS1odW50LXN5bmRyb21lLXNoaW5nbGVzLWNvbXBsaWNhdGlvbnMvNDM5NDE3NTnSAWhodHRwczovL3d3dy53dnRtMTMuY29tL2FtcC9hcnRpY2xlL2RpYW5uZS1mZWluc3RlaW4tcmFtc2F5LWh1bnQtc3luZHJvbWUtc2hpbmdsZXMtY29tcGxpY2F0aW9ucy80Mzk0MTc1OQ?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2023-05-19","18:00:00","{""Lahore"", ""Punjab"", ""Pakistan""}","2023-05-19T12:56:17","Will not bow down to anyone, reiterates Imran Khan  Pakistan Pakistan Will not bow down to anyone, reiterates Imran Khan  Imran fires a fresh salvo at PDM  19 May,2023 06:00 pm  LAHORE (Dunya News) – Pakistan Tehreek-e-Insaf (PTI) chairman Imran Khan reiterated on Friday that he will not bow down to anyone .  Taking to Twitter, the deposed prime minister fired a fresh salvo at the Pakistan Democratic Movement (PDM) , saying, ""PTI and its supporters have been subjected to the worst crackdown and terror today"".  He said that the kind of demonstration that was taking place in the current regime did not happen even during the tenure of Ziaul Haq and Pervez Musharraf.  — Imran Khan (@ImranKhanPTI) May 19, 2023  On Thursday, Mr Khan lambasted his political opponents and asked the nation to stand up for its rights.  Read also: Imran needs to condemn 9/5 attacks openly, says President Alvi  Taking to Twitter, the ousted premier slammed the PDM, saying, ""A gang of thugs and criminals is dominating the country"".  He lamented, ""Amidst the deep economic woes and challenges faced by rising unemployment, the rulers are using their power to eliminate the country's leading political party through a fascist approach.""  - Embattled Imran vows to keep fighting -  PTI chief Imran Khan said he will keep fighting for the sake of“real freedom” even if he was left alone.  His statement came as prominent PTI leaders including former federal minister for national health services Aamer Mehmood Kiani and former federal minister for environment Malik Amin Aslam announced quitting the party citing the party’s involvement in May 9 attacks on “security installations” as reason, with others demanding Mr Khan to condemn the attacks openly.  At an interactive session with journalists at his Zaman Park residence, he said “Don’t you dare think that I’ll step back due to pressure”. If two assassination attempts had failed to push him back, he added, know that he would keep standing.","https://news.google.com/rss/articles/CBMiXmh0dHBzOi8vZHVueWFuZXdzLnR2L2VuL1Bha2lzdGFuLzcyNTA0Ni1XaWxsLW5vdC1ib3ctZG93bi1iZWZvcmUtYW55b25lLC1yZWl0ZXJhdGVzLUltcmFuLUtoYW7SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2022-11-03","Not Discerned","{""Lahore"", ""Punjab"", ""Pakistan""}","2023-05-19T09:31:17","Questions tanks deployed on Nov 3 in Lahore Cantt to stop protest but no guard present on May 9  ISLAMABAD, Pakistan: The Pakistan Tehreek-e-Insaf (PTI) senior leader Dr. Iftikhar Durrani has said that Armoured Personnel Carriers (APCs) reported as tanks were deployed in Lahore Cantt after assassination attempt on the PTI Chairman Imran Khan on November 3, 2022 but ironically there was not even a single security guard to protect Corps Commander’s House which clearly showed that it was well-conceived plot to trap and crush PTI.  The PTI senior leader shared a video of outside Lahore Cantt on November 3, 2022, wherein it was clearly seen a massive armed forces deployed along with tanks to stop the PTI protestors heading towards the well-guarded area.  After assassination attempt, APCs (Armoured personnel carriers) reported as tanks were deployed in lahore Cantt where as this time there wasn’t even one Gaurd to protect. 1/2 pic.twitter.com/k8pc8bidJD — Dr. Iftikhar Durrani (@IftikharDurani) May 19, 2023  Dr. Iftikhar Durrani said that after assassination attempt, Armoured Personnel Carriers reported as tanks were deployed in the Lahore Cantt.  However, he expressed his surprise that there was not a single security guard outside the Lahore Cantt and especially Corps Commander’s House to stop the protest on May 9 and protect the building from being vandalized.      The PTI leader raised a question as how all security personnel were disappeared in the air all of a sudden.  Dr. Iftikhar made it clear that the plan was obvious to trap PTI and blame its leadership for everything so as to crush the biggest and most popular party of the Country.","https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vZG5kLmNvbS5way92YW5kYWxpc20td2FzLWFuLW9idmlvdXMtcGxhbi10by10cmFwLWFuZC1jcnVzaC1wdGktZHVycmFuaS8yOTA4MTnSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2023-05-01","22:24:00","{""Lahore"", ""Punjab"", ""Pakistan""}","2023-05-19T17:16:53","Undeterred Imran says efforts are under way to 'crush' party  Pakistan Pakistan Undeterred Imran says efforts are under way to 'crush' party  PDM 'petrified' of elections, claims Imran Khan  19 May,2023 10:24 pm  LAHORE (Dunya News) – Pakistan Tehreek-e-Insaf (PTI) Chairman Imran Khan claimed on Friday that efforts were on to ""crush"" his party.  In an interactive session with journalists, Mr Khan said, ""Today, a Punjab government delegation came to meet me, and they gave me eight names, who they said were wanted men."" Everyone in the PTI was currently wanted, he added.  ""The authorities have apprised me of conducting a search operation at Zaman Park's residence, but I have refused to do so. They can come as per permission given by the Lahore High Court (LHC),"" he maintained.  The LHC ordered to form a two-member government team comprising a lady police officer,and the PTI member to aid for the search operation, he said.  Mr Khan asked for evidence regarding his party's involvement in the May 9 violence, saying that if anyone from the PTI was involved, he will help [the police] catch them.  Read also: Police arrest PTI leader Imran Ismail in Karachi  But this is not the case, adding that this is being done to crush PTI,he said. How could they arrest 7,500 people, he questioned. ""There are videos of Shah Mahmood Qureshi and Yasmin Rashid asking people to be peaceful,"" he claimed.  Claiming the arrests of PTI leaders and workers were a crackdown against the PTI, Mr Khan added, ""This is not happening for the enforcement of law in the country. All this is happening to crush the party"".  He claimed the Pakistan Democratic Movement (PDM) was isolated, Mr Khan said, “A political party or a leader becomes isolated when he does not have the support of the people"".  Mr Khan was of the view that the government would be charged under Article 6 for delaying the polls in Punjab and Khyber Pakhtunkhwa.  Speaking about the Supreme Court (SC), Mr Khan claimed, ""Despite all the differences in the apex court, all judges agree on the point that elections should be held within 90 days"".  Believing that the government was ""petrified"" of elections, the deposed premier said, ""The PDM is afraid of holding elections because it lost the by-elections despite the support of stakeholders. Now it [PDM] is running away from the elections"".  ""The government is looking for ways to plan to bring me and the PTI into conflict with the army,"" Mr Khan maintained.  Earlier today, Mr Khan reiterated that he would not bow down to anyone.  Taking to Twitter, the deposed prime minister fired a fresh salvo at the Pakistan Democratic Movement (PDM), saying, ""PTI and its supporters have been subjected to the worst crackdown and terror today"".  He said that the kind of demonstration that was taking place in the current regime did not happen even during the tenure of Ziaul Haq and Pervez Musharraf.  On Thursday, Mr Khan lambasted his political opponents and asked the nation to stand up for its rights.  Taking to Twitter, the ousted premier slammed the PDM, saying, ""A gang of thugs and criminals is dominating the country"".  He lamented, ""Amidst the deep economic woes and challenges faced by rising unemployment, the rulers are using their power to eliminate the country's leading political party through a fascist approach.""  - Embattled Imran vows to keep fighting -  PTI chief Imran Khan said he will keep fighting for the sake of“real freedom” even if he was left alone.  His statement came as prominent PTI leaders including former federal minister for national health services Aamer Mehmood Kiani and former federal minister for environment Malik Amin Aslam announced quitting the party citing the party’s involvement in May 9 attacks on “security installations” as reason, with others demanding Mr Khan to condemn the attacks openly.  At an interactive session with journalists at his Zaman Park residence, he said “Don’t you dare think that I’ll step back due to pressure”. If two assassination attempts had failed to push him back, he added, know that he would keep standing.","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vZHVueWFuZXdzLnR2L2VuL1Bha2lzdGFuLzcyNTA5Mi1FbWJhdHRsZWQtSW1yYW4tc2F5cy1lZmZvcnRzLXVuZGVyd2F5LXRvLS8nY3J1c2gvJy1wYXJ0edIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"assassination","2023-03-31","Not Discerned","Not Discerned","2023-05-19T12:23:57","The Lead Inspector General report to the U.S. Congress on Operation Enduring Sentinel (OES) Afghanistan has been published (May 2023). The report provides an update on significant events in Afghanistan covering the period from January 1st to March 31st 2023.  Major Topics of Report  Intelligence Shortfalls. The commander of Unites States Central Command says that the Department of Defense lacks the ability to see the full picture of terrorist threats that could come from Afghanistan. He indicated that there is a need for new airborne intelligence platforms capable of remaining aloft in the region for extended periods of time. He also said that there is a need for increased intelligence collection – both signals and human intelligence.  ISKP. The Islamic State Khorsan Provice (ISKP) continues to mount attacks against Taliban officials and civilians in Afghanistan. The high-profile attacks include assassinations and bombings. ISKP could also strike U.S. or Western interests abroad within six months if they prioritized such attacks.  Diplomacy. U.S. diplomats continue to engage with the Taliban to promote U.S. interests. Issues under discussion include the safety of U.S. citizens in Afghanistan, relocation of U.S. Afghan allies, economy, terrorism, and human rights.  Assisting Afghan Allies (SIVs). The State Department is reported to have provided permanent consular staffing in Qatar, United Arab Emirates, and Pakistan to improve Special Immigrant Visa (SIV) and refugee processing. The Department of State issued 5,616 SIVs this quarter. Afghan resettlement agencies in the United States are facing challenges due to the rapid pace of arrivals (from Afghanistan and elsewhere), difficulty in obtaining documentation, and limited staffing.  Humanitarian Situtation. The number of Afghans needed assistance in Afghanistan has doubled since 2020; more than 2/3s of the population is in need of assistance. The U.S. is providing $541 million in aid to Afghanistan in FY2023 focused on food, health, shelter, livelihoods, and education.  *********  Operation Enduring Sentinel, Lead Inspector General Report to the United States Congress, January 1, 2023 – March 31, 2023, published May 18, 2023, PDF, 54 pages.  https://www.stateoig.gov/uploads/report/report_pdf_file/q2fy2023_leadig_oes_508.pdf  Photo: U.S. Marines assigned to the Special Purpose Marine Air Ground Task Force – Crisis Response – Central Command provide security at Hamid Karzai International Airport during the Kabul non-combatant evacuation operation (NEO) in Afghanistan on August 18, 2021. (U.S. Marine Corps photo by 1st Lt. Mark Andries).","https://news.google.com/rss/articles/CBMiNGh0dHBzOi8vc29mLm5ld3MvYWZnaGFuaXN0YW4vaWctcmVwb3J0LW1heS0yMDIzLW9lcy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
