"topic","date"," time","place","url","date published","article text"
"birth","2001-07-22","Not Discerned","{""FountainHills"", ""Arizona"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMikgFodHRwczovL3d3dy5tY2FsbC5jb20vMjAyMy8wNS8xNi9ib3JuLXByZW1hdHVyZWx5LXNoZS1zcGVudC00LW1vbnRocy1pbi1zdC1sdWtlcy1uaWN1LXNoZS1yZXR1cm5zLWFzLWEtbnVyc2UtYWxvbmdzaWRlLXRoZS13b21hbi13aG8tY2FyZWQtZm9yLWhlctIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 11:01:20","In two months, Lauren Weintraub will begin taking care of babies born prematurely — alongside the nurse who cared for her 22 years ago.  Lauren and her twin brother, David, spent the first four months of their lives in the neonatal intensive care unit at St. Luke’s University Hospital in Fountain Hill after their birth in March 2001.  They were delivered by emergency caesarean section at 29 weeks. Lauren was just 1 pound, 10 ounces; David was 2 pounds, 13 ounces.  Among the nurses who cared for them was Susan Foster.  In July, Weintraub, newly graduated from the nursing program at Cedar Crest College, will join Foster as a NICU nurse at St. Luke’s-Allentown.  Now 22, Weintraub graduated Saturday. Just before the ceremony, Foster, who inspired and supported Weintraub on her journey through nursing school, was the one to place a pin on her during the pinning ceremony.  “I took care of Lauren as a baby at the start of my career as a NICU nurse,” the 65-year-old Foster said. “I’m at the tail end of my career but to know that I’ll be working with her at the bedside is incredible. To have the opportunity to pass on the knowledge I’ve gained over the years, it’s amazing.”  It won’t be the first time they’ve worked together. During Weintraub’s final clinical rotation at the Allentown campus, Foster served as her nurse preceptor, the person who watched over her and helped her put what she learned in nursing school into practice.  “I learned from the best of the best of the best,” Weintraub said.  As a NICU nurse with more than 20 years of experience and a mother to children who were born prematurely, Foster knows what it’s like to provide and receive excellent care in the NICU.  In 1989 she gave birth to twin boys at 29 weeks gestation, an experience that changed her life forever.  “I barely even knew what a NICU was, to be honest with you, but I was inspired by the nurses that took care of my boys. They were incredible,” Foster said. “It was truly probably one of the scariest times of my life but those nurses were amazing. They became my family.”  At the time, Foster was a flight attendant, but she decided on a career change. She went back to school and became a nurse in 1998. She started working in the NICU at St. Luke’s University Hospital in 2000.  “I couldn’t think of anything else that was more important to me than giving a little baby a chance at a great life like those nurses did for my boys,” Foster said.  Both of Weintraub’s parents are nurses, and Weintraub said from an early age she knew she wanted to do something health care related. The NICU stayed close to Weintraub’s heart as she was growing up. Every year on Christmas Eve, she and her brother would visit with cookies for the nurses.  “They loved seeing how much we’d grown each year and the new things we were doing,” Weintraub said.  But the Bethlehem native said she didn’t know she wanted to be a NICU nurse until middle school, when she volunteered in the Fountain Hill campus NICU through the St. Luke’s March of Dimes program.  “All of those nurses inspired me, just the way that they handled those babies and their natural ability to calm them and care for them was absolutely amazing to me,” Weintraub said. “And I realized how much I loved being there and I love sharing my story with parents in the NICU. We found that it was really inspiring to them and it gave them a sense of hope when they were struggling.”  Foster said during the clinical rotation, she saw Weintraub’s natural affinity for the job. She’s proud of the woman and nurse Weintraub has become.  “She can really put parents at ease,” Foster said. “One time she shared her story with parents and they couldn’t believe it, that she had been born at 29 weeks and was premature but here she was.”  Morning Call reporter Leif Greiss can be reached at 610-679-4028 or lgreiss@mcall.com."
"birth","2023-05-08","Not Discerned","{""Tyler"", ""Texas"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmtsdHYuY29tLzIwMjMvMDUvMTYvZWFzdC10ZXhhcy1tb3RoZXItb3BlbnMtdXAtYWJvdXQtcG9zdHBhcnR1bS1kZXByZXNzaW9uL9IBZmh0dHBzOi8vd3d3LmtsdHYuY29tLzIwMjMvMDUvMTYvZWFzdC10ZXhhcy1tb3RoZXItb3BlbnMtdXAtYWJvdXQtcG9zdHBhcnR1bS1kZXByZXNzaW9uLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 15:26:00","TYLER, Texas (KLTV) - Every year during the month of May, millions of people around the world join the national movement to raise awareness for mental health.  Mental health challenges can come unexpectedly and look different for everyone. They may appear at a time that is considered to be one of the happiest of your life, the birth of a baby. A new baby can bring big changes that cause a stir of emotions, from excitement to joy and fear to anxiety.  For one East Texas mother, the feelings were more severe and lasted longer.  “I really couldn’t do much. Like, I didn’t have much of a functioning capability, really, just to do day-to-day adult life things. They were hard,” a nurse at UT Health East Texas, Alyssa Brown, said. ” Eventually, I started having suicidal thoughts. Never tried to; never had a plan, necessarily, but I knew all of it was not normal.”  Brown gave birth to her baby while working as a nurse for UT Health East Texas in 2018. That’s around the time, she experienced postpartum depression.  Health officials say it can be mistaken for “baby blues,” but the symptoms are more intense and last longer. According to the C.D.C., one out of every eight new moms experience postpartum depression after giving birth.  For Brown, besides taking medication, she also decided to do therapy.  “I think therapy is what saved me for sure, what helped me just to learn,” Brown said. “How to think what I was thinking, you know, and how to process it and get past it.”  If you’re experiencing postpartum depression or if your “baby blues” don’t go away after two weeks, the C.D.C recommends getting in touch with your primary doctor.  Copyright 2023 KLTV. All rights reserved."
"birth","2022-12-05","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LmxleDE4LmNvbS9uZXdzL3ZlcnNhaWxsZXMtbWFuLWFjY3VzZWQtb2YtaGF2aW5nLWJhYnktd2l0aC1qdXZlbmlsZS1kaXNwb3Npbmctb2YtYmFieXMtYm9kedIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 22:44:40","A Versailles man is accused of having a “sexual relationship” with a juvenile, and then disposing of the body of the newborn baby he had with that juvenile, according to arrest records.  21-year-old Damian Robert Holtzclaw is charged with concealing the birth of an infant, abuse of a corpse, tampering with physical evidence, distribution of obscene matter to a minor, possession of child pornography, and unlawful transaction with a minor.  An autopsy on the baby listed the cause and manner of the death as “undetermined,” according to a complaint warrant by the Scott County Sheriff’s Office.  Holtzclaw is accused of working alongside the juvenile, who is also charged in the case, to “conceal the child’s entire existence altogether, and/ or prevent the determination of whether it was born dead or alive,” according to the complaint.  Investigators wrote in the complaint that Holtzclaw and the juvenile admitted that they buried the baby in the backyard after birth between Dec. 5 and Dec. 6 of 2022.  The two are accused of attempting to bury the baby in a shoe box, but upon realizing the box wasn’t big enough they put the body in a plastic Dollar Tree shopping bag before burying it, according to the complaint.  Investigators allege that the actions of Holtzclaw and the juvenile contributed to the decomposition that prevented an autopsy from determining the baby’s cause of death, according to the complaint.  Holtzclaw is also accused of sending explicit videos to the juvenile he was in a “relationship” with and receiving explicit images in return, according to a separate complaint.  “Holtzclaw told investigators it was his opinion that it wasn’t right that he could legally have intercourse with the juvenile girlfriend, yet still be held accountable for having sexual performance imagery on his SnapChat or cellular device would get him into legal trouble,” an investigator wrote in the complaint warrant. “Holtzclaw told this investigator that we should change that law as in his opinion it was ‘not right.’”"
"birth","2023-05-10","Not Discerned","{""Lakeland"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnRoZWxlZGdlci5jb20vc3RvcnkvbmV3cy9sb2NhbC8yMDIzLzA1LzE2L2JhYnktZm91bmQtZHVtcHN0ZXItbGFrZWxhbmQtc3RpbGJvcm4tYnJhaW4tZGVmb3JtaXR5LzcwMjIyMDQ4MDA3L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 12:59:00","The Ledger  The baby that was found in a dumpster behind a gym on South Florida Avenue on Thursday was born dead without ever taking a breath and had a severe brain deformity, according to the Medical Examiner's Office fo the 10th Judicial Circuit.  Lakeland police said in a news release Monday night that baby was born to a Brusela D’Enstachio-Lugo, 34, who came to the police station to speak with detectives over the weekend after seeing photos released by LPD.  Police said D’Enstachio-Lugo was cooperative and admitted giving birth alone outside her residence during the early morning hours of May 10. She told detectives she was unaware she was pregnant before giving birth, and that thought she was just getting sick. She said she didn't go to the hospital afterward because she was in the country illegally and didn't want to get in trouble. She also didn't have any money to pay the medical expenses. She admitted putting the infant's remains in the dumpster later that evening.  After consultation with the State Attorney's Office, D’Enstachio-Lugo was charged with improper storage, preservation and transportation of human remains, a misdemeanor.  PreviouslyLakeland police seek 4 people for questioning in death of baby found in a dumpster  RockridgeATV crash kills Lakeland man  LPD officer shotThree teens arrested in incident that led to Lakeland police officer's shooting  Police collected DNA from D'Enstachio-Lugo to compare with the dead infant, and the Department of Homeland Security was notified of her immigration status and provided information on the case.  Police said the case remains active, and additional forensics tests are in progress."
"birth","2022-12-05","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiPGh0dHBzOi8vd3d3LmNvdXJ0bmV3c29oaW8uZ292L2Nhc2VzLzIwMjMvU0NPLzA1MTYvMjIwMjMyLmFzcNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 13:06:03","As Court Considers Child’s Adoption, Father Cannot Seek Visitation Rights from Another Court  A county juvenile court cannot grant visitation rights to the father of a child when placement for adoption was approved by a probate court in a nearby county, the Supreme Court of Ohio ruled today.  In a 6-1 decision, the Supreme Court blocked the Logan County Family Court from considering providing Kaidan Whitrock parenting time with an infant that is being adopted by a Van Wert County family selected by the birth mother. Whitrock lost his attempt to block the adoption when the Supreme Court decided in December 2022 that he waited too long to act after the adoption petition was filed.  The Court’s per curiam opinion noted that Whitrock sought the help of the Logan County court after the Van Wert County Probate Court would not allow him to participate in the adoption case when he requested to intervene. The Court wrote that instead of seeking help from another court, Whitrock could appeal the rejection of his right to intervene.  Chief Justice Sharon L. Kennedy and Justices R. Patrick DeWine, Michael P. Donnelly, Melody Stewart, Jennifer Brunner, and Joseph T. Deters joined the per curiam opinion. Justice Patrick F. Fischer dissented without a written opinion.  Click to Expand  Parenting Rights Considered After Adoption Request Submitted  Josephine Davis gave birth to a child identified in court records as “H.P.” in 2020. She was 17 years old at the time. Davis was not married to Whitrock, who was 18 years old, and presumed to be the child’s biological father. Whitrock’s paternity had not been established when H.P. was born.  To address paternity disputes, Ohio lawmakers established a Putative Father Registry in 1996 in R.C. 3107.061 et seq. Under this law, a father’s consent to the adoption of a minor child is not required unless the father registers with the putative father registry no later than 15 days after the child is born.  Three days after the birth of H.P., the married couple chosen by Davis filed a petition in the Van Wert County Probate Court to adopt the newborn baby. As the adoption request was pending, the probate court issued a placement order that granted the couple “care, custody, and control” over H.P., and Whitrock filed an objection to the adoption.  About two weeks after the adoption petition was filed, Whitrock asked Logan County Family Court Judge Natasha Kennedy to give parental rights and responsibilities to him, including authorizing genetic testing to determine paternity. While some counties have separate courts for matters dealing with children, the Logan County Family Court has combined jurisdiction over juvenile, domestic relations, and probate matters.  The genetic test results confirmed Whitrock is H.P.’s biological father. Judge Kennedy of Logan County stayed all action on Whitrock’s request for parental rights until after the Van Wert County probate court ruled in the H.P. adoption case. In January 2021, the Van Wert court denied Whitrock’s motion to intervene and ruled his consent was not required to grant the adoption.  Visitation Rights Case Resumed After Supreme Court Decision  Whitrock’s appeal of the Van Wert court’s decision to keep him out of the adoption case reached the Supreme Court in 2022. The Court remanded the matter to the Third District Court of Appeals, and in turn, the Third District remanded the case to the Van Wert probate court to consider whether Whitrock could claim his right to object to the adoption as the biological father of H.P.  The probate court is still considering the issue. As it does, Whitrock asked the Logan County Family Court to issue temporary orders granting him parenting time with H.P. and to move forward in determining if he should be granted custody.  H.P.’s mother and the adopting couple asked the Supreme Court for a writ of prohibition to prevent Judge Kennedy of Logan County from acting in the case. The mother and couple argued that the decisions regarding H.P. are solely to be made by the probate court in Van Wert.  Supreme Court Analyzed Roles of Multiple Courts in Adoption Cases  The per curiam opinion explains the Supreme Court must determine if the Logan County court is empowered to make decisions without interfering with the Van Wert court’s authority.  The Supreme Court explained that in general, only one court can have jurisdiction over a case at a time. In matters where it is possible that two or more courts could have the authority to consider a case, the general rule is the court that acts first is the one empowered to decide the case.  However, where two courts do not have the same powers the rule does not apply, the opinion stated. A probate court and a juvenile court have separate powers, and can both act, the opinion stated. Because the Logan County Family Court has the combined powers of three divisions, Judge Kennedy has some powers through her juvenile court responsibilities to “proceed with matters relevant to and in aid of the adoption proceedings,” the Supreme Court found.  Judge Kennedy has the power to determine the paternity of a child born out of wedlock and her finding that Whitrock was the biological father by use of genetic testing was not contested. However, the mother and the couple disputed Judge Kennedy’s right to decide matters beyond determining paternity, the opinion noted.  The Supreme Court ruled that the preadoption placement of H.P. with the couple was made by the Van Wert probate court. Once the probate court granted the placement, the probate court gained the exclusive right to determine the best interests of H.P.  Both the Logan County and Van Wert County courts contend they have the jurisdiction to determine the best interests of the child. The Supreme Court found any attempt by the Logan County court to grant visitation rights to Whitrock would be based on the assessment that it is in the best interest of H.P. By examining the best interests of H.P., the Logan County court is interfering with the Van Wert court’s right to determine the best interests of H.P., the opinion stated.  Any determination of whether Whitrock’s right to parenting time is in H.P.’s best interest is an issue that only the probate court in Van Wert can consider, the Court ruled.  In response to the mother and adopting couple’s attempt to prohibit her from acting, the Logan County judge argued that she must make the decision to consider Whitrock’s rights because the probate court denied Whitrock’s right to intervene and participate in the placement case.  The Supreme Court ruled that the Van Wert probate court’s decision to deny Whitrock’s participation does not create a right for the Logan Count Family Court to act on the matter. Whitrock instead should address his objections through the probate court, and any rights he has to appeal that court’s decisions, the Supreme Court concluded.  2022-0232. State ex rel. Davis v. Kennedy, Slip Opinion No. 2023-Ohio-1593.  Please note: Opinion summaries are prepared by the Office of Public Information for the general public and news media. Opinion summaries are not prepared for every opinion, but only for noteworthy cases. Opinion summaries are not to be considered as official headnotes or syllabi of court opinions. The full text of this and other court opinions are available online."
"birth","1984-10-02","Not Discerned","{""Madras"", ""TamilNadu"", ""India""}","https://news.google.com/rss/articles/CBMixwFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9lbnRlcnRhaW5tZW50L3RhbWlsL21vdmllcy9uZXdzLzY0LXllYXJzLW9mLXNpdmFqaS1nYW5lc2Fucy12ZWVyYXBhbmRpeWEta2F0dGFib21tYW4tdGhlLW1vdmllLXRoYXQtbGVkLXRvLXRoZS1iaXJ0aC1vZi1wZXJpb2RpYy1maWxtcy1pbi1rb2xseXdvb2QvcGhvdG9zdG9yeS8xMDAyODk3NTMuY21z0gHNAWh0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2VudGVydGFpbm1lbnQvdGFtaWwvbW92aWVzL25ld3MvNjQteWVhcnMtb2Ytc2l2YWppLWdhbmVzYW5zLXZlZXJhcGFuZGl5YS1rYXR0YWJvbW1hbi10aGUtbW92aWUtdGhhdC1sZWQtdG8tdGhlLWJpcnRoLW9mLXBlcmlvZGljLWZpbG1zLWluLWtvbGx5d29vZC9hbXBfZXRwaG90b3N0b3J5LzEwMDI4OTc1My5jbXM?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 02:30:00","The film made it's first re-release in theatres in 1984 as it completed 25 years and it was later released again in 2015 for the third time. In 2012, the film made its digital premiere as well. The movie was reportedly said to be made in 3D in 2013, however that did not happen. The re-releases were received well as the movie was developed and edited according to the current digital system and it made Rs 5,53,000 when re-released in 2015 in Tamil Nadu.  (Image: Twitter)"
"birth","2023-10-01","10:00:00","{""Springfield"", ""Missouri"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy50aW9nYXB1Ymxpc2hpbmcuY29tL25ld3Mvc3RhdGUvbWF0ZXJuaXR5LXdhcmRzLWRpc2FwcGVhcmluZy1mcm9tLXJ1cmFsLWhvc3BpdGFscy9hcnRpY2xlXzdjYWRlZjVhLWNiZGMtNTIxYi04N2VkLWEzYTMzNTA0YTNlMC5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 15:49:00","Success! An email has been sent to with a link to confirm list signup."
"birth","2023-05-01","Not Discerned","{""Madras"", ""TamilNadu"", ""India""}","https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5jcmljdHJhY2tlci5jb20vc29jaWFsLXRyYWNrZXItY3JpY2tldC9kYXVnaHRlcnMtYXJlLWEtdHJ1ZS1ibGVzc2luZy1hbWJhdGktcmF5dWR1LWV4cHJlc3Nlcy1kZWxpZ2h0LW9uLWJpcnRoLW9mLWhlci1zZWNvbmQtZGF1Z2h0ZXIv0gGXAWh0dHBzOi8vd3d3LmNyaWN0cmFja2VyLmNvbS9zb2NpYWwtdHJhY2tlci1jcmlja2V0L2RhdWdodGVycy1hcmUtYS10cnVlLWJsZXNzaW5nLWFtYmF0aS1yYXl1ZHUtZXhwcmVzc2VzLWRlbGlnaHQtb24tYmlydGgtb2YtaGVyLXNlY29uZC1kYXVnaHRlci8_YW1wPTE?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 14:16:00","Star India and Chennai Super Kings batter Ambati Rayudu and his wife Chennupalli Vidya have been blessed with the birth of their second daughter. The 37-year-old took to Instagram to share the news with his fans and friends.  Rayudu captioned the post, ""Daughters are a true blessing,"" as his elder daughter was seen sitting beside her newborn sister in the heartwarming post.  The 37-year-old’s first child was born in the year 2020, and as he posted the picture on Instagram to share the news, congratulatory messages flooded in for the veteran India batter on the social media platform. Following the good news, Chennai Super Kings took to Twitter to congratulate Rayudu as well.  Chennai Super Kings on the brink of playoff qualification  Talking about his side’s performances in the ongoing Indian Premier League (IPL) 2023, Chennai Super Kings have been doing quite well for themselves. Currently, they find themselves in second place in the standings with 15 points from 13 matches.  Having won seven matches, lost five, and one deemed no result, the four-time champions are on the brink of qualifying for the knockout stages of the tournament.  With just one game left in the group stage for Chennai, the MS Dhoni-led side would look to finish the proceedings on a winning note and make their way to the playoffs. They take on the David Warner-led Delhi Capitals next in the 67th game of the tournament on Saturday, May 20 at the Arun Jaitley Stadium in Delhi.  It is to be noted that Delhi became the first side to be eliminated from the competition after their recent loss to Punjab Kings on May 13. However, this could prove dangerous for Chennai, as Delhi would come into the game with nothing to lose.  The last time both sides faced each other, it resulted in a win for the four-time champions, and the side would hope that the same could be the case this time around as well.      "
"birth","2023-05-14","Not Discerned","{""Scottsdale"", ""Arizona"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMigAFodHRwczovL2JhY2hlbG9ybmF0aW9uLmNvbS8yMDIzLzA1LzE2L3JhdmVuLWdhdGVzLWdldHMtY2FuZGlkLWFib3V0LWlzc3VlLXdpdGgtaGVyLXBsYWNlbnRhLWFuZC13aHktc2hlLW5lZWRzLWFub3RoZXItYy1zZWN0aW9uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 20:03:32","Raven Gates Gets Candid About ‘Issue’ with Her Placenta and Why She Needs Another C-Section  Instagram  Opening up.  Bachelor Nation fans got to know and love Raven Gates Gottschalk on Season 21 of “The Bachelor” and on Season 4 of “Bachelor in Paradise,” where she met her husband, Adam Gottschalk.  Raven and Adam are currently expecting their second child together, and the Bachelor Nation star just opened up about her birth plan in a candid new post.  Raven took to her Instagram on Mother’s Day to share adorable photos with their son Gates and she also shared a pic of her ultrasound of baby number two.  Alongside the photo, Raven wrote, “Thinking about this sweet little face tonight. My c-section is scheduled! We have about 10 more weeks!”  Instagram  Then in another Instagram Story, Raven opened up about getting another C-section in a candid post.  The Bachelor Nation star wrote, “A lot of you are asking about my second c-section, and first I’d like to thank everyone for being so kind when asking and coming from a place of genuine curiosity. I’ve shared in the past I have had a lot of hate and negativity towards even mentioning I’d have another c-section without knowing my circumstances.”  Raven went on, saying, “The last thing I wanted was another c-section. Gates’s birth was a bit traumatic for me. I won’t get into the details but I had an emergency c-section after pushing half his head out. They had to push him back inside of me to make the incision. And a lot more I could explain but I really don’t want to share.”  Instagram  Then Raven shared why she has to have another C-section with this baby and isn’t able to have a VBAC birth.  She said, “With this pregnancy — Unfortunately due to an issue with my placenta I’m not able to try for a VBAC with this pregnancy. It’s a totally different issue that what l had with Gates. His was an emergency c-section, but this one we knew right away once I had my anatomy scan that a vbac was not a safe option for me or the baby.”  Raven concluded her post by writing, “With that being said, I think mothers who want an elected c-section should not be shamed, and we should just wish the best on any birth plan/decisions a mom makes. Whether she chose it or it was chosen for her.”  Couldn’t agree more, and we’re sending the entire Gottschalk family our love."
"birth","2023-07-12","12:00:00","Not Discerned","https://news.google.com/rss/articles/CBMicmh0dHBzOi8vYXUuZmluYW5jZS55YWhvby5jb20vbmV3cy9jaGlsZGJpcnRoLWNvc3RzLXdoYXRzLXRoZS1wcmljZS1kaWZmZXJlbmNlLWZvci1wdWJsaWMtdnMtcHJpdmF0ZS0wMzEzNTI5NzAuaHRtbNIBemh0dHBzOi8vYXUuZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2NoaWxkYmlydGgtY29zdHMtd2hhdHMtdGhlLXByaWNlLWRpZmZlcmVuY2UtZm9yLXB1YmxpYy12cy1wcml2YXRlLTAzMTM1Mjk3MC5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 03:13:00","Is public or private healthcare the best choice when giving birth? (Source: Getty)  More than half of Ausssie parents were inclined to choose the public system when giving birth, according to new research by Finder .  According to Finder’s Parenting Report 2023, which surveyed 1,033 Australian parents of children under 12, 62 per cent said they would go through the public system if they were to have another child.  The research found one in four would go the private route, while one in 10 were on the fence.  Those who have previously gone with private healthcare paid, on average, more than three times as much in out-of-pocket fees ($2,394) than those who took the public path ($726).  Finder health insurance expert James Martin said the decision to have a child was one of life’s most significant milestones, and everyone had their own preferences when choosing to give birth.  “It really depends on personal circumstances but cost and choice are usually the two determining factors when choosing between a public or private birth,” Martin said.  “Some say the main advantage of going private for childbirth is that you can access a more individual level of care. This includes having your own room where your partner can remain at your side throughout your stay in the hospital.  “On the other hand, while you’re guaranteed your own obstetrician, the medical professionals are just as qualified in the public sector as they are in the private sector.”  Why parents said they would choose public  While cost was the number one reason for almost half (46 per cent) who said they would go public, almost two in five said the quality of treatment and care was just as good as going private.  Flexibility around seeing a different medical team (7 per cent) and not choosing an obstetrician (6 per cent) were other reasons some chose to stick with the public system.  Story continues  Why parents said they would choose private  On the other end of the spectrum, 16 per cent of those who said they would go private said it was down to better quality treatment and care.  The ability to choose an obstetrician (15 per cent) and access to a private room (15 per cent) were other determining factors.  Martin said a major difference between the two was the out-of-pocket fees.  “The cost of childbirth in a private hospital is far greater than in the public system, where it’s typically free under Medicare,” he said.  Martin said it was important to account for the costs involved in the private system.  “For one, you’ll need to pay more while you see out your insurance policy’s waiting period. For most, this means at least 12 months of higher premiums while holding a Gold health insurance policy that covers childbirth.  “Your total costs can run into several thousand dollars once you factor in out-of-pocket costs.  “These can include payments for physio visits, antenatal classes and lactation consultant appointments. Plus, you’ll need to pay your policy’s excess when making a claim at the private hospital.”  Follow Yahoo Finance on Facebook, LinkedIn, Instagram and Twitter, and subscribe to our free daily newsletter."
