"topic","date"," time","place","url","date published","article text"
"eruption","2020-11-10","Not Discerned","{""Tehran"", ""Tehran"", ""Iran""}","https://news.google.com/rss/articles/CBMiXWh0dHBzOi8vbmV3ZWFzdGVybmV1cm9wZS5ldS8yMDIzLzA1LzE3L2Rpc2dydW50bGVkLWlyYW4tcG9zZXMtc2VjdXJpdHktdGhyZWF0cy10by1hemVyYmFpamFuL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 00:08:19","Disgruntled Iran poses security threats to Azerbaijan Azerbaijan’s victory in the Second Karabakh War two and a half years ago created a new security situation in the South Caucasus that raised concerns in certain states. This is particularly true in the case of Iran, which continues to pressure Baku through various means.  The Second Karabakh War (September 27th – November 10th, 2020), known also as the 44-day War, changed the geopolitical landscape of the South Caucasus. In this war with Armenia, Azerbaijan succeeded in liberating its territories that had been occupied for up to three decades. The international community, including Iran, recognised Azerbaijan’s right to retake these territories, as a number of international documents and four resolutions from the United Nations Security Council clearly recognised the area as part of the Republic of Azerbaijan.  This war brought new dynamics to Iran’s policies with respect to the South Caucasus, the region that borders the Islamic Republic to the north.  The 44-day War and its outcomes were the first major signal of the erosion of Russian hegemony in the post-Soviet South Caucasus. Russia was previously seen by many as the major guarantor of the pre-war status-quo between Armenia and Azerbaijan, and as the force that averted the eruption of a large war between the two sides.  Azerbaijan’s resurgence in 2020 in the face of Russia’s failure to protect the status quo was at odds with Iran’s traditional vision of its northern neighbourhood.  Tehran had been used to treating the countries of the South Caucasus without any independent agency, as part of Russia’s sphere of influence in accordance with the outcomes of the wars between the Russian Empire and Persia in the early 19th century.  Russia was also seen in Tehran as a bulwark against the incursion of other external actors in the South Caucasus. This situation has also changed with the deployment of Turkey’s monitoring mission in Karabakh and Azerbaijan’s growing defence ties with Israel in the aftermath of the 2020 war.  The change in the regional balance of power caused a number of new concerns and exacerbated older ones in the Iranian capital.  The 2020 war, which turned out to be a big step towards the settlement of the conflict between Armenia and Azerbaijan, alarmed Iranian leaders. They feared that Azerbaijan was on the path to overcoming the geopolitical redlines of Russia. An assertive Azerbaijan that is in an alliance with Turkey and Israel is unacceptable to Iran.  The Iranian media and many high-ranking officials openly describe Azerbaijan as a vassal state of Israel. One such article appeared in a media outlet close to the government of Iran, calling Azerbaijan “Yahudistan” (a Jewish state) and voicing a list of threats and warnings against Baku.  Along with geopolitical risks, Tehran is also concerned about the implications of Azerbaijan’s more assertive position on Iran’s domestic politics. There are up to over 20 million ethnic Azerbaijanis living in its territories, with most concentrated in the northern part of Iran. This was the area that came under Iranian control after the aforementioned wars with Russia in the early 1800s. It is still viewed as “South Azerbaijan” by Azerbaijanis. The occasional calls from some western countries and Israel for greater support for the independence aspirations of the Azerbaijani provinces of Iran further agitates the country.  In order to counter these developments, the Islamic Republic has taken a list of measures.  These measures include practicing for a military confrontation with Azerbaijan, building an alliance with Armenia, and countering Azerbaijan’s efforts to optimise the country’s connectivity projects.  In this context, Iranian leaders question Azerbaijan’s independence and its ethnic identity, claiming that Azerbaijan was a historical part of Iran and should return to Iranian control. One of the latest claims was made by Deputy Commander-in-Chief of the Islamic Revolutionary Guard Corps Ali Fadavi, who reiterated these historical claims against Azerbaijan. He said that this country was separated from Iran due to the incompetence of the Qajar kings.  Attempting to take advantage of the many Shiite believers in Azerbaijan, he openly called for a change of government in Baku. He stated that “The people of Azerbaijan are Shiite believers who did not lose their original Shiite beliefs under the 70 years of communist pressure. As a rule, there should be a government that pays special attention to this Shiite majority of Azerbaijan.”  These verbal attacks against Azerbaijan are disseminated by Iranian experts in both national and international media. For instance, Fardin Eftekhari, an Iranian researcher, mirroring the vision of the Iranian government, claims that Azerbaijan is no longer focused on only restoring its territorial integrity but rather envisions changes in regional interstate borders. He ultimately claims that Baku is preparing for the invasion of Armenia.  Thus, Iran views Armenia as an ally and seeks to combine forces with this country against Azerbaijan and its allies Turkey and Israel.  In late 2022, Azerbaijani media reported that 14 people from Iran entered the Karabakh region of Azerbaijan through the Lachin road “to conduct sabotage and terrorist exercises for armed Armenian gangs who are still present in the Azerbaijani territories temporarily monitored by the Russian peacekeepers”. There are also reports about Iran’s free of charge military supplies to Armenia, as well as its transfer of combat drones to Yerevan.  It is reported that Iran has been amassing its troops near the border with Azerbaijan, and high-ranking officials, including the commanders of the Iranian Revolutionary Guard Corps Ground Forces and Border Troops visited the area. It is worth noting that Iran has conducted at least two military exercises along its interstate border with Azerbaijan since the 2020 Karabakh War, while it had never held similar exercises in this region before this conflict.  Tehran masks its concerns with false-flag allegations.  One major issue that Tehran refers to in this context is related to a possible change in interstate borders due to connectivity projects like the Zangezur corridor. This corridor, proposed in the Armenia-Azerbaijan-Russia deal following the 44-day War, is supposed to serve as a land passage for connecting mainland Azerbaijan with its Nakhchivan exclave via southern Armenia. Iran has warned against this project, claiming that it may cut off its geographical connection with Armenia.  Iran continues these accusations despite assurances from the Russian and Azerbaijani governments. For example, the Russian side has declared repeatedly that no extraterritoriality will be applied to the transportation routes that are planned to be opened between Armenia and Azerbaijan. Thus, both countries are expected to retain their sovereignty over the routes that pass through their respective territory. In another assurance, Azerbaijani President Ilham Aliyev stated on October 14th that his country “had no intention of occupying the territory of Armenia, as some may assume.”  Nevertheless, Iran is exacerbating tensions in the region by asserting false-flag allegations against Azerbaijan. These tensions were reflected over the past few months in the lethal attack against the Azerbaijani embassy in Tehran (January 2023), a non-stop flight by an Iranian military aircraft along the Azerbaijan-Iran state border (March 2023), an assassination attempt against an Azerbaijani parliamentarian critical of Iran (March 2023), and the crackdown in Azerbaijan on Iran’s spy network.  These developments raise concerns in the region that there may be a military confrontation between the two sides, which would cause catastrophic outcomes for regional peace and stability.  Dr. Vasif Huseynov is the head of the Western Studies Department at the Center of Analysis of International Relations (AIR Center) and Adjunct Lecturer at both ADA and Khazar Universities in Baku, Azerbaijan."
"eruption","2023-05-24","Not Discerned","{""Bangkok"", ""Bangkok"", ""Thailand""}","https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmZyYW5jZTI0LmNvbS9lbi9saXZlLW5ld3MvMjAyMzA1MTgtdGhhaWxhbmQtcy1tb3ZlLWZvcndhcmQtcGFydHktdGFrZXMtb24tYmlnZ2VzdC1wb2xpdGljYWwtdGFib2_SAW1odHRwczovL2FtcC5mcmFuY2UyNC5jb20vZW4vbGl2ZS1uZXdzLzIwMjMwNTE4LXRoYWlsYW5kLXMtbW92ZS1mb3J3YXJkLXBhcnR5LXRha2VzLW9uLWJpZ2dlc3QtcG9saXRpY2FsLXRhYm9v?oc=5&hl=en-US&gl=US&ceid=US:en","Thu 18 May 2023 06:02:15","Move Forward leader Pita Limjaroenrat's determination to modify Thailand's lese-majeste laws protecting the king has emerged as a key issue that could block his path to power  Bangkok (AFP) – After shocking Thailand's military-backed elite with a historic election breakthrough, the Move Forward Party now wants to take on the nation's biggest political taboo -- laws on insulting the monarchy.  Advertising Read more  However MFP leader Pita Limjaroenrat's determination to modify the lese-majeste laws protecting King Maha Vajiralongkorn has quickly emerged as a key issue that could block his path to power.  The monarchy has long had an exalted status in Thai society, and is shielded from criticism by section 112 of the penal code, which punishes infractions with jail terms of up to 15 years.  Posters of the king are ubiquitous, from shops and homes to public buildings and motorway billboards, and cinema-goers are expected to stand for the royal anthem before screenings.  But youth-led pro-democracy demonstrators in 2020 breached the taboo against public discussion of the monarchy's status, with some protesters calling for the king's power and spending to be reined in.  MFP channelled the reforming zeal of the protest movement in its campaign for Sunday's election, pledging to limit who can bring lese-majeste charges and to cut the maximum sentence.  - Tough laws -  Critics say the law is abused to silence political dissent, and prosecutions rocketed in the years after the 2014 coup that brought Prime Minister Prayut Chan-O-Cha to power.  Section 112 outlaws defaming, insulting or threatening the king or certain members of his family.  But its interpretation has expanded to include almost any criticism, whether in public or on social media, including even indirect or lighthearted references.  Since the 2020 protests erupted more than 200 people have been prosecuted, including minors, some for seemingly trivial transgressions.  Earlier this year a man was jailed for two years for selling satirical calendars featuring yellow rubber ducks that a court ruled insulted the king.  MFP proposes to cut the maximum sentence for lese-majeste and restrict who can bring charges -- at the moment it can be done by anyone, and ultra-royalists are known to trawl social media looking for potential complaints to file.  Pita insists the changes are needed to heal rifts in Thai society, and that Move Forward will not eradicate the law.  ""We want to amend, not abolish, act 112, which can be done in the parliament,"" he said.  ""We would like to talk maturely in the parliament, and we will do it slowly but surely and thoroughly.""  But in the past the army has used even the suggestion of disloyalty to the crown as grounds to launch a coup.  The generals ousted elected governments in 2006 and 2014, promising both times to get tough on elements threatening the monarchy.  And the current, military-written constitution makes it extremely difficult for Pita to become prime minister, even though Move Forward won the most seats.  MFP and rival opposition party Pheu Thai are working on a multi-party coalition that would give them more than 300 out of 500 lower house seats.  But to secure the prime minister's job the coalition needs a majority across both houses -- including the Senate.  The 250 members of the Senate -- monarchist, pro-military arch-conservatives, hand-picked by Prayut's junta -- are threatening to block Pita's bid for the job.  ""I disapprove despite the number of MPs he gathered,"" Senator Jadet Inswang said.  ""I will not accept Pita as a PM because he... has previously said that he would abolish 112. I can't accept.""  Cycle of unrest  But given the results of the election, the issue is now part of the political debate regardless of whether Pita becomes prime minister, according to Napon Jatusripitak, a political scientist and researcher at the Yusof Ishak Institute.  ""I think there is going to be some political space for amending the lese-majeste clause, regardless of whether the MFP ends up in the government or not,"" Napon told AFP.  ""This election has sort of been a quiet referendum on that issue.""  Rejecting a prime minister chosen by a coalition government with such a large electoral mandate could plunge the country into a fresh crisis, with protesters likely to flood the streets.  This would reignite the cycle of elections, street protests and coups that have dogged Thailand for two decades, fomenting instability and hampering progress.  And despite the challenges facing them, many MFP supporters feel the dam has already been broken.  ""This election was a slap in the face of the older generation, the old mindset, the old belief, and the old politics -- the status quo has been demolished,"" Panussaya Sitthijirawattanakul, a 2020 protest leader hit with multiple lese-majeste charges, told AFP.  © 2023 AFP"
"eruption","2023-07-01","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vcmVsaWVmd2ViLmludC9yZXBvcnQvc3VkYW4vaW9tLXJlc3BvbnNlLW92ZXJ2aWV3LXN1ZGFuLWNyaXNpcy1hbmQtbmVpZ2hib3VyaW5nLWNvdW50cmllc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 14:53:22","IOM Appeals for USD 209 Million to Urgently Respond to Sudan Crisis  Geneva – The International Organization for Migration (IOM) has launched a response plan appealing for USD 209 million to provide vital humanitarian assistance to the people affected by the crisis and outbreak of violence in Sudan.  The deteriorating situation in Sudan is also having dramatic implications on neighbouring countries, many of which are grappling with their own protracted crises.  Out of USD 209 million, IOM is urgently calling for USD 105 million needed for the response in Sudan and USD 104 million for the response across Egypt, Libya, Chad, Central African Republic, South Sudan and Ethiopia.  This appeal also covers the USD 37 million IOM needs to immediately assist third-country nationals stranded in Sudan and in neighbouring countries.  “The current humanitarian situation in Sudan is by far the worst the country has ever seen,"" said IOM Director General António Vitorino.  “Millions are in pressing need of basic assistance such as water, food and shelter. If we do not act NOW, the people of Sudan will face an inevitable humanitarian catastrophe. We appeal to the international community to urgently support relief efforts and mobilize financial resources to meet the mounting needs.""  The conflict is having devastating consequences for millions of civilians. Around 25.7 million people are now estimated to be in need of humanitarian assistance inside Sudan and across its borders. Over 843,130 people are internally displaced inside the country according to IOM’s Displacement Tracking Matrix, with 1.8 million more expected to be internally displaced should the fighting continue. Prior to the conflict, there were already 3.8 million internally displaced persons (IDPs) and 1.1 million refugees in Sudan.  Nearly 259,000 people have already fled Sudan into neighbouring countries, arriving in extremely vulnerable situations into often remote and underserved areas. If fighting continues, it is estimated that over a million refugees and migrants affected by the crisis in Sudan may cross to neighbouring countries.  Millions remain inside the country with soaring food and transportation prices, lack of cash and access to health care, supplies and critical services. The deteriorating situation has been marked by increasing civilian deaths, destruction of health, water and communication facilities, shortage of supplies and poor conditions at overwhelmed border points as people flee the fighting.  IOM is working with partners on an interagency and coordinated response plan and appeal, to enable the scale-up needed to respond to the rising needs of Sudanese and third-country nationals and returnees. IOM’s Crisis Response Plans for Sudan, Chad, Ethiopia, and the Central African Republic remain severely underfunded.  For more information, please contact:  Cairo: Mohammedali Abunajela: mmabunajela@iom.int  Geneva : Safa Msehli : smsehli@iom.int"
"eruption","2023-05-25","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiQ2h0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjMvMDUvMTcvYnVzaW5lc3MvbW9udGFuYS10aWt0b2stYmFuLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 22:52:30","TikTok, which says it has 7,000 employees in the United States, has been fighting back in the state for months. It has run ads featuring Montana small businesses that use TikTok and given prewritten emails to users so they could contact Mr. Gianforte about opposing the bill.  The legislation prohibits mobile app stores, like those run by Apple and Google, from offering TikTok within the state. A trade group funded by Apple and Google has said in recent months that it is impossible for the companies to prevent access to TikTok in a single state.  “Governor Gianforte has signed a bill that infringes on the First Amendment rights of the people of Montana by unlawfully banning TikTok, a platform that empowers hundreds of thousands of people across the state,” Brooke Oberwetter, a spokeswoman for TikTok, said in a statement on Wednesday. Montanans, she added, can keep using the app “as we continue working to defend the rights of our users inside and outside of Montana.”  Under the legislation, TikTok could face fines if it continues operating in the state, as could Apple and Google if they allow people to download the app."
"eruption","2023-05-17","Not Discerned","{""Imphal"", ""Manipur"", ""India""}","https://news.google.com/rss/articles/CBMib2h0dHBzOi8vdGhld2lyZS5pbi9nb3Zlcm5tZW50L21hbmlwdXItMTAtbWxhcy1yZXBlYXQtc2VwYXJhdGUtYWRtaW5pc3RyYXRpb24tZGVtYW5kLWxvb3RlZC13ZWFwb25zLXBvc2UtY29uY2VybtIBfWh0dHBzOi8vbS50aGV3aXJlLmluL2FydGljbGUvZ292ZXJubWVudC9tYW5pcHVyLTEwLW1sYXMtcmVwZWF0LXNlcGFyYXRlLWFkbWluaXN0cmF0aW9uLWRlbWFuZC1sb290ZWQtd2VhcG9ucy1wb3NlLWNvbmNlcm4vYW1w?oc=5&hl=en-US&gl=US&ceid=US:en","Thu 18 May 2023 05:01:02","New Delhi: Weapons looted mainly by Meitei groups during the brutal ethnic violence in Manipur since May 3 have led to serious concerns for security forces, Indian Express has reported. Meanwhile, 10 Manipur MLAs of the Chin-Kuki-Mizo-Zomi-Hmar communities have repeated their demand for a separate administration.  The latter fear that they could fall in the hands of militant groups like the PLA.  The Express report noted that “more than 1,000 weapons and 10,000 rounds were looted from Manipur Police Training College, two police stations, and an IRB battalion camp in Imphal by Meities during the first few days of the violence in Manipur.”  Kukis attacked and looted police stations in Churachandpur, sources told the paper.  These weapons, if not recovered soon, have the capacity to foment trouble.  Meanwhile, the Coordinating Committee on Manipur Integrity (COCOMI), a valley-based umbrella body of civil society groups, has notified police of anonymous calls it has been getting to get it to pressure the government to stop recovering weapons, the report said.  Former CRPF DG Kuldiep Singh, who is advising the Manipur government in the aftermath of the violence said 456 arms and 6,670 pieces of ammunition have so far been recovered. He added that recovered arms include those looted by Meitei and Kuki groups.  Yesterday, May 17, at the Supreme Court, Senior Advocate Colin Gonsalves, who was representing the Manipur Tribal Forum Delhi, told the bench that the Kuki community apprehended further violence against it. The Supreme Court urged the Manipur government to take appropriate action on such apprehensions.  MLAs repeat demand for separation  The Telegraph has reported that 10 Manipur MLAs, belonging to the Chin-Kuki-Mizo-Zomi-Hmar communities, in a memorandum to Union home minister Amit Shah have claimed their people have “lost faith” in the BJP-led state government and can “no longer” think about “resettling in the Valley” following the violence that erupted on May 3.  The MLAs have reiterated their demand for a separate administration in the hills, noting that they cannot “live together any more.” This is not the first time that such a request has been put forth. The MLAs, seven of whom are from the ruling BJP, including two ministers, had earlier released a statement with this demand.  They also noted that no Union minister has visited the state since the violence erupted."
"eruption","2018-07-25","Not Discerned","{""Chuluota"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiPmh0dHBzOi8vbmV3cy55YWhvby5jb20vMS1kZWFkLXBvcnNjaGUtaGl0cy10cmVlLTEyNTUwMDk1MC5odG1s0gFGaHR0cHM6Ly9uZXdzLnlhaG9vLmNvbS9hbXBodG1sLzEtZGVhZC1wb3JzY2hlLWhpdHMtdHJlZS0xMjU1MDA5NTAuaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 00:55:00","A man died in a fiery crash in Chuluota Tuesday night, the Florida Highway Patrol said.  Troopers responded to Brumley Road and White Tail Trail around 10:30 p.m.  At the scene, they determined that the driver of a Porsche Boxster was heading westbound on Brumley Road, lost control at a curve, and traveled off the roadway.  READ: WATCH: Drivers stopping for turtle on highway cause chain-reaction crash in Florida  Investigators said the sports car ran into a ditch, struck a tree, and then rolled several times.  Troopers said the driver was able to get out of the Porsche before it erupted in flames.  READ: Brightline train tickets from Orlando to South Florida go on sale Wednesday  A passenger was not able to escape the wreckage and died at the crash site, investigators said.  FHP did not release his name but said he was 20 years old and lived in Oviedo.  The driver, also 20, of Winter Springs, was rushed to a hospital; troopers said his injuries weren’t life-threatening.  READ: ‘Weird cross-up electrical thing’ leaves Seminole County woman without power since October  The crash remains under investigation, according to FHP.  Stay with WFTV.com for updates on this story.  Click here to download the free WFTV news and weather apps, click here to download the WFTV Now app for your smart TV and click here to stream Channel 9 Eyewitness News live."
"eruption","2022-03-22","Not Discerned","{""Centenary"", ""MashonalandCentral"", ""Zimbabwe""}","https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy5tc24uY29tL2VuLXVzL25ld3Mvd29ybGQvdGhlLXN0b3J5LW9mLXRoZS1jZW50ZW5hcnktbWFuLXRoYXQtc2hvY2tzLWFuZC1jb25mdXNlcy10aGUtd2ViLWhhcy1pdHMtb3duLXRydXRoL3NzLUFBMWJmWWJsP2xpPUJCbmI3S3rSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 09:22:30","The story of the centenary man that shocks and confuses the web has its own truth  By gossiptrip.it  |  The truth about the Buddhist monk  A Thai Buddhist monk who became a viral character thanks to videos posted on the social media platform TikTok showing him with his granddaughter and great-granddaughter died on 22 March 2022 at the age of 109. His gentle demeanour, frail appearance and age helped propel the popularity of the videos.  © photo scrrenshot video TikTok"
"eruption","2023-05-01","Not Discerned","{""Orlando"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LndreWMuY29tL2FydGljbGUvbmV3cy9yZWdpb25hbC9kaXNuZXktd29ybGQtZmlnaHQtbWFnaWMta2luZ2RvbS82Ny1hNGM4NmZjZi01ODM2LTQ3N2UtOTJiZS1kYmEwYmYxMDczOGLSAXdodHRwczovL3d3dy53a3ljLmNvbS9hbXAvYXJ0aWNsZS9uZXdzL3JlZ2lvbmFsL2Rpc25leS13b3JsZC1maWdodC1tYWdpYy1raW5nZG9tLzY3LWE0Yzg2ZmNmLTU4MzYtNDc3ZS05MmJlLWRiYTBiZjEwNzM4Yg?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 19:04:00","A disagreement erupted around over a photo op near the entrance gates and in front of a 100th-anniversary sign, according to authorities.  ORLANDO, Fla. — Disney World's Magic Kingdom wasn't so magic after an all-out brawl broke out between two families on Monday, according to reports.  A disagreement erupted around 2:30 p.m. over a photo op near entrance gates and in front of a 100th-anniversary sign for The Walt Disney Company, Orlando's FOX 35 reported.  The Orange County Sheriff's Office told WKMG-TV that fists began to fly after one family standing in front of the sign asked another family to move because they wanted to take a photo.  That's when someone from the second family punched a person waiting to take a photo in the face, deputies said.  A video shared on Twitter showed part of the encounter from one angle. Warning: The video may be disturbing to some viewers.  Video Footage of a Fight that Broke out at Disney’s Magic Kingdom pic.twitter.com/54FejnCRgE — ParkHoppin - Geeks + Gamers (@ParkHoppin) May 16, 2023  The New York Post reported that the families were yelling and cursing at each other before park workers and a security officer split them up."
"eruption","2023-07-08","18:00:00","{""Panevezys"", ""Panevezhio"", ""Lithuania""}","https://news.google.com/rss/articles/CBMiQGh0dHBzOi8vbmV3cy55YWhvby5jb20vbmF0by1yZWFjaGVzLWJhY2stY29sZC13YXItMDYxMTUyOTA0Lmh0bWzSAUhodHRwczovL25ld3MueWFob28uY29tL2FtcGh0bWwvbmF0by1yZWFjaGVzLWJhY2stY29sZC13YXItMDYxMTUyOTA0Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en","Thu 18 May 2023 06:11:00","By Sabine Siebold  BRUSSELS (Reuters) - NATO will step back to the future at its Vilnius summit in July, with leaders set to approve thousands of pages of secret military plans that will detail for the first time since the Cold War how the alliance would respond to a Russian attack.  The move signifies a fundamental shift - NATO had seen no need to draw up large-scale defence plans for decades, as it fought smaller wars in Afghanistan and Iraq and felt certain post-Soviet Russia no longer posed an existential threat.  But with Europe's bloodiest war since 1945 raging just beyond its borders in Ukraine, the alliance is now warning that it must have all planning in place well before a conflict with a peer adversary such as Moscow might erupt.  ""The fundamental difference between crisis management and collective defence is this: It is not we but our adversary who determines the timeline,"" said Admiral Rob Bauer, one of NATO's top military officials. ""We have to prepare for the fact that conflict can present itself at any time.""  By outlining what it calls its regional plans, NATO will also give nations guidance on how to upgrade their forces and logistics.  ""Allies will know exactly what forces and capabilities are needed, including where, what and how to deploy,"" said NATO chief Jens Stoltenberg about the highly classified documents that will, as in the Cold War, assign certain troops to the defence of certain regions.  This formalises a process triggered by Russia's annexation of Crimea in 2014, which prompted Western allies for the first time to deploy combat troops to the east, with Britain, Canada and Germany each taking the lead in one of the Baltic states.  NOT A COLD WAR RE-RUN  But while many features resemble NATO's military line-up before 1990, some crucial factors have changed for an alliance that has since then expanded some 1,000 km (600 miles) to the east and grown from around a dozen to 31 members.  Story continues  Finland's accession last month has alone doubled NATO's border with Russia to some 2,500 km, forcing a more flexible approach to deployments than in the past, when Germany was seen as the main battlezone.  Also, the alliance is no longer preparing to fight a large-scale nuclear war against Moscow and its allies - most of whom are now NATO members - said Ian Hope, historian at NATO's Supreme Headquarters Allied Powers Europe (SHAPE).  ""We don't envision the type of war that the Cold War was, where allied forces ... would be hit simultaneous with large-scale Warsaw Pact attacks,"" he said, pointing rather to regionalised conflicts that needed to be contained by quick force deployments.  At the same time, the internet, drones, hypersonic weapons and a rapid flow of information present new challenges.  ""The good news is that we talk about the transparency of the battlefield. With all the satellites, with all the intel we're able to see a maturing crisis,"" said Lieutenant General Hubert Cottereau, SHAPE's Vice Chief of Staff. ""For Ukraine, we had all the indicators quite in advance.""  This transparency is one of the reasons why NATO, contrary to the Baltic states' demands, does not see any immediate need to ramp up troop numbers in the east.  ""The more troops you are massing up on the border, it's like having a hammer. At some point, you want to find a nail,"" warned Cottereau. ""If the Russians are massing troops on the border that will make us nervous, if we are massing troops on the border that will make them nervous.""  CHALLENGES  Still, it will be a huge task to drastically improve readiness. NATO agreed in 2022 to put 300,000 troops on high alert, up from 40,000 in the past.  Shortcomings in the alliance's capacity to produce sufficient weapons and ammunition have been highlighted by the struggle to keep pace with Ukraine's demands, and NATO must also upgrade the long-neglected logistics needed to quickly deploy troops via rail or road.  The need to finance the implementation of the regional plans is one of the reasons why Stoltenberg has called upon leaders to raise the alliance's military spending target, another topic that will be discussed in Vilnius.  NATO officials estimate it will take a few years for the plans to be fully implemented, though they stress that the alliance can head into battle immediately if required.  ""We are ready to fight tonight. You know, you are never sufficiently ready. Never,"" said Cottereau. ""We have to be able to fight tonight if necessary, with what we have.""  (Reporting by Sabine Siebold; Additional reporting by Andrew Gray; Editing by Alex Richardson)"
"eruption","2023-03-28","Not Discerned","{""Washington"", ""DistrictOfColumbia"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm1zbmJjLmNvbS90aGUtcmVpZG91dC9yZWlkb3V0LWJsb2cvamFzbWluZS1jcm9ja2V0dC13YXNoaW5ndG9uLWRjLWNyaW1lLWhvdXNlLXJlcHVibGljYW5zLXJjbmE4NDkwMNIBPGh0dHBzOi8vd3d3Lm1zbmJjLmNvbS9tc25iYy9hbXAvc2hvd3MvcmVpZG91dC9ibG9nL3JjbmE4NDkwMA?oc=5&hl=en-US&gl=US&ceid=US:en","Wed 17 May 2023 19:21:48","The likelihood of Tuesday’s Republican-led House hearing on purported lawlessness in Washington, D.C., becoming a show was never in doubt.  In that sense, the hearing didn’t disappoint. Though, by the hearing’s end, Republicans found themselves upstaged by a superior performer with better material.  Conservative lawmakers have been portraying the District of Columbia as a crime-riddled hellscape in need of federal intervention. That thinking was the impetus behind a Republican-backed bill that President Joe Biden signed in March that overturned revisions to the district’s criminal code. The move marked the first time in more than 30 years that federal lawmakers had overturned district legislation, and it reflected conservatives’ insatiable appetite for illiberal power grabs targeting nonwhite voters and officials.  Tuesday’s hearing came during yet another power grab. Last month, House Republicans passed legislation rescinding police reforms backed by the district’s largely Black city council in 2020, as protests erupted nationwide over police brutality. The Republicans in the Senate — with the help of some conservative-leaning independents and Democrats — passed the measure Tuesday, though Biden has said he will veto it.  House Republicans seemed dead set on using the hearing to launch rhetorical grenades. And Democrats at the hearing sent them back with the velocity of a tennis serve.  A freshman Republican lawmaker, Rep. Anna Paulina Luna of Florida, probably got the worst of it. In the clip below, watch how Luna alludes to the scariness of D.C. by claiming it has seen a spike in sexual assaults, but then doesn’t let the witness respond.  Another freshman, Rep. Jasmine Crockett, D-Texas, used some of her time to offer a rebuttal, noting she was excited to hear Luna’s comments “considering that the [Republican] front-runner right now for, like, [the] presidency has kind of just been found liable of sexual abuse.”  Crockett was clearly referring to last week’s finding by a civil jury in New York that former President Donald Trump was liable for sexually abusing and defaming writer E. Jean Carroll.  I can’t imagine Luna knew, in delivering her remarks, that she was lobbing an alley-oop for Crockett to dunk on her head. But that’s precisely what happened.  And Crockett continued to run up the score. In another viral clip, she again highlighted Republicans’ hypocrisy on crime.  “My Republican colleagues want to talk about keeping D.C. streets crime-free. They can’t even keep the halls of Congress crime-free,” Crockett said, adding that “my freshman colleague has just been indicted on 13 counts — 13 felony counts, right?”  Here, Crockett was clearly talking about Rep. George Santos, R-N.Y., who was arrested last week and charged with wire fraud, money laundering, theft of public funds and making materially false statements to the House of Representatives. Santos denies all the allegations against him, but legislation has been proposed to expel him from Congress.  Crockett had a simple explainer for her rhetorical approach here. Sharing one of the above clips on Twitter, she added: “I just call them as I see them.”  This should be required viewing for Democrats pondering ways to punch back at Republicans who use conspiratorial hearings to misinform and manipulate the public — especially when it comes to crime."
