"topic","date"," time","place","date published","article text","url"
"fire","2023-05-22","22:15:00","Not Discerned","2023-05-23T13:15:40","HARRISBURG, Pa. (WHTM) — Harrisburg Bureau of Fire crews were on the scene of a fire in Uptown Harrisburg during the evening hours of Monday, May 22.  According to fire officials, a first-alarm fire came in around 10:15 p.m. in the 600 block of Muench Street in the city.  Close Thanks for signing up! Watch for us in your inbox.  Harrisburg Bureau of Fire says the first companies that arrived on the scene stated that they had reports of family members trapped inside the structure. Crews then said one person was rescued from the second floor of the building.  There is no word on the condition of the person that was rescued and if anyone was injured during the fire.","https://news.google.com/rss/articles/CBMiUWh0dHBzOi8vd3d3LmFiYzI3LmNvbS9sb2NhbC1uZXdzL2hhcnJpc2J1cmcvb25lLXJlc2N1ZWQtYWZ0ZXItZmlyZS1pbi1oYXJyaXNidXJnL9IBVWh0dHBzOi8vd3d3LmFiYzI3LmNvbS9sb2NhbC1uZXdzL2hhcnJpc2J1cmcvb25lLXJlc2N1ZWQtYWZ0ZXItZmlyZS1pbi1oYXJyaXNidXJnL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-07-05","Not Discerned","{""Evansville"", ""Indiana"", ""UnitedStates""}","2023-05-24T03:27:00","EVANSVILLE, Ind. (WFIE) - A historic Evansville home is now in need of more renovations after the Pearl Cleaners fire last Wednesday.  Water damage after the fire is just one more change in a home with a long history of changes. It’s also an extra item on a long list of renovations for the new owner.  For almost her whole life living in Evansville, the Carpenter House has been on realtor Theresa Catanese’s radar.  “I have always loved this building, have watched it for years, said Catanese. “The woodwork and the details of this building I just loved.”  Catanese said more than anything, she loves the house’s history.  “This home was tied to the Underground Railroad, and legend has it, there was a tunnel going from the house to the Ohio River,” said Catanese.  Catanese said she has been acquainting herself with the history of the home and the many changes it’s gone through over the years.  The home has stood since 1848, and over time it’s been a house, a tv and radio station, and soon to be a realty office. In each transition, change is needed.  “We were just about to close on it,” said Catanese. “We actually closed on it the day after the fire.”  Catanese said they watched from the upstairs window as crews fought the Pearl Cleaners fire right next door. Water from fire hoses seeped into the basement from a pipe carrying telephone lines.  Catanese said they just dodged the costs to pump water out, but there’s still some signs of the flooding. She says they’ll just add that to their pile of renovations.  “It’s worth it,” said Catanese. “Every dollar I put into this is just wonderful. It’s a piece of history and we’ve got to keep that history.”  When asked about that tunnel, Catanese said she hasn’t found that yet, but if you happen to know more about it, feel free to speak up.  They suspect it’s probably been covered up at some point, and they’d love to make it a local attraction.  In the meantime, Catanese suspects they’ll spend most of if not more than the next year revitalizing the home.  Copyright 2023 WFIE. All rights reserved.","https://news.google.com/rss/articles/CBMiYWh0dHBzOi8vd3d3LjE0bmV3cy5jb20vMjAyMy8wNS8yNC9jYXJwZW50ZXItaG91c2UtcmVub3ZhdGlvbnMtdW5kZXJ3YXktYWZ0ZXItcGVhcmwtY2xlYW5lcnMtZmlyZS_SAXBodHRwczovL3d3dy4xNG5ld3MuY29tLzIwMjMvMDUvMjQvY2FycGVudGVyLWhvdXNlLXJlbm92YXRpb25zLXVuZGVyd2F5LWFmdGVyLXBlYXJsLWNsZWFuZXJzLWZpcmUvP291dHB1dFR5cGU9YW1w?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-07-12","14:00:00","{""Douglas"", ""UnitedStates"", ""male""}","2023-05-23T22:49:30","CASPER, Wyo. — A hay truck that caught on fire along Interstate 25 just outside Douglas this afternoon has temporarily shut down southbound traffic as first responders tend to the scene.  Wyoming Highway Patrol Sergeant Jeremy Beck said nobody was injured in the incident, which occurred near milepost 149. The cause of the fire has not yet been determined, he added.  At the time of publication, emergency personnel remain on scene, stamping out remaining hotspots, Beck added. Beck said the closure will likely not be extended, and he added that a single lane may open up before southbound travel is fully restored.","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vb2lsY2l0eS5uZXdzL2VtZXJnZW5jeS8yMDIzLzA1LzIzL3ZpZGVvLXZlaGljbGUtZmlyZS1hbG9uZy1pLTI1LXNodXRzLWRvd24tc291dGhib3VuZC10cmFmZmljL9IBamh0dHBzOi8vb2lsY2l0eS5uZXdzL2VtZXJnZW5jeS8yMDIzLzA1LzIzL3ZpZGVvLXZlaGljbGUtZmlyZS1hbG9uZy1pLTI1LXNodXRzLWRvd24tc291dGhib3VuZC10cmFmZmljLz9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-11-05","14:00:00","{""Carrboro"", ""NorthCarolina"", ""UnitedStates""}","2023-05-23T20:11:00","Will Potter will be the next Carrboro fire chief, Town Manager Richard J. White III announced this afternoon.  Potter served as interim fire chief and has been with the Carrboro Fire-Rescue Department since 2007. Before becoming a fire-fighter, he participated in Carrboro Fire-Rescue Department’s Ride-Along program  “After a national search process, I am excited to have Will lead our talented team at the fire department,” White said in a press release.  Apart from his work in the department, Potter serves as a principal member on two technical committees for the National Fire Protection Association.  “This is truly a dream come true,” Potter said in the press release. “The last fire chief that came up through the ranks in Carrboro was Chief Jake Hardee in 1973, so this means a lot for our department and our community.”  @wslivingston_  @DTHCityState | city@dailytarheel.com","https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmRhaWx5dGFyaGVlbC5jb20vYXJ0aWNsZS8yMDIzLzA1L2NpdHktYnJlYWtpbmctbmV3LWNhcnJib3JvLWZpcmUtY2hpZWbSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-22","10:30:00","Not Discerned","2023-05-23T15:49:21","U.S. Forest Service crews are monitoring a quarter-acre fire located in the Secret Mountain Wilderness of the Coconino National Forest’s Red Rock Ranger District.  The Miller Fire, which was confirmed at 10:30 a.m. on Monday, May 22, is smoldering at a low intensity in heavy dead and down fuels, and is located about 4.5 miles west of Slide Rock State Park GPS coordinates: 34°57’21.2″N 111°50’05.6″W.  The fire was first reported on Saturday, May 20, but due to weather conditions, aerial resources were not able to confirm the fire until Monday morning.  Due to the lack of accessibility and potential thunderstorms, resources are monitoring the fire and developing strategic plans.  There are no structures threatened by the fire and smoke may be visible over Sedona, Seven Canyons and the Casner Mountain area,.  There are no road or trail closures in effect, but visitors are asked to avoid the fire area.","https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LnJlZHJvY2tuZXdzLmNvbS8yMDIzLzA1LzIzL3Utcy1mb3Jlc3Qtc2VydmljZS1jcmV3cy1tb25pdG9yaW5nLXF1YXJ0ZXItYWNyZS1zZWRvbmEtYXJlYS1taWxsZXItZmlyZS_SAXRodHRwczovL3d3dy5yZWRyb2NrbmV3cy5jb20vMjAyMy8wNS8yMy91LXMtZm9yZXN0LXNlcnZpY2UtY3Jld3MtbW9uaXRvcmluZy1xdWFydGVyLWFjcmUtc2Vkb25hLWFyZWEtbWlsbGVyLWZpcmUvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-19","Not Discerned","Not Discerned","2023-05-24T03:21:36","CHEMULT, Ore. - The Dillon Creek fire started by lightning Friday, May 19, 2023, and was discovered the next day burning 19 acres within the Fremont-Winema National Forest.  Located in the Chemult Ranger District within a footprint already planned for prescribed fire treatment, this fire offers a strategic advantage to return natural fire to a fire-adapted landscape.  The Dillon Creek Fire is burning approximately 15 miles southeast of Chemult, Ore., south of the Silver Lake Highway and east of US Highway 97.  Fire suppression resources are currently on the ground preparing containment lines to allow the fire to renew the forest landscape on 400 to 3,000 acres of restoration project area.  Fire managers can use natural ignitions such as lightning to mimic natural fire in the right conditions. The abundance of green grass this spring and coming moisture at week’s end opens this window of opportunity to reduce the buildup of surface fuels and minimize future catastrophic fires.  This natural low-intensity fire provides ideal conditions for a modified suppression strategy. utilizing natural barriers and road features to achieve fire-fighter safety, fuel reduction, and forest renewal which enhances wildlife habitat and restores nutrients while reducing the risk of catastrophic wildfire. This low-intensity fire will protect this area against future extreme wildfire growth.  Fire managers employ a variety of tactics to protect forests and communities from wildfire. The Dillon Creek Fire offers an opportunity to accomplish this goal with natural tactics.  The Dillon Creek Fire lies within the Klamath River Basin Project area. The Klamath River Basin was identified as one of 21 high-risk landscapes to receive increased funding under the Bipartisan Infrastructure Investment Act and the Inflation Reduction Act in January 2023. This landscape encompasses the entire Klamath River watershed across California and Oregon. An area shared by five national forests including the Fremont-Winema.  In January 2022, the Forest Service launched the Wildfire Crisis Strategy in coordination with states, Tribes, and other partners to address wildfire risks to critical infrastructure, protect communities, and make forests more resilient. By prioritizing areas around communities most at risk and then increasing treatments across the whole landscape, these projects will help mitigate extreme wildfire and eventually result in sustainable healthy forests, resistant to extreme wildfire.","https://news.google.com/rss/articles/CBMibWh0dHBzOi8vd3d3LmtsYW1hdGhmYWxsc25ld3Mub3JnL25ld3MvbmF0dXJhbC1maXJlLXN0YXJ0LW9mZmVycy1mdWVscy1yZWR1Y3Rpb24tb3Bwb3J0dW5pdHktZGlsbG9uLWNyZWVrLWZpcmXSAXhodHRwczovL3d3dy5rbGFtYXRoZmFsbHNuZXdzLm9yZy9uZXdzL25hdHVyYWwtZmlyZS1zdGFydC1vZmZlcnMtZnVlbHMtcmVkdWN0aW9uLW9wcG9ydHVuaXR5LWRpbGxvbi1jcmVlay1maXJlP2Zvcm1hdD1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-23","Not Discerned","{""Milwaukee"", ""Wisconsin"", ""UnitedStates""}","2023-05-23T23:52:00","An apartment near 60th and Florist streets Sunday night was intentionally set, killing 49-year-old David Rhodes, Milwaukee police told WISN 12 News. The Milwaukee County Medical Examiner's Office revealed Tuesday, the man's death is now ruled a homicide, but the exact cause of death, including toxicology reports, remain under investigation.WISN 12 News was back at the scene Tuesday, where charred remains of the fire were littered across the lawn, including a front door with an evidence marker.WISN 12 News questioned the Milwaukee Fire Department Tuesday about the investigation.""Did you guys realize at first how the man had died, that it was in fact a homicide, or was that figured out later on?"" 12 News' Hillary Mintz asked.""When we get on scene we extinguish the fire and preserve any evidence as possible, if there is any harm. There's four reasons why people set fires, either accidentally, a few times it is to hide other crimes,"" Assistant Chief De'Wayne Smoots said.Smoots also said they don't know the cause of the arson yet.Police are still trying to figure out who did it and why.They haven't made any arrests yet.WISN 12 News spoke with the victim's father, who told 12 News, the news of his son's death was a shock and that he was trying to get more answers.Anyone with any information is asked to contact Milwaukee police at 414-935-7360 or to remain anonymous, contact Crime Stoppers at 414-224-Tips or the P3 Tips app.  An apartment near 60th and Florist streets Sunday night was intentionally set, killing 49-year-old David Rhodes, Milwaukee police told WISN 12 News.  The Milwaukee County Medical Examiner's Office revealed Tuesday, the man's death is now ruled a homicide, but the exact cause of death, including toxicology reports, remain under investigation.  Advertisement  WISN 12 News was back at the scene Tuesday, where charred remains of the fire were littered across the lawn, including a front door with an evidence marker.  WISN 12 News questioned the Milwaukee Fire Department Tuesday about the investigation.  ""Did you guys realize at first how the man had died, that it was in fact a homicide, or was that figured out later on?"" 12 News' Hillary Mintz asked.  ""When we get on scene we extinguish the fire and preserve any evidence as possible, if there is any harm. There's four reasons why people set fires, either accidentally, a few times it is to hide other crimes,"" Assistant Chief De'Wayne Smoots said.  Smoots also said they don't know the cause of the arson yet.  Police are still trying to figure out who did it and why.  They haven't made any arrests yet.  WISN 12 News spoke with the victim's father, who told 12 News, the news of his son's death was a shock and that he was trying to get more answers.  Anyone with any information is asked to contact Milwaukee police at 414-935-7360 or to remain anonymous, contact Crime Stoppers at 414-224-Tips or the P3 Tips app.","https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Lndpc24uY29tL2FydGljbGUvbWlsd2F1a2VlLWZpcmUtaW52ZXN0aWdhdGlvbi1ob21pY2lkZS1pbnZlc3RpZ2F0aW9uLWFyc29uLzQzOTgwMzQz0gFjaHR0cHM6Ly93d3cud2lzbi5jb20vYW1wL2FydGljbGUvbWlsd2F1a2VlLWZpcmUtaW52ZXN0aWdhdGlvbi1ob21pY2lkZS1pbnZlc3RpZ2F0aW9uLWFyc29uLzQzOTgwMzQz?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-23","16:20:00","{""Southfield"", ""Michigan"", ""UnitedStates""}","2023-05-23T09:31:32","SOUTHFIELD, Mich. – A fire broke out at a closed-down beauty supply store inside a Southfield strip mall early Tuesday morning and appears to have destroyed that part of the building.  At about 4:20 a.m. on May 23, several fire crews from Southfield and nearby cities responded to the strip mall fire on 10 Mile Road near Southfield Road. Flames had fully engulfed a beauty supply store, even coming through the roof, according to fire officials.  You can see footage from the Tuesday morning scene in the video above.  The affected store had been closed down for some time, though it’s unclear for how long.  Officials said crews were able to contain the fire to the beauty supply store, but neighboring businesses could have some smoke damage. The fire appeared to be extinguished by at least 6 a.m. the same morning.  No injuries were reported from the fire. The cause of the fire is unknown at this time. An investigation is ongoing.","https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3LmNsaWNrb25kZXRyb2l0LmNvbS9uZXdzL2xvY2FsLzIwMjMvMDUvMjMvZmlyZS1jcmV3cy1maWdodGluZy1zdHJpcC1tYWxsLWZpcmUtaW4tc291dGhmaWVsZC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-24","Not Discerned","{""Pocatello"", ""Idaho"", ""UnitedStates""}","2023-05-24T00:33:18","POCATELLO, Idaho (KIFI) – As the 2022-2023 school year wraps up, many community members are eager to hear updates about plans for next year. Highland’s administration has been meeting regularly with PCSD 25 administration and investigation/insurance/restoration/city officials to receive progress reports and determine a timeline for next steps. Everyone has been working tirelessly to get the school back up and running. While there continue to be many unknowns and hurdles to overcome, the following information details some tentative plans moving forward.  Where will school be held for Highland during the 2023-2024 school year?  The goal for next school year is to be back home at Highland holding school on a traditional schedule. At this time, we are cautiously optimistic and on track to meet this target; however, we will continue to communicate through the summer if any delays arise that may require an alternate schedule.  What are the plans to accommodate the classes and extracurricular activities displaced by the fire?  We are working hard to identify alternate facilities and confirm space availability large enough to accommodate band, choir, orchestra, welding, P.E., weights, food service, and extracurricular activities including dance, cheer, volleyball, basketball, and wrestling. Staff, learners, and parents should anticipate that these plans will most likely become the norm for at least the next 2-3 years. Any offsite locations for classes will include transportation considerations. There are several potential spaces being explored/confirmed either through community donations or rental agreements.  What is the status of the lower gym?  Work has begun to restore the lower gym with floor replacement and other facility cleaning and repairs. Having a functional gym space is key to our ability to accommodate P.E. classes and extracurricular activities throughout this years-long process of restoration and rebuild. The timing for completion of the project is dependent on multiple factors; however, we anticipate that the lower gym will be functional by the fall.  What is the status of the cleaning/restoration process at Highland?  Classroom/Facilities Cleaning: Up to 40 people have been actively cleaning classrooms and other school facilities. Cleaning should be completed this week. All ducts and HVAC systems must be cleaned prior to occupation of the school.  Up to 40 people have been actively cleaning classrooms and other school facilities. Cleaning should be completed this week. All ducts and HVAC systems must be cleaned prior to occupation of the school. Content Inventory: Content cleaning and inventory for the insurance adjustment process is ongoing. All rooms must go through the cleaning inventory process, even those not physically burned.  Content cleaning and inventory for the insurance adjustment process is ongoing. All rooms must go through the cleaning inventory process, even those not physically burned. Personal Belongings: Staff has been able to retrieve personal items from their classrooms. Lockers have been cleared and contents will be marked and returned to learners during their in-person schedule this week at Century. Lost & Found items will be available at PV-TEC on Wednesday, May 24.  Staff has been able to retrieve personal items from their classrooms. Lockers have been cleared and contents will be marked and returned to learners during their in-person schedule this week at Century. Lost & Found items will be available at PV-TEC on Wednesday, May 24. Utilities Restoration: Restoration of power services is complete. Restoration of water services is pending capping all plumbing to the D-Wing.  Restoration of power services is complete. Restoration of water services is pending capping all plumbing to the D-Wing. Demolition: Demolition will begin once the insurance adjustment process is complete, which we have been told will be ongoing for another 2-3 weeks.  Demolition will begin once the insurance adjustment process is complete, which we have been told will be ongoing for another 2-3 weeks. Requirements for Reoccupation: The City of Pocatello officials have requested the district to update fire suppression and alarm systems to meet current code regulations. PCSD 25 is in the process of proactively reviewing all systems in place at school buildings districtwide.  The City of Pocatello officials have requested the district to update fire suppression and alarm systems to meet current code regulations. PCSD 25 is in the process of proactively reviewing all systems in place at school buildings districtwide. Program/Extracurricular Equipment & Supplies: The district is in the process of replacing uniforms, wrestling and cheer mats, equipment, and other supplies for any programs and extracurricular activities impacted by the fire. The timeline for having these items in hand is dependent on availability.  What is the status of PCSD 25’s plans for rebuilding Highland?  Please note: any plans moving forward are dependent on the outcome of the replacement value as determined by the insurance adjustment process. As the district seeks to repair the damage at Highland, the Pocatello/Chubbuck School District 25 Board of Trustees will invite community stakeholders to participate in sharing ideas and, ultimately, make a decision on where we go from here. We recognize that the challenges and opportunities associated with this task warrants exploring more than one option for consideration. The district’s first priority is to fulfill its obligation to provide a safe learning environment for learners and staff throughout each stage of the restoration and rebuilding process.  Contact Principal Wallace or the PCSD 25 administration with any questions. For the most up to date information, visit: https://highland.sd25.us/connect/fire-updates.","https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vbG9jYWxuZXdzOC5jb20vbmV3cy9wb2NhdGVsbG8vMjAyMy8wNS8yMy9oaWdobGFuZC1oaWdoLXNjaG9vbC1maXJlLXVwZGF0ZS_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"fire","2023-05-22","08:13:00","{""Suffolk"", ""England"", ""UnitedKingdom""}","2023-05-23T00:13:52","One person in serious condition after Monday night fire Published 8:13 am Tuesday, May 23, 2023  1 of 1  A Monday night house fire sent one person to the hospital due to smoke inhalation, but was quickly contained by Suffolk Fire and Rescue.  Emergency Communications was contacted at 10:27 p.m. Monday, May 22 for a structure fire in the 600 block of Kinsey Lane. The first fire unit arrived on scene at 10:32 p.m.  On arrival, crews found black smoke showing from the front door of the structure, according to a department news release.  Email newsletter signup Newsletter  Engine 3 and Ladder 3 were able to contain the fire to the room of origin. All occupants had evacuated prior to the arrival of fire crews.  One occupant was transported to Sentara Norfolk General Hospital for smoke inhalation in serious condition.  Nine Fire and Rescue units responded to the call.","https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LnN1ZmZvbGtuZXdzaGVyYWxkLmNvbS8yMDIzLzA1LzIzL29uZS1wZXJzb24taW4tc2VyaW91cy1jb25kaXRpb24tYWZ0ZXItbW9uZGF5LW5pZ2h0LWZpcmUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
