"topic","date"," time","place","date published","article text","url"
"miracle","2023-05-18","Not Discerned","{""Abbeville"", ""Louisiana"", ""UnitedStates""}","Thu 18 May 2023 14:17:33","Southeast Gas presents Community Service Scholarships to 25 students Published 9:15 am Thursday, May 18, 2023  Southeast Gas congratulates its Community Service Scholarship recipients for 2023. Twenty-five students demonstrated their outstanding commitment to serving others, and will receive a $1,500 scholarship to the university, college, or technical school of their choice.  This year’s recipients are: Allie Bedsole of Rehobeth High School; Madison Page Bledsoe of Ashford High School; Preston Bourne of New Brockton High School; Kennedy Bullard of Straughn High School; Orlandria Chitty of Abbeville High School; Paine Cole of Dothan High School; Caroline Courson of Opp High School; Mackenzie Daniel of Luverne High School; Lauren Dodson of Cottonwood High School; Kaylen Fuller of Highland Home High School; Madeline Hamilton of Headland High School; Ella Hogan of Enterprise High School; Haley Jones of Daleville High School; Khloe’ Lampley of Pike County High School; Kimberly Morton of Russell County High School; Eli Nichols of Brantley High School; Kayley Peebles of Red Level High School; Catherine Pettie of Andalusia High School; Jacob Pryor of Greenville High School; Marlon Stabler of Carroll High School; Katie Wilkins of Charles Henderson High School; Joel Wilkinson of Pleasant Home High School; Annie Wingate of Eufaula High School; Rae Winters of Elba High School; and Aiden Wright of Dale County High School.  The Southeast Gas Community Service Scholarship is a competitive scholarship available to high school seniors who serve their communities with a sincere intent of making the world a better place. This year’s recipients served in a variety of ways, including volunteering at local soup kitchens, focusing on health issues and providing basic care at senior citizen health fairs, going into the mission field, providing dental supplies to underserved families, providing support for families in distress following trauma, encouraging local Veterans, playing with and encouraging teammates as buddies for the Miracle League, and — more than anything else — seeing needs and meeting needs throughout Southeast Alabama and beyond.  “These students exemplify the Southeast Gas vision to serve,” says Southeast Gas Board Chair and Andalusia City Councilman Kennith Mount. “Collectively, they represent more than 10,000 hours of service locally, regionally, and globally,” he says. “I am so proud to have this group of students representing Southeast Gas as this year’s Community Service Scholarship recipients.”  The Community Service Scholarship program is part of an overall commitment by Southeast Gas to serve area schools through its Give Back to Schools initiative. Since the scholarship’s inception in 2015, 169 students have received more than $250,000 in funding to assist with college. Additionally, local schools in the Southeast Gas service area receive direct assistance through the company’s Give Back to Schools programs, totaling more than $1,400,000 over the past 14 years.  Southeast Gas volunteers also spend time working to improve many of the campuses through construction assistance, landscaping, painting, gas appliance maintenance, light carpentry, tutoring, mentoring and many other activities.  Southeast Gas provides natural gas service to 36 communities throughout Southeast Alabama, and is owned by 14 cities: Abbeville, Andalusia, Brundidge, Dothan, Elba, Enterprise, Eufaula, Fort Deposit, Greenville, Headland, Luverne, Opp, Ozark and Troy.","https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LmFuZGFsdXNpYXN0YXJuZXdzLmNvbS8yMDIzLzA1LzE4L3NvdXRoZWFzdC1nYXMtcHJlc2VudHMtY29tbXVuaXR5LXNlcnZpY2Utc2Nob2xhcnNoaXBzLXRvLTI1LXN0dWRlbnRzL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-10-03","Not Discerned","{""Hattiesburg"", ""Mississippi"", ""UnitedStates""}","Thu 18 May 2023 19:13:06","The United States gained 20 new citizens Thursday after the immigrants took the oath of allegiance during a ceremony at William M. Colmer Federal Courthouse in Hattiesburg.  U.S. District Magistrate Judge Michael Parker of Mississippi's Southern District presented the new Americans with their certificates of citizenship.  ""This is my special day,"" said Daniel Dai Huynh, who emigrated from Vietnam.  The engineering student who lives in Brandon is working on a degree at Mississippi State University.  Citizenship will open up a world of opportunities, Huynh said.  Fight for water:Federal attorneys agree to pause litigation for water violations in Jackson  Parker praised Louiza Olivia Liu for her early show of patriotism. Liu is serving in the Navy and is stationed in Gulfport.  Liu, who lived in Los Angeles before coming to Mississippi, has been in the United States for 10 years. She initially came to the U.S. from China to go to college. After finishing up her education, she decided to join the military to serve her new country as she worked toward citizenship.  Parker recognized Liu for her service.  ""It is incredible to me that we have people who are in harm's way who are not yet citizens who do all the things and more than some of the rest of us do to support our country in such an important way,"" he said.  'Mississippi miracle':Students' reading scores have soared in Deep South states  The new citizens were presented with small gifts and U.S. flags by local chapters of the Daughters of the American Revolution.  Femi Oloko of Jackson, who emigrated from Nigeria, took the oath of allegiance while his wife Pam Oloko and children 4-year-old Tyler and 3-year-old Paityn watched from the audience. He raised his flag and waved it as he returned to his seat.  ""I'm so happy to become a citizen today and enjoy all the benefits that come with it,"" said Femi Oloko of Jackson, who emigrated from Nigeria. ""This is a lovely country. The people are so good and sweet. I want to be part of it.""  Each of the new citizens had to complete a rigorous program to learn about their new country before they were eligible for citizenship.  Now that they are citizens, they can register to vote and seek political office, with the exception of president, a job that can only be filled by a native-born American. They also can seek jobs with the federal government.  This is especially important to Hannah Hien Nguyen of Petal, who came to the United States from Vietnam. She is working on a degree in accounting at the University of Southern Mississippi.  ""My goal is actually working for the IRS,"" she said. ""This is very important to me. I've been waiting for this day for a long time.""  As new citizens, Parker encouraged the group to get involved in their communities and participate in the workings of government.  He quoted former U.S. Supreme Court Justice Larry Brandeis, telling the group of new citizens, ""The most important political office is that of the private citizen.""  New citizens of the United States  Twenty Mississippi residents took the oath of allegiance Thursday. Here are their names and what countries they are from. Some of the new citizens adopted new names along with their new country.  Irma Dalys Frontiero, Panama  Louiza Olivia Liu, China  Krishna Rote, India  Alexander James John, Dominica  Hannah Hien Nguyen, Vietnam  Karen Lizbeth May Aguirre, Mexico  Trinh Nhat Tran, Vietnam  Priscilla Hsientzu Hsing, Taiwan  Trinh Vo Nguyen, Vietnam  Francisca Aguas, El Salvador  Bryan Jang, South Korea  Vivian Jang, South Korea  Femi Oloko, Nigeria  Amisha Anil Patel, India  James Shijun Wang, China  Nisha Bharat Patel, India  Manjie Tan Mu, China  Daniel Dai Huynh, Vietnam  Mamoun Kitana, Jordan  Hoang Vu Nguyen, Vietnam  Do you have a story to share? Contact Lici Beveridge at lbeveridge@gannett.com. Follow her on Twitter @licibev or Facebook at facebook.com/licibeveridge.","https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmNsYXJpb25sZWRnZXIuY29tL3N0b3J5L25ld3MvbG9jYWwvMjAyMy8wNS8xOC9taXNzaXNzaXBwaS13ZWxjb21lcy0yMC1uZXctdXMtY2l0aXplbnMtZHVyaW5nLWNlcmVtb255LzcwMjI4NzgzMDA3L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-05-13","Not Discerned","{""Middleborough"", ""Massachusetts"", ""UnitedStates""}","Fri 19 May 2023 00:00:41","A 15-year-old Massachusetts boy has died after he was struck by a vehicle Sunday evening.  According to Police Chief Joseph Perkins and Fire Chief Owen Thompson, Middleborough Police received multiple calls at 7:23 p.m. that a young male was struck by a car on East Grove Street (Route 28) in front of Hannaford’s supermarket.  Upon arrival, police found an injured 15-year-old male. He was treated at the scene and taken by medical helicopter to Hasbro Children’s Hospital in Providence for treatment.  The driver of the vehicle stopped at the scene and was cooperating with police.  It has been revealed that the victim is Middleboro High School freshman Dylan Levesque.  According to a social media post by Dylan’s mother Chelsea, he was determined to be brain dead, but his spirit will live on.  “As everyone already knows, the absolute light of my life, my sweet boy Dylan, was hit by a car while walking home from work on Mother’s Day. He was medflighted to Hasbro Childrens Hospital in RI in critical condition with a life-threatening brain injury.  “My baby has been fighting to survive since he arrived. The wonderful doctors here have done everything they could to help him. But unfortunately, the damage was too severe and there was no medical intervention left to save him. This morning, my angel was determined to be brain dead and declared clinically deceased.  “But his legacy does not end there. While my sweet sweet boy’s brain isn’t helping him to stay alive, the rest of him is in healthy, functioning condition. And now he will be a Hero. He will be donating organs to others in need. He may have been robbed of the opportunity to grow up, get married and have children…. But perhaps a life that he saves, will do just that. Get married and have children…. And a piece of him will live on in them.  “My hope is that a miracle can be found in such tragedy. Sunday may have been the worst day of my entire life… but my wish is that someone else can receive the best news in the world, they can be given a chance at life. Because my sweet angel saved them. And I know he is proud.  “To my Dylan, I am beyond proud of the young man that you have become. I will love you forever and always and I hope that your resting in the sweetest peace.”  The community has created a Facebook group called “Fundraiser for the Levesque family” in addition to a GoFundMe fundraiser to help the family with expenses.  The crash is under investigation by the Middleborough Police Department. The Massachusetts State Police Collision Analysis and Reconstruction Section assisted at the scene.","https://news.google.com/rss/articles/CBMieWh0dHBzOi8vZmFsbHJpdmVycmVwb3J0ZXIuY29tLzE1LXllYXItb2xkLXNvdXRoZWFzdGVybi1tYXNzYWNodXNldHRzLXRlZW4tZGllcy1hLWxpZmUtc2F2aW5nLWhlcm8tYWZ0ZXItYmVpbmctaGl0LWJ5LWNhci_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-09-10","Not Discerned","{""SaratogaSprings"", ""Utah"", ""UnitedStates""}","Thu 18 May 2023 14:07:08","Morning Miracle™ is a daily congestion and allergy relief stick. After ten years of trial and error, the creator of this solution, Mōmilabs, insists that people who suffer from chronic nasal congestion, which typically...","https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3Lm91dGxvb2tpbmRpYS5jb20vdG9waWMvbmF0dXJhbC1hbGxlcmd5LWNvbmdlc3Rpb24tcmVsaWVm0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-04-01","Not Discerned","{""Bath"", ""BathAndNorthEastSomerset"", ""UnitedKingdom""}","Thu 18 May 2023 07:10:00","At last, spring has most definitely sprung . The sun is shining, the sky is (sometimes) blue and we’re no longer commuting home in the dark. Hurrah! When it comes to our wardrobes , we’re losing the layers, packing away the puffer jackets and daring to pick easier, breezier looks (as far as the Great British Weather will allow, of course). With some careful layering, the likes of classic blue jeans and lightweight knits can work year-round but there's one item that, time and again, ushers in the warmer months: the spring dress.","https://news.google.com/rss/articles/CBMiRGh0dHBzOi8vd3d3LnJlZmluZXJ5MjkuY29tL2VuLWdiL2FudGhyb3BvbG9naWUtc3ByaW5nLXN1bW1lci1kcmVzc2Vz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2019-07-21","Not Discerned","Not Discerned","Thu 18 May 2023 07:00:00","Katikati man Roy Nugter's rare cancer is spreading through his body. But he's not ready to give up on life and is fighting to stay alive for his young son.  A Katikati father with terminal cancer has now raised half of the $100,000 needed to fund a “miracle” drug that could prolong his life after an outpouring of community support for his cause.  Roy Nugter has a rare cancer and is so desperate to stay alive for his 10-year-old son that he had resorted to distributing leaflets asking for help to afford to raise money to buy the drug Keytruda – a treatment that could help his immune system fight the cancers.  Nugter, who has stage 4 squamous cell carcinoma of the lungs, shared his story with the Bay of Plenty Times Weekend last week. Because the type of cancer is so rare, it does not meet the threshold for Pharmac funding for Keytruda, he says.  Pharmac funds Keytruda for some cancers, within certain patient eligibility criteria. In March, it announced it would fund Keytruda for some skin and lung cancers.  Nugter has now raised more than $54,000 on his Givealittle page, with a wave of donations flooding in following Saturday’s story.  “I’m halfway there. I’m blown away. I just didn’t expect it,” he said.  Nugter said he received an email every time there was a donation. By Wednesday afternoon he had received 139 emails. More than $17,000 flowed in within two days from people wanting to help.  “I’m replying to every one of them to say ‘thank you’.”  “It’s just a small thank you but it [each donation] means so very much to us.”  The doctors who diagnosed his rare cancer in 2018 estimated he likely had one to three years left. He’s lasted four-and-a-half.  The cancer has since spread, resulting in two brain tumours and others in his body. One sits perilously close to his spinal cord - affecting his use of his right hand and arm - and the other near his trachea. The chemotherapy he was on is no longer effective.  Nugter used to work as an industrial cleaner, earning more than $1000 a week in the hand. Now the family survives on $350 a week from a sickness benefit and superannuation.  His wife Debbie gave up her job when her parents were involved in a horrific crash near Athenree on January 2. Her father David Hard was killed and her mother Glenda was critically injured. Debbie was now the main driver and support for both Roy and her mother, plus Kobie.  Roy Nugter is fighting to stay alive for his son Kobie, 10. Photo / Alex Cairns  The couple considered selling their Katikati home to fund the drug but Roy was concerned his family would end up homeless.  Roy said before last week’s story, he had begun to worry that they would not be able to reach their goal.  “But now, I honestly think I can get there. It’s not going to be easy, and I still need to do things.”  He was already cutting up a fresh batch of leaflets in preparation for distributing them onto cars again.  Roy and Debbie Nugter previously said they were past the point of pride. The need to stay alive long enough to be a father to Kobie, especially since his Poppa was no longer around, was their number one goal.  “The doctors have said don’t start until you can afford a full course. But if can get to $70,000, then I will start it. That will give me seven months to find the rest,” Roy said.  If that meant more leaflet drops and other fundraising initiatives, then so be it, he said.  A full course of Keytruda involves 10 rounds. It is a type of immunotherapy and works by helping immune systems fight certain cancers.  Keytruda is considered a “miracle” drug because of its effectiveness.  Nugter was not sure he would ever be able to thank those who donated enough but he wanted to try, he said.  “It’s just incredible. People are incredible.”  Last week, in response to Nugter’s case, Pharmac director of operations Lisa Williams said it used a unique funding model, working within a fixed budget, which was different from the rest of the world – it meant they had to make difficult decisions [about] which treatments they could fund.  Williams said there was a “separate funding assessment pathway” that allowed consideration of applications from doctors for the funding of treatments “for people whose clinical circumstances are unique or unusual”.  “We empathise with all New Zealanders who are unwell and their whānau who support them. Hearing how medicines impact the lives of New Zealanders is really important in helping us understand what treatments we should be funding.”                ","https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5uemhlcmFsZC5jby5uei9iYXktb2YtcGxlbnR5LXRpbWVzL25ld3Mva2F0aWthdGktbWFuLXJveS1udWd0ZXItb3ZlcndoZWxtZWQtYXQta2V5dHJ1ZGEtZG9uYXRpb25zLWFzLXRob3VzYW5kcy1pbi1jYXNoLWZsb29kLWluL1lKR0dGUlAzTEZGRlZNRVpXMkk3NVI3QlQ0L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-10-05","Not Discerned","{""WashingtonPark"", ""Illinois"", ""UnitedStates""}","Thu 18 May 2023 15:19:13","The project, from the nonprofit developer Archway Communities, is part of the Urban Land Institute’s Mosaic Community Campus.  The Urban Land Conservancy‘s massive transformation of the former Johnson and Wales campus into the Mosaic Community Campus in South Park Hill hit a big milestone on Thursday.  Nonprofit leaders, financiers, and city and state brass participated in a groundbreaking to celebrate turning four dormitories into 154 units of income-restricted housing. The dorms will be remodeled as a mix of studios for individuals up to three bedrooms for small families.  Most units will be for people making between 30% and 60% of the area median income (currently $24,650 to $49,260 for an individual or $31,650 to $63,300 for a family of three), and 10% of them will be reserved for people making below 30% of the median income (currently under $24,650 for an individual or $63,300 for a family of three).  The units should begin to be available in 2024.  The campus, as a whole, includes community kitchens from Kitchen Network, the St. Elizabeth’s School, the Denver School of the Arts, and affordable housing built directly by the Denver Housing Authority.  The nonprofit developer Archway Communities, which purchased the dormitories from the Urban Land Conservancy, is heading up this part of the development.  Archway’s project’s total budget is $66.5 million — $3.85 million of which came from the city’s Affordable Housing Fund and much of which came through tax credits from the Colorado Housing and Finance Authority.  These projects are massive collaborations with multiple for-profit, nonprofit and government entities that can take years to assemble.  “This is not easy work, and we all know this,” said Sebastian Corradino, the head of Archway Communities.  This particular development included using historic preservation funds — and rules — making it all the more complicated. But also, possibly, palatable to the South Park Hill neighborhood and other surrounding communities, which Councilmember Chris Herndon said have offered few criticisms — a rarity when it comes to new development.  “It’s so thrilling to see what Archway is going to do to bring affordability to South Park Hill, taking these historic buildings and making them part of the community,” Herndon said.  Efforts to build new income-restricted housing and increase density are often pitted against historic preservation. In this case, both forces worked together.  “We know that everybody deserves a safe and affordable roof over their head,” said Laura Brudzynski, the city’s Chief Housing Officer and head of the Department of Housing Stability. “This project adds character and beauty to this area, in addition to providing that pathway to stability. So we’re excited to not only celebrate this project and the affordable units that are coming, but also the historic renovation underway that this project really helps to celebrate. This groundbreaking and support today for our near opening underscores how Historic Preservation can also provide much-needed affordable housing within our community.”  The nonprofit’s board member Lee Berg, a pastor at the United Church of Christ in Washington Park, said “This is a miracle in my world, to have this many organizations come together, lean into it and make it happen.”  The impact a project like this has on individuals with housing they can afford is huge. Yet the dent projects like these put in the overall need is small.  After the groundbreaking, David Nisivoccia, head of the Denver Housing Authority, told Denverite that roughly 60,000 income-restricted units are currently needed and the demand has risen over the past year.  Including the remodeling of the dorms, Denver’s Department of Housing Stability is currently funding 1,870 units under construction at 31 separate sites across the city. Another 599 are in the works.","https://news.google.com/rss/articles/CBMihwFodHRwczovL2RlbnZlcml0ZS5jb20vMjAyMy8wNS8xOC9vbGQtam9obnNvbi1hbmQtd2FsZXMtY2FtcHVzLWRvcm1zLWluLXNvdXRoLXBhcmstaGlsbC1hcmUtYmVpbmctdHVybmVkLWludG8taW5jb21lLXJlc3RyaWN0ZWQtaG91c2luZy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2001-07-10","Not Discerned","{""LosAngeles"", ""California"", ""UnitedStates""}","Thu 18 May 2023 07:19:00","Toby Symonds  TO keep a franchise at the top of the box office charts for over 20 years is no mean feat. To do so with the original cast still largely in situ is something of a miracle. When it comes to staying power, there aren’t so many series that can match that of the Fast and Furious.  It’s funny to think now, looking back now to 2001, that Rob Cohen’s original The Fast and the Furious concerned little more than stolen DVDs and a road race. How quaint it must seem. Two decades have transformed the series’ once grungy verve into a shimmering, multi-billion dollar juggernaut, making A-listers of its stars along the way. The action has ramped way past 11 and budgets swollen farther still.  This week, Fast X, the tenth in the series, hits cinemas as one of the most expensive films ever made. Bolstered by a production budget of well over $300m, the film promises vehicular action like fans have never seen before, set against a global backdrop more expansive than most blockbusters can even dream of.  While each new F&F film has tried to best its direct predecessor, the sense that all the stops are being pulled out for Fast X is palpable. The beginning of the end is here and the familia Toretto are going out with a bang. Part two will follow in 2025.  Also this week comes Kelly Fremon Craig’s Are You There God? It’s Me, Margaret. This being the hotly anticipated adaptation of Judy Blume’s seminal seventies novel of the same name.  Known for its fiendishly frank relatability, Blume’s book has been celebrated and reviled in equal measure across the fifty years since its publication. It is a tale of teenage anxiety, of bra sizes, hormones and menstruation. It was banned in Harrogate.  Abby Ryder Fortson - Ant-Man’s young Cassie Lang - is a delight as 11-year old Margaret Simon, daughter of Rachel McAdams’ Barbara and granddaughter to Kathy Bates’ Sylvia. It is through Margaret’s wide eyes that the reality of puberty is plated out and through her tightening frame that we feel the cringe. As it turns out, adolescence is no picnic If you can pummel through the exhaust fumes clogging up cinemas this week, a visit to Margaret’s world will reward you with tears of laughter and an ear to ear beam.","https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vdWsuc3BvcnRzLnlhaG9vLmNvbS9uZXdzL2ZpbG0tcmV2aWV3LXRvYnktc3ltb25kcy1mYXN0LTA3MTkwMDgxOC5odG1s0gFVaHR0cHM6Ly91ay5zcG9ydHMueWFob28uY29tL2FtcGh0bWwvbmV3cy9maWxtLXJldmlldy10b2J5LXN5bW9uZHMtZmFzdC0wNzE5MDA4MTguaHRtbA?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-05-23","Not Discerned","Not Discerned","Thu 18 May 2023 18:24:00","Amid allegations of election irregularities and fraud, a group is seeking to remove the first-term mayor of a southwest Louisiana town.  Organizers of a recall petition against Elton Mayor Kesia Skinner Lemoine filed paperwork Tuesday with the Louisiana Secretary of State's Office, news outlets reported.  Brandon Kelley, who faced Lemoine in a Dec. 10 mayoral runoff election, told the American Press that the group is seeking to remove Lemoine from office after questions surfaced about the Nov. 8, 2022, mayoral election. An investigation by KPLC-TV found voters who were claiming homestead exemptions in other parishes, some who were registered to vote using vacant lots, and others using addresses of homes that didn’t exist. The investigation found nearly three dozen people with questionable voting credentials.  ""If they found that there were enough fraudulent votes to change the outcome of the election, of course, the people of Elton’s voices were not heard,"" Kelley said.  Lemoine defeated Kelley 211-178 in last year’s runoff following the November primary election in which she had 142 votes and Kelley had 141. Brandilyn Soileau, another candidate in the mayor's race and chairman of the recall committee, garnered 80 votes while Jared ""FireCracker"" Trahan had 74.  A ‘MISSISSIPPI MIRACLE’ AS STUDENT READING SCORES RAPIDLY CLIMB IN THE DEEP SOUTH  CLICK HERE TO GET THE FOX NEWS APP  To trigger a recall election, the committee needs to collect 40%, or 276 of the 689 registered voters who live within the town limits, according to the Jeff Davis Parish Registrar of Voters office.  ""All we have to go on right now is word of mouth, but a lot of people are fairly upset in finding out that there were some election fraud going on,"" Kelley said. ""Transparency should be a big part of city government. We need to make sure that everything is transparent and that if anything wrong has been found, to right the wrong. This isn’t a witch hunt out for anybody. It is just to make sure that the people of Elton’s voices were accurately heard.""  Lemoine declined to comment on the recall effort.  Because the town electorate is under 1,000, the recall must be completed no later than 90 days following a confirmation letter from the Secretary of State's office. The state requires all the signatures to be handwritten and include the voter’s physical address. The Registrar of Voters Office must certify the signatures before the petition is forwarded to the governor. If the required number of signatures is met, the governor has 15 days to call a recall election.","https://news.google.com/rss/articles/CBMia2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL3BldGl0aW9uLWZpbGVkLXJlbW92YWwtc291dGh3ZXN0LWxvdWlzaWFuYS10b3ducy1tYXlvci1hbWlkLWNvbmNlcm5zLXZvdGVyLWZyYXVk0gFvaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvcGV0aXRpb24tZmlsZWQtcmVtb3ZhbC1zb3V0aHdlc3QtbG91aXNpYW5hLXRvd25zLW1heW9yLWFtaWQtY29uY2VybnMtdm90ZXItZnJhdWQuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en"
"miracle","2023-05-17","18:00:00","{""AlMadinah"", ""Medina"", ""SaudiArabia""}","Thu 18 May 2023 19:50:47","Let the family know you are thinking of them  Margaret A. Flood, age 75, of Medina, Ohio, passed away on May 17, 2023. She was born to Francis and Claire (Liberty) Grady on November 14, 1947, in Worcester, Massachusetts.  Margaret is survived by her children, Lynn (Michael) Gillette-Powell, Lisa (William) Dube, and Mathew Flood; her grandchildren, Meghan, Kathryn, Dylan, and Lillian; her great grandchildren, Norah and Thomas; her siblings, Mary Shepard, Joan Bombard, and Eileen (Lynn) Grady-Talbot; sister-in-law, Patricia Grady; and numerous nieces and nephews. She was preceded by her parents; her great granddaughter, Jayne; and her brother, Robert Grady.  In lieu of flowers, the family requests donations to be made in Margaret's name to, Alzheimer's Association, 23215 Commerce Park Rd. Suite 300, Beachwood, OH 44122, or Miracle City Hospice, 9150 S. Hills Blvd #100, Broadview Heights, OH 44147. The family would like to thank all the caregivers who supported Peggy in her final days. She will be laid to rest in St. John's Cemetery in Worcester, MA at a later date. Online condolences can be left at www.waitefuneralhome.com","https://news.google.com/rss/articles/CBMiL2h0dHBzOi8vd3d3LnRlbGVncmFtLmNvbS9vYml0dWFyaWVzL3BuZW8wNDkxMTk40gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
