"topic","date"," time","place","date published","article text","url"
"shooting","2023-12-03","18:00:00","{""Barberton"", ""Ohio"", ""UnitedStates""}","2023-05-19T09:44:30","Two teens have been arrested in a Barberton shooting that took place early Sunday evening, police said Thursday.  A man, whose residence was not identified by police, was shot during an altercation near the intersection of 5th Street Northeast and Jefferson Avenue. The location is near the Barberton Seventh-day Adventist Church on the city's northeast.  The man was injured in the abdomen and taken to a local hospital with injuries that weren't considered life-threatening, police said.  The suspects, both 16-year-old males from Akron, were arrested and charged with attempted murder, aggravated robbery and two counts of felonious assault, police said. They were booked into the Summit County Juvenile Detention Center on their charges.  Police said the teens saw that the man was carrying a firearm and attempted to rob him while he was walking. During the altercation, the man was shot, police said.  Leave a message for Alan Ashworth at 330-996-3859 or email him ataashworth@gannett.com. Follow him on Twitter at @newsalanbeaconj.","https://news.google.com/rss/articles/CBMiiQFodHRwczovL3d3dy5iZWFjb25qb3VybmFsLmNvbS9zdG9yeS9uZXdzLzIwMjMvMDUvMTkvMi10ZWVucy1ha3Jvbi1hcnJlc3RlZC1zaG9vdGluZy1iYXJiZXJ0b24tcG9saWNlLTV0aC1zdC1qZWZmZXJzb24tYXZlbnVlLzcwMjM0MDk4MDA3L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-04-01","19:34:00","{""Merced"", ""California"", ""UnitedStates""}","2023-05-19T23:10:46","A 19-year-old Merced man was arrested on suspicion of the murder of a 20-year-old woman who was shot while attending a party at a business complex in Merced in April, according to police.  Jose Kevin Valencia-Zavala, a known gang member, was denied entry at the party held at a marijuana vendor in the 1800 block of Grogan Avenue in Merced on April 21, according to the Merced Police Department.  Valencia-Zavala got upset and started fighting with other patrons. Valencia-Zavala left, but returned shortly and started shooting at people who were loitering outside the establishment.  The Merced Police Department received multiple calls about a shooting at approximately 7:34 p.m.  Officers responded and located 20-year-old Kaylie Lynn Allen suffering from a fatal gunshot wound. First responders provided lifesaving efforts, but Allen was pronounced deceased at the scene.  Detectives obtained a warrant for Valencia-Zavala’s arrest. He was arrested after a gang unit officer saw him leaving a motel on East Childs Avenue in Merced.  Valencia-Zavala was booked into the Merced County Jail. His bond was set at $1 million, according to jail records.  Merced police are asking anyone with information regarding the incident to contact Detective Steven Odom at 209-388-7814 or by email at odoms@cityofmerced.org.","https://news.google.com/rss/articles/CBMiRWh0dHBzOi8vbmV3cy55YWhvby5jb20vYXJyZXN0LW1hZGUtcGFydHktc2hvb3RpbmctbGVmdC0yMzEwNDYzMjYuaHRtbNIBTWh0dHBzOi8vbmV3cy55YWhvby5jb20vYW1waHRtbC9hcnJlc3QtbWFkZS1wYXJ0eS1zaG9vdGluZy1sZWZ0LTIzMTA0NjMyNi5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-07-12","Not Discerned","{""Memphis"", ""Tennessee"", ""UnitedStates""}","2023-05-19T18:49:09","MEMPHIS, Tenn. — Police say a man who was servicing an ATM inside a North Memphis store was assaulted, shot, carjacked and robbed of a safe full of $120,000 in cash Wednesday.  Two people have been arrested in the crime. Police identified them as Royce Newsome, 30 and Alvin Anthony, 28.  According to records, the victim was walking out of the Save Market store at 1648 Oakwood and toward his car when someone came up from behind and assaulted him.  Two other then people got in the victim’s car. One of them fired a shot at the victim, hitting him in the back, police said.  They then sped away in the victim’s car, valued at $29,000. Inside was a safe containing $120,000 in cash from ATMs. Both the car and the safe, with contents still inside, were later recovered by police.  Investigators said surveillance video from the store showed two vehicles circling the store several times before the incident, and speeding away afterward. One was a red Honda Accord with temporary tags and a missing front bumper; the other was a black Nissan Altima with temporary tags, a missing front bumper and a bullet hole in the gas cap.  The next day they found more surveillance video showing the victim had been followed from store to store by the same vehicles.  MPD task force members reported they’d found both vehicles parked at a house in the 1500 block of Paullus in Frayser. When officers arrived, they say they found Newsome pulling into the driveway in the Altima, wearing the same clothes he was wearing in surveillance video.  Newsome admitted to owning the Altima, and phone records showed he was in the area of the robbery, police said. He is charged with attempted first-degree murder, carjacking, use of a firearm in a dangerous felony, aggravated robbery, conspiracy to commit robbery, and being a felon in possession of a firearm. Bond was set at $95,000.  Anthony, allegedly the driver of the red Honda, was also taken into custody. He is charged with attempted first-degree murder, carjacking, use of a firearm in a dangerous felony, aggravated robbery, tampering with evidence and conspiracy to commit robbery. Bond was set at $85,000.","https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3JlZy5jb20vbmV3cy9sb2NhbC90d28tYWNjdXNlZC1vZi1yb2JiaW5nLXNob290aW5nLWF0bS1zZXJ2aWNlLW1hbi1vZi1jYXItY2FzaC_SAVxodHRwczovL3dyZWcuY29tL25ld3MvbG9jYWwvdHdvLWFjY3VzZWQtb2Ytcm9iYmluZy1zaG9vdGluZy1hdG0tc2VydmljZS1tYW4tb2YtY2FyLWNhc2gvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2018-03-21","Not Discerned","{""Our"", ""FrancheComte"", ""France""}","2023-05-19T21:52:42","Partially paralyzed from the waist down, doctors told Travis-Bey it was a slim chance he would ever walk again, but he's determined.  ""All I remember hearing is three gunshots and I blacked out,"" recalled Dominique ""Dom"" Travis-Bey.  DREXEL HILL, Pennsylvania (WPVI) -- Dominique ""Dom"" Travis-Bey is sharing his story of recovery after being shot three times on March 21.  Travis-Bey said he was just returning to his Upper Darby home after completing his shift as a bartender and hanging out with friends in Drexel Hill.  The home, located on Greenwood Avenue, was inherited by his mother. He was working to fix up the home using a generator for power. Someone entered his home through the back.  ""All I remember hearing is three gunshots and I blacked out. I was shot from the back. I never saw who shot me. The next thing I remember was waking up three and a half, four hours later on my dining room floor. I had to crawl further to the front door to call for help,"" recalled Travis-Bey.  Dominique ""Dom"" Travis-Bey  He was shot three times in the back.  Travis-Bey would have parts of his kidney, intestines and colon removed, and there are still bullet fragments left near his spine.  Partially paralyzed from the waist down, doctors told Travis-Bey it was a slim chance he would ever walk again.  But he's determined.  ""It's all been a test. It's not like I don't have the moments of 'why did this happen to me,' you know, 'what did I do to make something like this to happen to me,'"" said Travis-Bey. ""I look outside now and see people walking and I'm like, wow, and I'm like not too many people realize what a blessing it is.""  Today, he's re-learning simple things like how to get dressed on his own.  ""Self-care skills, things you wouldn't have thought about beforehand, prior to this injury. It's relearning and retraining your body,"" said Stefani Samuels, an occupational therapist at Magee Rehabilitation Hospital.  Samuels says she's worked with countless gunshot victims.  Stories like Travis-Bey's are the brutal reality of the aftermath of crime and gun violence. It's something he never thought would impact him.  ""I was never really opinionated about gun violence or drug use, or that kind of very focused on myself. After this, I was kind of forced to really think about what has happened in our city and in our community,"" said Travis-Bey.  Right now he doesn't have a plan for what he wants to do, but says he's eager to get to work.  ""It's something that's got to stop, especially in the City of Brotherly Love,"" said Travis-Bey. ""I'm eager to get into the community and advocate for what situations like mine are and for countless other people in this city. I mean there are children out here getting hurt.""  Travis-Bey says he's thankful for his community and friends. More than $30,000 was raised on a GoFundMe to help with medical costs.  Upper Darby police continue to investigate this case. There have been no arrests.  Anyone with information is asked to call Upper Darby police detectives at 484-574-1157.","https://news.google.com/rss/articles/CBMidWh0dHBzOi8vNmFiYy5jb20vdXBwZXItZGFyYnktc2hvb3RpbmctZG9taW5pcXVlLWRvbS10cmF2aXMtYmV5LWJhcnRlbmRlci1zaG90LW1hZ2VlLXJlaGFiaWxpdGF0aW9uLWhvc3BpdGFsLzEzMjcwODIxL9IBeWh0dHBzOi8vNmFiYy5jb20vYW1wL3VwcGVyLWRhcmJ5LXNob290aW5nLWRvbWluaXF1ZS1kb20tdHJhdmlzLWJleS1iYXJ0ZW5kZXItc2hvdC1tYWdlZS1yZWhhYmlsaXRhdGlvbi1ob3NwaXRhbC8xMzI3MDgyMS8?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2022-05-14","Not Discerned","Not Discerned","2023-05-19T18:42:44","BUFFALO, N.Y. (WIVB) — When students decades from now pass through the Buffalo History Museum, what will represent May 14, 2022?  “That’s the conversation we need to have,” said Garnell Whitfield, who lost his mother, Ruth, in the attack. “5/14 didn’t just happen. It’s been in the making for hundreds of years.”  What artifacts will sit enclosed in glass? Whose recorded voice will recount the earth-shattering pain? What documents will share America’s systemic issues with race?  It’s a day that will forever be seared in the history of Buffalo, New York.  “I want her to be remembered in death as the impetus for change that we are working for,” Whitfield said.  Whitfield says the history behind what led to the murder of 10 innocent people needs to be documented. As do the memorial items left at tops in the months that followed. And the stories of those lost and traumatized.  “It’s important work,” Whitfield added. “I mean, one of the problems with where we are today in our society is our history has not been preserved. Our history has been told by others, if at all. And so, I think it’s important we start preserving our history and being the authors of our own narrative.”  The Buffalo History Museum’s Resource Center is on Forest Avenue, a mile away from the cherry blossoms and marble columns. That’s where memorial items with the names and images of those lost rest safely. Artifacts placed at the scene with messages of hope and change were saved from the destruction of Buffalo’s winter.  Melissa Brown is the museum’s executive director.  “I can sit here and tell you I don’t have all the answers for how this collection is going to take shape in our community,” Brown said.  But, with the help of the victim’s families and community stakeholders, the museum is looking for solutions.  “We’re growing our partnership base,” Brown said, “because the first part is ensuring there’s a record. And then, the way you and I interpret something might be very different from the way a historian looks back on this event 60 years from now. We just want to make sure that there’s an authenticity to the record, that there’s a fullness to the record.”  Brown meets with the victim’s families monthly to discuss preservation progress. She says a key piece of documenting May 14 goes beyond the preserved memorial pinwheels and signs.  “There is a call to action,” said Brown. “A call to communicating, what is racism? What is the history in our community? What is the history of segregation that has impacted this community for generations? And there is a universal agreement that those stories need to be discussed. This is one piece of a greater story that didn’t just start that day.”  The Buffalo and Erie County Public Library is working to help record the spoken history of community members this fall.  “It’s going to be a very difficult time for the community and especially for the families of the victims,” said Dorinda Darden of the Buffalo & Erie County Public Library. “And I just want them to know that we’re going to do our best to make sure their stories are told.”  So, will there be an exhibit? Melissa Brown says that answer is being worked out.  For the time being, her focus is on making sure the complex history of May 14 is saved.  “The exhibit that I want to see is people doing differently, treating us with respect,” said Whitfield. “That’s the exhibit that’s needed. America needs to own up to its history, to its past, acknowledge our contribution to this nation, to this world, and do differently going forward.”","https://news.google.com/rss/articles/CBMiqwFodHRwczovL3d3dy53aXZiLmNvbS9uZXdzL2J1ZmZhbG8tc3VwZXJtYXJrZXQtbWFzcy1zaG9vdGluZy10b3BzL3ZpY3RpbXMvaG93LXdpbGwtaGlzdG9yeS1yZW1lbWJlci10aGUtYnVmZmFsby1tYXNzLXNob290aW5nLWhpc3RvcnktbXVzZXVtLXN0YXJ0cy1ieS1wcmVzZXJ2aW5nLWFydGlmYWN0cy_SAa8BaHR0cHM6Ly93d3cud2l2Yi5jb20vbmV3cy9idWZmYWxvLXN1cGVybWFya2V0LW1hc3Mtc2hvb3RpbmctdG9wcy92aWN0aW1zL2hvdy13aWxsLWhpc3RvcnktcmVtZW1iZXItdGhlLWJ1ZmZhbG8tbWFzcy1zaG9vdGluZy1oaXN0b3J5LW11c2V1bS1zdGFydHMtYnktcHJlc2VydmluZy1hcnRpZmFjdHMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-05-03","Not Discerned","{""SiouxFalls"", ""SouthDakota"", ""UnitedStates""}","2023-05-19T19:59:00","Two suspects have been arrested in the death of a 6-year-old boy nearly two weeks after he was gunned down as he played in the yard of a Kansas home with his uncle and a 7-year-old cousin, police announced Thursday.  Police said 20-year-old Lakevis Sloan and a 17-year-old were taken into custody Tuesday evening as they exited a Greyhound bus in Sioux Falls, South Dakota. They are awaiting extradition, charged with second-degree murder in the May 3 shooting death of 6-year-old Sir’Antonio Brown. Charging documents show that Sloan also is charged with aggravated child endangerment.  ""These arrests doesn’t take the pain away, but they bring a little comfort,"" his godmother, Shyneisha Hill, said.  Police, meanwhile, used the arrest to ask for help locating a third, not-yet-identified suspect.  ""Don’t wait any longer, because we will arrest anybody and everybody who is housing or covering for this child killer,"" Det. Mark Bundy said.  KANSAS GOV. KELLY ISSUES PARTIAL VETO OF GOP EDUCATION PLAN, TRIGGERING POTENTIAL LEGAL BATTLE  Police said previously that the suspects came to the Kansas City neighborhood with the intention of targeting someone, although they provided no additional details. The Wyandotte County prosecutor’s office spokesman said he didn’t know if they have attorneys.  Hill believes they were after the child's uncle, whom she described as ""in a lot of mess."" He was sleeping in his truck, she said, parking it in front of another relative’s home at night.  ""Nobody really knows what the beef is,"" she said. ""We just are really trying to figure out, like, how it was that serious? Whatever it was, was it that serious to disregard the lives of children?""  The gunfire erupted as her own son, Qwamayne Frazier, was in the backyard playing with Sir’Antonio, who was called Sir by his family, she said. The children's homes are across the street from one another and they attended the same school. After they got off the bus, they would change clothes and rush outside to play.  They were ""just doing what they do normally, just out there playing, riding the bike, jumping on the trampoline, running around in the yard,"" Hill said.  Sir’Antonio's mom was at work but Hill was home when a car came to a stop, she said.  ""This wasn’t just a random drive by shooting,"" she said. ""The suspects actually got out on foot, out of their car, seeing our kids out there.""  She said the suspects fired down the street, hitting Sir’Antonio but no one else. The shooting left her son unable to sleep alone, clingy, unwilling to go outside, simply repeating: ""I know what happened to Sir. I can tell what happened to Sir,"" she said.  When the crime scene tape disappeared, she said, he asked her: ""How are we going to be protected?"" She vowed to safeguard him with her life, she said, but the promise felt hollow initially, with the suspects still on the lose.  ""We don’t know if they’re going to come back,"" she said at the time. ""We just don’t know.""  CLICK HERE TO GET THE FOX NEWS APP  She said the children were best friends, describing themselves as brothers. ""That’s just how we raised them,"" Hill said.  Hill recalled Sir’Antonio as ""the best kid ever,"" happy, outspoken and athletic. Every Sunday, he was in church, emptying his pockets at offering time.  ""He was such a gentleman,"" she said. ""He always made himself present, and he was just always there for everybody.""","https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzLzItYXJyZXN0ZWQtZmF0YWwtc2hvb3Rpbmcta2Fuc2FzLTYteWVhci1vbGQtcGxheWluZy1vdXRzaWRl0gFaaHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvMi1hcnJlc3RlZC1mYXRhbC1zaG9vdGluZy1rYW5zYXMtNi15ZWFyLW9sZC1wbGF5aW5nLW91dHNpZGUuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-05-18","Not Discerned","{""Plymouth"", ""Minnesota"", ""UnitedStates""}","2023-05-19T15:29:51","A teen is dead after a shooting Thursday night on Indian Creek Drive, the Cumberland County Sheriff’s Office said Friday.  Deputies were called to the reported shooting shortly before midnight in the 2300 block of Indian Creek Drive, according to a news release. A short time later, law enforcement responded to the 1800 block of Sapona Road near South Plymouth Street for a car accident, an official said.  There, they located the male juvenile with a gunshot wound. He was pronounced dead at Cape Fear Valley Medical Center, the release said.  The teenager’s name was not released due to his age, according to the Sheriff's Office. Information on whether he was driving the car or if anyone else was in the vehicle was not immediately available. The two crime scenes are about a mile apart.  Investigators believe the shooting was not random, according to the release.  Anyone with information is asked to call Senior Sgt. C. Zwan with the Homicide Unit at 910-677-5503 or Crimestoppers at 910-483-8477. Crimestoppers information can also be submitted electronically by visiting http://fay-nccrimestoppers.org and completing the anonymous online tip sheet or downloading the free “P3 Tips” app available on the Apple and Google Play app stores.  Public safety reporter Lexi Solomon can be reached at ABSolomon@gannett.com.  Special Subscription Offers","https://news.google.com/rss/articles/CBMiigFodHRwczovL3d3dy5mYXlvYnNlcnZlci5jb20vc3RvcnkvbmV3cy9jcmltZS8yMDIzLzA1LzE5L2N1bWJlcmxhbmQtY291bnR5LXNob290aW5nLWFmdGVyLWNhci1hY2NpZGVudC1sZWF2ZXMtdGVlbmFnZS1ib3ktZGVhZC83MDIzNDk2NTAwNy_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-05-19","Not Discerned","{""OakHills"", ""Oregon"", ""UnitedStates""}","2023-05-19T18:34:31","A man who was 15 when he shot an Oak Hill father who later died was sentenced Friday to 45 years in prison.  James Z. Powell, now 20, shot Joel Tatro, the homeowner who told Powell he was not invited and had to leave a gathering at Tatro's home in 2019.  Powell was found guilty earlier this year of second-degree murder and aggravated battery.  Tatro was left paralyzed from the neck down and died three years later. The medical examiner ruled the cause of death as COVID-19 with complications.  Guilty verdict in Oak Hill shooting:Man found guilty of second-degree murder in Oak Hill father's death  Prosecutor at murder trial:Oak Hill man died of gunshot wound, not COVID-19  Previous coverage:Oak Hill man dies 3 years after being shot, paralyzed by teen at kids' party  Powell spoke before his sentencing and expressed his condolences to the Tatro family, who packed one side of the courtroom at the S. James Foxman Justice Center in Daytona Beach. Powell's family filled the other side.  “But this situation was never supposed to happen,"" Powell said. ""… This was a COVID death, sir. I never had no intention of doing no harm to him.”  Powell mentioned a letter that contained false accusations against him and was worried the allegations would prompt the judge to hand down a harsher sentence.  “I’m not the person that they are trying to paint me to be,” Powell said. “I’m not a criminal. I’m not a gang member. I’m just me. I’m not a violent person.”  Because Powell was a juvenile at the time of the crime, he is entitled to a sentence review after serving 25 years at which time he could be released from prison.  Defense attorney Richard Zaleski Jr. said the encounter had spiraled out of control and escalated very quickly. He said 25 years was a severe sanction for someone who was 15 at the time of the offense. He said he was not making an excuse but offering mitigation, pointing out that a teenager's brain is not fully developed.  He also said there was a racial element as he had claimed in the trial, but which witnesses for the state denied.  “A car full of Black young men going to a party in Oak Hill; there was some racial tension there,” Zaleski said.  Zambrano said any past offenses by Powell would not be a factor.  ""That doesn’t influence me anyway whatsoever because the crime itself is so egregious, so egregious and resulted in the death of a human being,” Zambrano said.  “People have a right to be safe in their own home,” he said. “Mr. Tatro was in his own home. … And it is up to the rest of the world to respect people in their homes. You didn’t do that. I don’t know why you didn’t do that. And you compounded everything by arming yourself with a firearm. And then using it.""  Zambrano also said that once released, Powell would be on probation for the rest of his life. He was barred from possessing firearms. He ordered Powell not to have contact with the Tatro family once released.  Joel Tatro's son, Wyatt Tatro, wrote a statement that Assistant State Attorney Kevin Sullivan read to the court. He wrote that the shooting left him with anxiety and took away the man to whom he went for advice on life.  Wyatt Tatro wrote that he was about to become a father himself, but can't ask his own father for guidance.  Powell's father, James Powell, also spoke saying he was sorry for the Tatro family and asking the judge for leniency.  ""I know that the Tatro family has lost something that they can never get back and I'm on the verge of losing something that I can never get back,"" he said.  Shooting leaves Oak Hill father paralyzed  Tatro was shot early on the morning of Feb. 16, 2019, while hosting a gathering for his children and their friends at his East Church Street home. He died on March 7, 2022, at the age of 50.  While the medical examiner ruled the cause of death as COVID-19 with complications, prosecutors argued it was the gunshot that killed Tatro, who suffered health problems until his death.  Sullivan said during the trial that no one was suggesting that teenaged Powell intended to crash the party and cause trouble. According to testimony, another guest invited Powell. But Powell and his group were not invited by Joel Tatro, the homeowner, or Tatro’s son.  When Powell and his group were told to leave, Powell continued to argue that he had been invited, Sullivan said. Joel Tatro then walked out and said he owned the property and told Powell and his group to leave. But Powell kept arguing, Sullivan said.  Powell pushed Tatro and then Tatro pushed him back, Sullivan said.  Then Powell said, “You don’t know who you are (expletive) with,” Sullivan said.  Powell pulled out a 9 mm handgun, racked the slide to put a bullet in the firing chamber and shot Joel Tatro, according to testimony.  And while the defense said Powell and his group did not try to hide the car they drove that night, the gun has never been found, Sullivan said.  Sullivan also said race was not an issue in the case. Powell is Black. Sullivan said none of the state’s witnesses testified that anyone used racial slurs. And while some of the defense witnesses testified that racial slurs were used, one of the youths in the car with Powell said he never really heard it, Sullivan said.  Powell still faces another felony charge of battery on a person detained in a prison or jail. The charge stems from an incident on Nov. 21, 2019, in which Powell and two 17-year-old men beat another inmate to force him to give up his food and commissary.  The judge asked Powell if he wanted to resolve that case on Friday. But Powell declined to enter a plea and instead said he wanted to go to trial. Powell is due back in court on June 27.  State Attorney R.J. Larizza released a statement after the sentencing, saying it was an example of the gun violence at the hands of young shooters affecting communities.  ""The victim suffered for several years before succumbing to his catastrophic injuries,"" according to the statement. ""The victim’s family endures inconsolable suffering because the defendant resorted to gun violence based on his perception that he was disrespected. God bless and keep the family as they continue on with their lives.”","https://news.google.com/rss/articles/CBMinQFodHRwczovL3d3dy5uZXdzLWpvdXJuYWxvbmxpbmUuY29tL3N0b3J5L25ld3MvY291cnRzLzIwMjMvMDUvMTkvbWFuLXNlbnRlbmNlZC10by00NS15ZWFycy1mb3Itc2hvb3Rpbmctb2FrLWhpbGwtZmF0aGVyLWpvZWwtdGF0cm8td2hvLWxhdGVyLWRpZWQvNzAyMzQ4MjgwMDcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2019-01-05","03:00:00","{""Miami"", ""Florida"", ""UnitedStates""}","2023-05-19T11:23:14","MIAMI – After an early Friday morning shooting injured one person in Miami, crime scene technicians peppered about a dozen bullet markings around a few parked cars.  The shooting prompted a ShotSpotter alert shortly before 3 a.m., in the streets of the Liberty City neighborhood, according to the Miami Police Department.  Miami Fire Rescue also responded to the ShotSpotter alert in the area of Northwest 15 Avenue and 68 Street, west of Alonzo Kelly Park, also known as the Model City area.  Detectives were asking anyone with information about the case to call Miami-Dade County Crime Stoppers at 305-471-8477.  Local 10 News Assignment Desk Editor Frine Gomez and Photojournalist Lani Yasuk-Carrier contributed to this report.  Location","https://news.google.com/rss/articles/CBMiY2h0dHBzOi8vd3d3LmxvY2FsMTAuY29tL25ld3MvbG9jYWwvMjAyMy8wNS8xOS9zaG9vdGluZy1pbmp1cmVzLTEtaW4tbWlhbWlzLWxpYmVydHktY2l0eS1wb2xpY2Utc2F5L9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"shooting","2023-04-25","Not Discerned","{""Glenville"", ""NewYork"", ""UnitedStates""}","2023-05-19T19:35:00","CLEVELAND, Ohio -- A shooting this week in the city’s Glenville neighborhood led police to charge one of the accused gunmen with a murder that occurred last month.  Darnell Pittman, 19, appeared Thursday before a Cleveland Municipal Court judge, who imposed a $1 million bond. He does not yet have a lawyer.  Pittman was charged in the April 25 slaying of Kyron Williams, 20, who was killed on the 1100 block of East 113th Street, also in Glenville, according to police and the Cuyahoga County medical examiner. Williams was found in a driveway with gunshot wounds to his chest and body. Multiple people fired shots during the incident, and another victim was struck by a bullet and survived, authorities say.  Police linked Pittman to the murder after the Bedford Heights Police Department, on April 30, recovered a gun from him, which matched with spent shell casings from the 113th Street crime scene, according to court documents.  Police located Pittman after an apparently unrelated shooting on Tuesday. Police received a radio broadcast that morning for shots fired on Olivet Avenue. When officers arrived, local residents pointed to Pittman’s house, saying, “Get him, he out here shooting at kids,” according to a police report.  Pittman had barricaded himself inside the home, prompting police to call in the SWAT Unit. An hour later, Pittman’s mother convinced him to surrender, police say.  Officers also that day spoke with two individuals who said they were Pittman’s targets in the Olivet Street shooting.  Nigel Perry, 22, who lived a few doors down, told police he was sitting on his porch with another man when Pittman started firing in the air, then in their direction, according to the report. Perry responded by grabbing a gun from inside and unloading two or three rounds in the air, he told police.  A witness told police that Perry fired at Pittman, after Pittman shot at Perry and the other man first, according to the report.  Perry’s acquaintance told police that the incident began when Pittman started waving his arms in the middle of the street, “acting crazy,” then beginning to shoot.  Perry was arrested and charged in Cleveland Municipal Court with felonious assault. A judge on Thursday set his bond at $40,000.  Police collected two guns from Perry’s home, one of which was recorded as stolen, they say.","https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LmNsZXZlbGFuZC5jb20vY3JpbWUvMjAyMy8wNS9zaG9vdGluZy1pbi1nbGVudmlsbGUtbGVhZHMtdG8tbWFucy1hcnJlc3QtZm9yLWFwcmlsLW11cmRlci5odG1s0gF3aHR0cHM6Ly93d3cuY2xldmVsYW5kLmNvbS9jcmltZS8yMDIzLzA1L3Nob290aW5nLWluLWdsZW52aWxsZS1sZWFkcy10by1tYW5zLWFycmVzdC1mb3ItYXByaWwtbXVyZGVyLmh0bWw_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en"
