"topic","date"," time","place","date published","article text","url"
"suicide","2023-05-19","Not Discerned","Not Discerned","2023-05-19T16:10:53","Monitoring online and native-language content circulated by supporters of terrorist and violent extremist organizations in Afghanistan, Pakistan, and the broader Central and South Asian region.","https://news.google.com/rss/articles/CBMirQFodHRwczovL2VudC5zaXRlaW50ZWxncm91cC5jb20vSmloYWRpc3QtVGhyZWF0LVNvdXRoLUNlbnRyYWwtQXNpYS9pc2twLWxpbmtlZC11bml0LXByb21vdGVzLXN1aWNpZGUtYXR0YWNrcy1maW5hbmNpYWwtZ2l2aW5nLWZvci1qaWhhZC1pbi0yNXRoLWlzc3VlLW9mLWVuZ2xpc2gtbWFnYXppbmUuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2018-01-01","Not Discerned","Not Discerned","2023-05-19T16:09:00","Max Liu: ‘Britain’s answer to Hunter S Thompson is fizzling out into fear and loathing’ (Photo: Getty Images Europe)  My first thought on reading Will Self’s 2,300-word diatribe about Adrian Chiles was: where did it all go wrong for a writer who was once considered one of the most ambitious and original of his generation?  Self takes issue with Chiles’s Guardian column, which has acquired a cult following, and attributes its success to his relationship with the paper’s editor, Katherine Viner. He also speculates at length about Chiles’s penis.  Self criticises Viner’s editorship but she would have done a much better job than whoever ushered this self-indulgent mess into the New European – although no amount of editing could have saved such a silly piece.  It has been shared widely on social media by people appalled by its puerility, misogyny and colons. But I wonder how many actually made it to the end. It took me a few attempts to get past the multi-clause sentences, digressions and general lack of focus. But I got there eventually, so you don’t have to.  Readers of Self’s fiction have always needed powers of endurance. I tried to read his novella Cock and Bull on a coach from Leeds to Cornwall but had to put it aside around Leicester because I felt like my head was going to fall off and roll down the aisle.  His journalism, however, used to be a pleasure. His “Real Meals” column in The New Statesman was a must and, as a cultural critic, he could enliven any subject whether it be politics, pasties or Alain de Botton (“Alain de Bum-Bum”, as Self dubbed the philosopher in another example of his childish sense of humour).  Self’s capacity to divide readers used to make his work exciting, but reactions to his piece about Chiles have been unanimously negative. It feels desperate and reminded me of his son Luther Self’s tweet from 2018 about his father’s habit of declaring the death of the novel: “He’s a novelist who hasn’t sold any of his last two books so he assumes that the whole medium is dying.”  Is Self’s column about Chiles an attempt at committing professional suicide? Certainly, the chances of him writing for The Guardian again look slim, but the sloppiness of the piece suggests a general weariness.  Clarity has rarely been Self’s forte, but here his prose is incontinent, veering all over the place to critique Chiles’s column, pontificate about his relationship with Viner and tell us about the time Self went for a “clap test”.  Self’s maximalist style previously set him apart from his peers and had readers looking up the meanings of words such as “matitudinal” and “phlogiston”. It was often worth the trouble and he was hailed as Britain’s answer to Hunter S Thompson due to their shared enthusiasm for long sentences and drugs. After he died, Thompson’s ashes were fired from a canon but, on the basis of his piece on Chiles, Self’s career is fizzling out into fear and loathing in south London.  Self, who once said his own face resembled “a bag full of genitals”, wants you to find his fixation on Chiles’s penis deranged, as he refers to “Chiles lightly holding his guttering cock” and exclaims, bizarrely: “O! How your cock, Chiles, leavens this heavy dough of unwanted concupiscence!” But this stuff is just daft and made me feel both embarrassed for a writer who thought this was worth filing to his editor and impatient for it to be over.  There is a part about circumcision which, to put it mildly, crosses the boundary that separates the strange from the downright weird.  No doubt Self thinks his critics humourless, but that is often the last defence of the unfunny. He claims Chiles’s columns are dull, but perhaps he is jealous of their popularity. Chiles’s writing is clear, understated, surprising – the opposite of Self’s overbearing and congested bilge. Self, who says he only read two of Chiles’s columns, calls one an “advertisement for himself”. He’d know.  Self accuses Chiles of having an “engorged sense of entitlement”, which is surely an act of Self-parody too far. He knows that is what he displays in banging on so long and impenetrably about, well… what exactly? Self’s column is not really about Chiles – its true subject is Will Self. “Why would someone do that, and why would they write about it for a daily newspaper?” Self asks his reader. My thoughts exactly.","https://news.google.com/rss/articles/CBMia2h0dHBzOi8vaW5ld3MuY28udWsvb3Bpbmlvbi93aWxsLXNlbGZzLWNvbHVtbi1hYm91dC1hZHJpYW4tY2hpbGVzLWlzLWFuLWFjdC1vZi1wcm9mZXNzaW9uYWwtc3VpY2lkZS0yMzUzMzUx0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2019-07-01","Not Discerned","{""Quitman"", ""Georgia"", ""UnitedStates""}","2023-05-20T05:05:53","If you or someone you know is struggling or in crisis, help is available. Call or text 988 or chat 988lifeline.org.  Georgians living in rural communities continue to call into the national suicide prevention hotline at higher rates than other parts of the state as the one-year anniversary of the rollout of 988 approaches.  But there’s another alarming statistic causing concern in recent years about Georgia’s rural areas: The suicide rate increased even as the overall rate declined.  “We know the challenge in rural Georgia – and across really rural America – is a lack of access,” said Kevin Tanner, commissioner of the state Department of Behavioral Health and Developmental Disabilities.  “Many parts of our state are having to drive well over an hour to access care and services. We also know that stigma is much higher in rural parts of our state,” he said.  Tanner, a former Republican lawmaker who became commissioner late last year, called 988 a “catalyst” for reducing stigma. This July will mark the one-year anniversary of the national three-digit dialing code’s launch.  Georgia has an advantage over other states that are building call intake centers from scratch. The Georgia Crisis and Access Line, where 988 calls go, was established in the wake of Hurricane Katrina in 2005 to assist evacuees.  The state is also seen as a leader when it comes to its mobile crisis program, which sends trained mental health professionals out across the state. The Substance Abuse and Mental Health Services Administration, the federal agency overseeing 988, held a town hall event in downtown Atlanta Friday to spotlight Georgia, holding it up as a model.  “This state is a star, and this state is one that should be lifted up as an example – and it already is,” Monica Johnson, director of the federal 988 and Behavioral Health Crisis Coordinating Office, said at the event.  But the attention comes as the state agency responsible for the crisis call center was dealt a setback earlier this month when Gov. Brian Kemp rejected a $2.3 million funding increase for additional support to manage the ongoing rollout. Kemp also nixed extra salary bumps for mental health professionals.  Those cuts were part of a long list of line items in the budget that Kemp struck down across several agencies as concerns about future state revenues grow. Revenues dropped 16.5% last month, but overall tax collections remained up slightly – 0.9% – for the year.  “Call volume has not increased to a level requiring additional administrative support over existing levels,” Kemp wrote.  Other funding increases for 988 survived, including the $6.2 million the governor originally proposed for mobile crisis teams that are part of the services someone who calls the hotline may receive.  The calls to Georgia’s crisis center have increased by about 12%. But a federal estimate projects those calls will double once the new three-digit number is promoted through a marketing campaign, which is coming later.  “There’s some folks who may be skeptical of those numbers,” Tanner told reporters Friday. “We want to be very careful that we lay out a very clear, distinct plan about what we expect to see in Georgia, and we don’t just base it on maybe national data.”  To test what impact intensive marketing may have on call volume in Georgia, Tanner said his agency is planning a monthlong marketing campaign this summer in two mid-sized communities. The results may help justify future budget requests, he said.  Harper: ‘It takes care of the rest of us as well’  Things aren’t getting any easier in rural communities, particularly for farmers.  Inflation has made already rising input costs higher, causing ag producers to spend more to earn less as they put in long hours at tasks that often risk physical injuries. And their income depends on the whims of the market, crop-killing diseases and pests, and, of course, the weather. Just recently, a late freeze devastated Georgia peach crops.  But seeking help to deal with stress does not tend to come naturally in a profession where farmers are hard-wired to be self-sufficient, says Agriculture Commissioner Tyler Harper.  “They go to work every day with one thing in mind and focus on doing the job that they feel they’ve been called to do, and they do a phenomenal job at it,” Harper, who is also a farmer, said in an interview as part of mental health awareness month.  “But at the same time, I think – as those of us in this arena – that’s part of our weakness, too. Because whenever we are presented with a problem, we always try to find a way to fix it ourselves first.”  Harper, a Republican who was elected commissioner last fall, said he is working to increase his agency’s focus on mental health awareness. Harper pointed to a survey that yielded troubling results last year.  Nearly 30% of farmers reported thinking of dying by suicide at least once a month, according to the report produced by the Georgia Rural Health Innovation Center at Mercer University School of Medicine.  And 42% of all farmers have thought about dying by suicide at least once in the past 12 months, according to the report.  Among first-generation farmers, 61% said they had thought about dying by suicide in the last year.  “What happens so often is that person bottles up their emotions until they can’t do that anymore, and that’s what we’re seeing in our agricultural community,” said Tanner, who owns a poultry farm.  Harper’s department has been promoting the hotline and other mental health resources as a way of encouraging farmers to reach out for help.  “By asking for help, you’re better able to take care of yourself, you’re better able to keep your nose to the grind, you’re better able to be self-sustaining and support your family, which in turn takes care of our state and takes care of our economy. It takes care of the rest of us as well,” Harper said.","https://news.google.com/rss/articles/CBMidGh0dHBzOi8vZ2VvcmdpYXJlY29yZGVyLmNvbS8yMDIzLzA1LzIwL3J1cmFsLWdlb3JnaWEtc3RpbGwtZGlhbGluZy05ODgtYXQtaGlnaGVyLXJhdGVzLWFzLWNhbGxzLWluY3JlYXNlLTEyLW92ZXJhbGwv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2023-05-19","Not Discerned","{""Karaikal"", ""Pondicherry"", ""India""}","2023-05-20T06:53:00","Soon after the Class X Board exam results were declared for the Puducherry and Karaikal regions on May 19, Friday, a 15-year-old allegedly died by suicide for not being able to clear the exams. The student has been identified as Raghavan, a resident of Karaikal's MGR Nagar, studying in a government higher secondary school.  The student allegedly took the drastic step when he was alone at his house after he learnt about the results. Raghavan's father works as a driver. Police arrived at his residence upon information, retrieved the boy's body and sent it to Karaikal Government General Hospital for an autopsy. A case has been registered at the Karaikal Town Police Station and further investigations are underway, as per a report by The New Indian Express.  The SSLC exam results for the Union Territory were announced along with the Tamil Nadu results. Around 81.18 per cent of students cleared the exams, which includes 70.92 per cent of boys and 88.56 per cent of girls. From the Puducherry and Karaikal regions taken together, 87.18 per cent of students cleared the exams, comprising 82.33 per cent of boys and 91.47 per cent of girls.  Assistance is available for students having suicidal thoughts. They can call on Tamil Nadu's health helpline number 104 and also Sneha's suicide prevention helpline: 044-24640050.","https://news.google.com/rss/articles/CBMigAFodHRwczovL3d3dy5lZGV4bGl2ZS5jb20vbmV3cy8yMDIzL21heS8yMC9rYXJhaWthbC1zdHVkZW50LWRpZXMtYnktc3VpY2lkZS1hZnRlci1kZWNsYXJhdGlvbi1vZi1jbGFzcy14LWJvYXJkLXJlc3VsdHMtMzUzNDAuaHRtbNIBfWh0dHBzOi8vbS5lZGV4bGl2ZS5jb20vbmV3cy8yMDIzL21heS8yMC9rYXJhaWthbC1zdHVkZW50LWRpZXMtYnktc3VpY2lkZS1hZnRlci1kZWNsYXJhdGlvbi1vZi1jbGFzcy14LWJvYXJkLXJlc3VsdHMtMzUzNDAuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2020-09-26","15:00:00","{""Seattle"", ""Washington"", ""UnitedStates""}","2023-05-20T04:14:11","Washington [US]: Teenage boys are twice as likely as girls to commit suicide, and as boys become men, they are three times more likely than women to die by suicide. After years on the frontline of teaching and observing, first-hand, a decline in teenage mental health, a teacher has warned that we need to deal better with male anger, friendships, and attitudes towards sex in order to combat the male suicide crisis.  Official statistics for England, Scotland, and Wales show that in 2020, 264 people aged 10-19 died by suicide - 72% of these were boys. In England, suicide is the single biggest killer of men under the age of 45. They are three times more likely than women to die by suicide. While statistics surrounding male suicide paint a bleak picture of the future of boys in our schools, teacher Matt Pinkett thinks all is not lost.  What can be done? Pinkett has gathered evidence from teachers and school staff, wellbeing experts and therapists to create a powerful guide to helping boys, in Boys Do Cry, released next month. The practical and engaging guide, backed up by the latest research from the fields of psychology and education, suggests that teachers must stop stigmatising anger and instead help angry boys understand the neurological and physiological reasons for their feelings.  Pinkett says: ""Anger isn't an inherently bad thing and telling boys it is just leads to shame and hiding away. Instead, how about we teach them that anger is a feeling as natural as joy or sadness, and give them ways to manage it and the words to talk about it?"" He also suggests that teachers need to make loving, male relationships the norm, and to assume that every social interaction that takes place in a classroom is being watched and internalised.  He advises male teachers to compliment male colleagues openly, to talk lovingly about other people, and praise and salute male emotional vulnerability wherever and whenever possible. ""I am not suggesting that we should ever try to be therapists - that would never work,"" Pinkett explains, ""but the fact is that we are in front of these children for massive chunks of their life. If we can speak positively about male emotions and demonstrate ways of dealing with problematic feelings, that would be a powerful thing.""  Also read: Men deserve 'Tender Loving Care' too!  Talking isn't enough: In Boys Do Cry, Pinkett advocates the benefits of the 'bromance', suggesting that teachers and schools harness this relatively recent phenomenon of male-to-male relationships. He argues that in teaching boys about bromances, teachers can equip young men with the skills to actively listen and display compassion and affection towards each other.  He suggests teachers can help facilitate emotional connection between boys and help build friendships that are supportive. He explains: ""The problem isn't encouraging young men to talk - it's teaching their peers to listen. Research suggests boys don't listen as well as girls. There is so much conversation about encouraging boys and men to speak up, but are we teaching them how to support each other through listening effectively?""  Demonstrated through research and case studies, Pinkett argues that boys crave emotional intimacy and the freedom to express themselves without being mocked, but that toxic ideas about masculinity are preventing these fruitful peer relationships. ""We need to teach boys to be kind, and that it is OK to be vulnerable and emotionally articulate,"" he says.  Benefit to society: With his research-backed tools and tips, Pinkett hopes the book will give teachers confidence to engage with really difficult topics - to the benefit of all. ""This isn't just a problem for teenage boys. If we can teach these boys to get rid of those harmful and outdated expectations of what it means to be a man, all of society will be better off,"" Pinkett says. ""It is only through education of young people that the scourge of male-on-female sexual abuse, assault, and harassment can be eradicated.""  Boys Do Cry examines key research on factors impacting boys' mental health, including topics such as body image, pornography and self-harm, and provides teachers with practical strategies to start enacting positive change. With his extensive research, he has created advice on intervening when a child may be in danger, to tips on how to set up group working so friendships can be made while learning. ""This isn't about turning teachers into therapists,"" Pinkett adds, ""It's just about being brave enough to intervene and give boys a chance to learn another way of being."" (ANI)","https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5ldHZiaGFyYXQuY29tL2VuZ2xpc2gvc3VraGliaGF2YS9zdWtoaWJoYXZhLW5ld3MvYm95cy1yZXF1aXJlLWxlc3NvbnMtaW4tYnJvbWFuY2UtdG8tdGFja2xlLW1lbnRhbC1oZWFsdGgtY3Jpc2lzLWluLXNjaG9vbHMtc3R1ZHkvbmEyMDIzMDUyMDA5NDQwODgwMTgwMTE2ONIBqwFodHRwczovL3d3dy5ldHZiaGFyYXQuY29tL2FtcC9lbmdsaXNoL3N1a2hpYmhhdmEvc3VraGliaGF2YS1uZXdzL2JveXMtcmVxdWlyZS1sZXNzb25zLWluLWJyb21hbmNlLXRvLXRhY2tsZS1tZW50YWwtaGVhbHRoLWNyaXNpcy1pbi1zY2hvb2xzLXN0dWR5L25hMjAyMzA1MjAwOTQ0MDg4MDE4MDExNjg?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2023-06-05","Not Discerned","Not Discerned","2023-05-20T05:00:00","A charity will offer training that enables volunteers to help people having suicidal thoughts.  Every Life Matters is launching a suicide alertness training called 'Orange Button' to work with Ormsgill residents to explore the role that communities can play in a grassroots approach to suicide prevention.  The Orange Button Community pilot launched in Ormsgill (Image: Every Life Matters)  This 3.5-hour training session is aimed at anyone who wants to understand more about suicide, how to know when someone may be having thoughts of suicide, how to talk directly and comfortably about suicide, and what we can all do to offer practical support.  Trained volunteers will be able to signal to anyone struggling with their mental health that they are suicide aware and ready to listen.  Shaun Blezard, Suicide Safer Communities Coordinator of Every Life Matters, said: ""There is a lot of work to be done in Barrow and Cumbria. Barrow is twice the average of death by suicides, and it is the fifth highest suicide rate by district in England.  ""People don't have to be afraid to look after their friends and family. Ask directly if you are worried about someone, and don't be afraid to ask twice.  ""One of the big things with mental health is the stigma of not wanting to come forward and admit that you have a problem. Mental health problems and suicide are things that should be looked at as just another health issue.  ""Companies are getting more inclined to treat mental health seriously and that is one of the things we are pushing with our organisation.""  Organised by the Mental Health Foundation, Mental Health Awareness Week has taken place from May 15 until May 21 every year since 2001 to tackle stigma and help people understand and prioritise their and others' mental health.  To join the training on June 5 visit their website.  If you are worried about your own or someone else’s mental health, call the Lancashire and South Cumbria NHS Foundation Trust on their Mental Health Crisis Line, available 24 hours a day, 7 days a week, on 0800 953 0110.","https://news.google.com/rss/articles/CBMiWWh0dHBzOi8vd3d3Lm53ZW1haWwuY28udWsvbmV3cy8yMzUyOTMxMS5ldmVyeS1saWZlLW1hdHRlcnMtb2ZmZXJzLW9yYW5nZS1idXR0b24tdHJhaW5pbmcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2023-05-20","10:30:00","{""Bombay"", ""Maharashtra"", ""India""}","2023-05-20T05:00:09","Mumbai, May 20: In a bizarre incident that took place in Hyderabad, a man attached with a bomb vest claimed to be a suicide bomber and said that he would blow himself up in Jeedimetla. The dramatic incident took outside a bank in Shapur Nagar, Jeedimetla when a man allegedly threatened to blow himself up if he was not given Rs 2 lakh cash. The man who claimed to be a ""suicide bomber"" had sported a fake bomb best.  As per a report in the Times of India, the accused identified as B Sivaji (32) said that there was a bomb attached to his vest and threatened to blow it up. However, the accused ran out of luck when cops learned that the bomb threat was a hoax. The incident took place when the accused entered a bank in Shapur Nagar when the banking hours were nearly over. Bomb Threat: Passenger Makes Hoax Bomb Threat Call After He Gets Late To Catch Chennai-Hyderabad Flight at RGI Airport; Accused Arrested.  Cops Engage Accused in Conversation  After entering the bank, the accused claimed that he was a suicide bomber and reportedly showed his fake vest which had a few wires and gadgets attached to it. Police officials said that the accused threatened the bank's staff and customers that he would blow himself up if he was not given Rs 2 lakh cash. In order to make his threat appear authentic, the accused even made the staff and customers hear a timer ""beep"" as well.  However, an alert staff member alerted cops by reaching out to them on Dial-100. Soon, cops rushed to the spot and saw Sivaji with his vest. In order to keep him engaged, cops started having a conversation with him. ""We got a sense that he might be pulling a hoax,"" DCP T Srinivasa Rao said. Later, the accused was arrested by the police. Hyderabad Shocker: Eight-Year-Old Boy Brutally Murdered, Family Suspect Human Sacrifice; Transgender Among Five Arrested.  After his arrest, it was learned that the accused was a crane operator and had lost his job recently. He told cops that he wanted to buy a two-bedroom house and needed the cash.  (The above story first appeared on LatestLY on May 20, 2023 10:30 AM IST. For more news and updates on politics, world, sports, entertainment and lifestyle, log on to our website latestly.com).","https://news.google.com/rss/articles/CBMitgFodHRwczovL3d3dy5sYXRlc3RseS5jb20vaW5kaWEvbmV3cy9oeWRlcmFiYWQtc2hvY2tlci1tYW4tY2xhaW1pbmctdG8tYmUtc3VpY2lkZS1ib21iZXItdGhyZWF0ZW5zLXRvLWJsb3ctaGltc2VsZi1vdXRzaWRlLWJhbmstaW4tamVlZGltZXRsYS13aXRoLWZha2UtYm9tYi12ZXN0LWFycmVzdGVkLTUxNDA4MTMuaHRtbNIBugFodHRwczovL3d3dy5sYXRlc3RseS5jb20vaW5kaWEvbmV3cy9oeWRlcmFiYWQtc2hvY2tlci1tYW4tY2xhaW1pbmctdG8tYmUtc3VpY2lkZS1ib21iZXItdGhyZWF0ZW5zLXRvLWJsb3ctaGltc2VsZi1vdXRzaWRlLWJhbmstaW4tamVlZGltZXRsYS13aXRoLWZha2UtYm9tYi12ZXN0LWFycmVzdGVkLTUxNDA4MTMuaHRtbC9hbXA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2023-04-21","Not Discerned","{""Madras"", ""TamilNadu"", ""India""}","2023-05-19T11:11:07","On April 21, Kedar Suresh Chougule, a second-year B.Tech. student of Chemical Engineering at the Indian Institute of Technology (IIT), Madras, was found hanging in his hostel room. Ironically, his death came three days after Dharmendra Pradhan, the Union minister of education, directed the prestigious engineering institutes to provide robust mental health support for students. Pradhan was addressing the 55th meeting of the IIT Council, the highest decision-making body for the institutes, at Bhubaneswar. Chougule’s was the sixth suicide on IIT campuses in the first four months of 2023. Three other students had taken their lives in IIT Madras, while another two died by suicide on the IIT Bombay and IIT Guwahati campuses during the same period.  Published By: Shyam Balasubramanian Published On: May 19, 2023","https://news.google.com/rss/articles/CBMif2h0dHBzOi8vd3d3LmluZGlhdG9kYXkuaW4vbWFnYXppbmUvc3BlY2lhbC1yZXBvcnQvc3RvcnkvMjAyMzA1MjktcmlzaW5nLXN1aWNpZGVzLWF0LWlpdHMtZGVhdGgtb24tdGhlLWNhbXB1cy0yMzgxMzM5LTIwMjMtMDUtMTnSAYMBaHR0cHM6Ly93d3cuaW5kaWF0b2RheS5pbi9hbXAvbWFnYXppbmUvc3BlY2lhbC1yZXBvcnQvc3RvcnkvMjAyMzA1MjktcmlzaW5nLXN1aWNpZGVzLWF0LWlpdHMtZGVhdGgtb24tdGhlLWNhbXB1cy0yMzgxMzM5LTIwMjMtMDUtMTk?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2022-07-12","15:00:00","Not Discerned","2023-05-19T00:00:00","  Number of Persons in Indian Country Jails Increases for Second Year  The Bureau of Justice Statistics is announcing the release of Jails in Indian Country, 2022. A total of 2,250 persons were held in 80 Indian country jails at midyear 2022, a 3% increase from the 2,180 persons held in 80 facilities at midyear 2021. This marks the second consecutive annual increase in the midyear jail population since it peaked in 2019 (at 2,890 persons) and declined rapidly in 2020 (to 2,020 persons) due to the COVID-19 pandemic.  Indian country jails admitted 5,570 persons during June 2022, which was a 4% decline from 5,780 admissions in June 2021. Over the 10-year period from 2012 to 2022, the number of admissions dropped 55%, from 12,500 admissions in 2012.  “It is noteworthy that the number of admissions is sizably smaller in 2022 compared to 2012. Yet, the percentage of persons held for violent offenses has increased by over a third during the same period,” said Dr. Alexis Piquero, Director of BJS.  During the 10-year period from 2012 to 2022, the number of persons held for violent offenses increased 34%, from 710 to 950 inmates. The largest absolute growth was among persons held for aggravated or simple assault, from 200 inmates at midyear 2012 to 330 at midyear 2022. The percentage held for domestic violence increased from 14% at midyear 2012 to 18% at midyear 2022.  Overall, about 58% of all persons in Indian country jails at midyear 2022 were held for a nonviolent offense, down from 70% at midyear 2012. From 2012 to 2022, the share of inmates held for a drug offense increased from 5% to 11%.  Four persons died (3 by suicide) and 46 attempted suicide while being held in Indian country jails during the 12 months ending on June 30, 2022. Indian country jails reported a total of 24 deaths (9 by suicide) and 375 attempted suicides in custody from July 1, 2011 to June 30, 2022.  “BJS remains one of the few agencies to report on crime and justice data in Indian Country, helping to bring attention to an important but often overlooked segment of justice data,” continued Dr. Piquero.  Jails in Indian Country, 2022, written by BJS Statistician Todd D. Minton; related documents; and additional information about BJS’s statistical publications and programs are available on the BJS website at bjs.ojp.gov. Findings in this report are based on the Annual Survey of Jails in Indian Country.  About the Bureau of Justice Statistics  The Bureau of Justice Statistics, a division of the U.S. Department of Justice’s Office of Justice Programs, is the principal federal agency responsible for collecting, analyzing and disseminating reliable statistics on crime and criminal justice in the United States. Alexis R. Piquero, PhD, is the director.  More information about BJS and criminal justice statistics can be found at bjs.ojp.gov.  ###  OFFICE: bjs.ojp.gov  CONTACT: OJP Media at [email protected]","https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3Lm9qcC5nb3YvbmV3cy9uZXdzLXJlbGVhc2UvbnVtYmVyLXBlcnNvbnMtaW5kaWFuLWNvdW50cnktamFpbHMtaW5jcmVhc2VzLXNlY29uZC15ZWFy0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"suicide","2022-07-10","Not Discerned","{""PineRidge"", ""SouthDakota"", ""UnitedStates""}","2023-05-19T14:54:27","Inmates continue to die in tribal jails despite promises of reform  Enlarge this image toggle caption Sharon Chischilly for NPR Sharon Chischilly for NPR  Despite promises of reform by the Bureau of Indian Affairs, inmates at tribal jails overseen by the federal agency continue to die, according to a new report released on Friday.  At least four inmates died and 46 others attempted suicide from July 2021 through June 2022, according to the report by the Justice Department's Bureau of Justice Statistics. Three of the four deaths were from suicide. The report did not disclose the cause of the other death.  It is the most yearly deaths and attempted suicides recorded by the BJS since 2016. The number of attempted suicides nearly doubled from 2021, according to the study, which also found that more than half of all the inmates who were held in the jails during that same time period were never convicted of a crime.  The 15-page report also found that some of the beleaguered jails continued to wrestle with overcrowding and staff retention. At least six facilities faced chronic overcrowding and the number of correctional officers dropped by nearly 20% between 2019 and 2022 – a loss of 250 employees.  ""It's always saddening to see reports like this one, especially just a year after the Department of Interior promised to work on solving these issues,"" said Rep. Bruce Westerman (R-Ark.), chairman of the House Committee on Natural Resources. The committee provides oversight of the BIA, an agency of the Interior Department. ""Tragedies like these certainly warrant more investigation.""  The study, done annually, surveyed all 80 jails in Indian Country. Jail officials, who self-report the information, are not required to participate. Six jails did not, according to BJS.  Reforms were announced back in 2022, following investigation  In February 2022, the BIA announced more than two dozen reforms aimed at ""protecting the rights, dignity and safety of those in custody."" The proposed changes included beefing up staff training, improving recruitment and retention, and doing better ""interagency coordination with federal partners"" to guarantee that inmates are safe and hold correctional officers accountable.  It came on the heels of an investigation by NPR and the Mountain West News Bureau in June 2021 that found a pattern of misconduct, mistreatment and neglect that led to at least 19 in-custody deaths since 2016. Many of the victims had been arrested for minor infractions. BIA officials knew about the problems for years, the investigation found.  The examination by NPR and Mountain West News Bureau also revealed that many of the deaths occurred after correctional officers failed to provide proper and timely medical care, and that poor staff training led to several inmate deaths that could have been prevented. Officials have called the tribal jails program a ""national disgrace.""  Interior Department spokesperson Tyler Cherry acknowledged on Thursday that the BIA's corrections program has been ""under-resourced"" for decades, but said most of the reforms promised in 2022 have been implemented.  When asked, Cherry would not say which specific reforms have been put in place or are still being implemented.  ""The BIA will continue its work to reform the corrections system in Indian Country with available resources,"" he said in a statement.  Cherry pointed out that attrition rates within the BIA's law enforcement and corrections programs have declined by half since May 2022, but did not elaborate.  The agency is also working to boost salaries of BIA law enforcement, including correctional and police officers. A bipartisan bill – the Strengthening Tribal Law Enforcement Act – was introduced in the Senate earlier this year, which would allow the BIA to increase the minimum pay for law enforcement officers. Starting pay for agency cops currently is $46,000; correctional officers start at around $40,000. Cherry said that pay could increase by as much as $30,000.  Members of Congress say the findings are 'troubling' and call for accountability  Friday's report comes nearly a month after an Interior Department inspector general investigation found significant health and safety issues at three tribal detention centers in the Southwest. One facility on the San Carlos Reservation in southeastern Arizona had leaky plumbing, broken lights and, most significantly, a broken air conditioning unit in the female detention pod. Temperatures regularly hover above 100 degrees in the summer on the reservation. Staff at another jail told investigators they fear that their building could collapse due to severe structural issues, including falling cinder blocks.  The IG investigation also found that, in some cases, BIA building officials ignored these issues and rated the facility conditions as ""good.""  ""Several of these issues appear to have been exacerbated due to inaction over time and will likely require more funding and effort to repair than if they had been addressed in a timely fashion,"" according to the IG investigation.  Sen. Jeff Merkley (D-Ore.), chairman of the Subcommittee on the Interior, Environment and Related Agencies, described the jail conditions as ""deplorable.""  ""This is not only a funding problem but also an accountability problem; we need to do more to address it,"" he said in a statement to NPR. ""No person should be subjected to these conditions, incarcerated or not.""  Sen. Jon Tester (D-Mont.), called the reports ""deeply troubling.""  ""I'll be working with my colleagues to hold the BIA accountable and find a legislative fix,"" Tester told NPR.  Merkley and Tester successfully spearheaded an effort in December to appropriate $22.6 million to increase funding for the jails program.  During a budget hearing last week, Bryan Newland, the assistant secretary for Indian Affairs at the Interior Department, told Merkley's subcommittee that his agency is requesting more funding for maintenance and operations at the detention centers.  ""I think it's been well-documented – our jails across the BIA system are in poor condition,"" Newland said. ""We've also come up with an ability to rank them to prioritize which ones should be replaced, but we need the dollars to do that and to make sure the people in our care and custody get the treatment they're entitled to.""  The Bureau of Indian Affairs is asking lawmakers for a $62.1 million increase in funding for its public safety division, which includes jails and staffing  ""There is plenty of blame to go around on how we ended up in this situation, and these problems have been festering for decades,"" Merkley said. ""We must strengthen accountability and invest in staffing and infrastructure. Lives are at stake.""  This story is a collaboration from NPR's Station Investigations Team, which supports local investigative journalism, and New Hampshire Public Radio. Nate Hegyi left the Mountain West News Bureau for New Hampshire Public Radio in February 2022.","https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3Lm5wci5vcmcvMjAyMy8wNS8xOS8xMTc2OTk5NTgwL2J1cmVhdS1pbmRpYW4tYWZmYWlycy1yZWZvcm0tdHJpYmFsLWphaWxzLWlubWF0ZXMtcHJvZ3Jlc3PSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
