"topic","date"," time","place","date published","article text","url"
"volcano eruption","2018-05-18","Not Discerned","Not Discerned","2023-05-21T04:16:00","Support us - Help us upgrade our services!  Maintaining our website and our free apps does require, however, considerable time and resources.  We're aiming to achieve uninterrupted service wherever an earthquake or volcano eruption unfolds, and your donations can make it happen! Every donation will be highly appreciated.  Improved multilanguage support  Tsunami alerts  Faster responsiveness  Design upgrade  Detailed quake stats  Additional seismic data sources  Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:  Android | IOS to get one of the fastest seismic and volcano alerts online:  We truly love working to bring you the latest volcano and earthquake data from around the world.We need financing to increase hard- and software capacity as well as support our editor team.If you find the information useful and would like to support our team in integrating further features, write great content, and in upgrading our soft- and hardware, please PayPal or Online credit card payment )., these features have been added recently:","https://news.google.com/rss/articles/CBMijQFodHRwczovL3d3dy52b2xjYW5vZGlzY292ZXJ5LmNvbS9lcy9zaXNtb3MvaW5mb3JtZS1zaXNtby83NjIzNjg5L21hZzRxdWFrZS1NYXktMjAtMjAyMy1NZXhpY28tMjMta20tYWwtU1VST0VTVEUtZGUtQ09ZVUNBLURFLUJFTklURVotR1JPLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2023-04-25","Not Discerned","Not Discerned","2023-05-20T16:20:02","One of the richest men on Earth will finally have his chance to build a spaceship for landing people on the moon.  NASA announced it selected billionaire Jeff Bezos’ space company Blue Origin to make its lunar lander for Artemis V, a mission slated to put astronauts near the moon’s south pole in 2029.  And with the Friday announcement came the unveiling of the moon lander’s official name(opens in a new tab), sure to thrill orange-flavored wheat beer enthusiasts: Blue Moon.  SEE ALSO: Get ready: SpaceX Starship will try to fly again soon    “We always hoped Blue Moon (the beer) would land in space one day, but we’re excited to see it will land on the moon in such an iconic mission,” the brewery said in a statement to Mashable. “While we won’t be involved in this lunar landing, we’ll be excited to welcome the team back home on Earth at the bar with a Blue Moon Belgian White on draft.”  Their excitement wasn’t unexpected: Soon after Blue Origin’s proposed lander name surfaced in 2019, the brewers designed a limited edition keg in the form of a lunar lander with the Blue Moon logo prominently displayed.  The product overlap didn’t escape Elon Musk’s notice, founder of SpaceX and Bezos’ chief competitor:  “But putting the word ‘Blue’ on a ball is questionable branding,” he tweeted then.  The Blue Origin contract will provide NASA with a second ride to the moon. The U.S. space agency intends to use SpaceX Starships to land astronauts on the lunar surface during Artemis III and IV(opens in a new tab), two upcoming missions which could come as early as 2025 and 2028, respectively, with an extended contract worth $4 billion. As part of the deal(opens in a new tab), the company will need to demonstrate an uncrewed test flight to the moon beforehand.  During Artemis III, Starship will transfer astronauts from NASA’s Orion spacecraft to the lunar south pole and back. But in the fourth mission, Starship is expected to dock at a moon-orbiting space station, the yet-to-be-built Gateway, and ferry astronauts back and forth to the moon.  That is also the expectation for Blue Moon, which will perform several test flights without passengers using the company’s rocket, New Glenn, said Blue Origin vice president John Couluris, a launch vehicle that hasn’t flown in space yet.  This outcome for Blue Origin, a $3.4 billion contract, follows a bitter rivalry between the two big private space companies. Bezos’ company lost its bid for the first lander contract to SpaceX, and NASA opted to extend its deal with the competitor for Artemis IV. Wanting to overturn the decision, Blue Origin unsuccessfully sued the space agency in a U.S. federal claims court last year.  Want more science and tech news delivered straight to your inbox? Sign up for Mashable’s Light Speed newsletter today.  Under the Artemis V contract, Blue Origin will work with several industry partners: Lockheed Martin, Draper, Boeing, Astrobotic, and Honeybee Robotics.  During a news conference in Washington on Friday, NASA administrator Bill Nelson said using private vendors will help the agency buy down the technical risks and costs for the Artemis program, which seeks to use the moon as a springboard for eventual missions to Mars.  “I’ve said it before: We want more competition. We want two landers, and that’s better, and it means that you have reliability. You have backups,” Nelson said. “These are public-private partnerships. It’s the new way that we go to the moon.”  People within the ispace mission control center react to losing communication with the Hakuto-R lander on April 25, 2023.  Credit: ispace / YouTube screenshot  Over the past four years, the private sector and other spacefaring agencies have tried and failed to land on the moon with crewless spacecraft. An Israeli nonprofit and company collaborated in 2019 on the Beresheet mission, which crashed on the lunar surface after an orientation component failed. Just last month, a Japanese startup, ispace, crashed as it tried to land. Company officials said a preliminary investigation determined the lander ran out of fuel.  Couluris told Mashable during the news conference that Blue Origin is up to the task, in part because of its esteemed partners, such as Lockheed and Boeing, which bring loads of experience to the team. NASA is also providing insights.  “It’s kind of like a perfect blending of what we’re trying to do, of lessons learned, so we don’t repeat those ‘lessons’ again,” he said.","https://news.google.com/rss/articles/CBMiSGh0dHBzOi8vbXlkcm9sbC5jb20vYmV6b3MtbHVuYXItbGFuZGVyLWZvci1uYXNhLXdpbGwtYmUtbmFtZWQtYmx1ZS1tb29uL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2018-05-18","15:15:00","Not Discerned","2023-05-20T23:00:00","Support us - Help us upgrade our services!  Maintaining our website and our free apps does require, however, considerable time and resources.  We're aiming to achieve uninterrupted service wherever an earthquake or volcano eruption unfolds, and your donations can make it happen! Every donation will be highly appreciated.  Improved multilanguage support  Tsunami alerts  Faster responsiveness  Design upgrade  Detailed quake stats  Additional seismic data sources  Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:  Android | IOS to get one of the fastest seismic and volcano alerts online:  We truly love working to bring you the latest volcano and earthquake data from around the world.We need financing to increase hard- and software capacity as well as support our editor team.If you find the information useful and would like to support our team in integrating further features, write great content, and in upgrading our soft- and hardware, please PayPal or Online credit card payment )., these features have been added recently:","https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy52b2xjYW5vZGlzY292ZXJ5LmNvbS9lcy9zaXNtb3MvaW5mb3JtZS1zaXNtby83NjIzNDEyL21hZzJxdWFrZS1NYXktMjAtMjAyMy1QaGlsaXBwaW5lcy0wMjQta20tTi0zNy1XLW9mLVNhbnRhLU1vbmljYS1TdXJpZ2FvLURlbC1Ob3J0ZS5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2018-05-18","Not Discerned","Not Discerned","2023-05-20T20:48:00","Support us - Help us upgrade our services!  Maintaining our website and our free apps does require, however, considerable time and resources.  We're aiming to achieve uninterrupted service wherever an earthquake or volcano eruption unfolds, and your donations can make it happen! Every donation will be highly appreciated.  Improved multilanguage support  Tsunami alerts  Faster responsiveness  Design upgrade  Detailed quake stats  Additional seismic data sources  Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:  Android | IOS to get one of the fastest seismic and volcano alerts online:  We truly love working to bring you the latest volcano and earthquake data from around the world.We need financing to increase hard- and software capacity as well as support our editor team.If you find the information useful and would like to support our team in integrating further features, write great content, and in upgrading our soft- and hardware, please PayPal or Online credit card payment )., these features have been added recently:","https://news.google.com/rss/articles/CBMihwFodHRwczovL3d3dy52b2xjYW5vZGlzY292ZXJ5LmNvbS9lcy9zaXNtb3MvaW5mb3JtZS1zaXNtby83NjIzNjQ0L21hZzNxdWFrZS1NYXktMjAtMjAyMy1Db3N0YS1SaWNhLTcta20tYWwtU3VyZXN0ZS1kZS1CaWphZ3VhLVVwYWxhLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2018-05-18","15:18:00","Not Discerned","2023-05-20T13:07:16","Support us - Help us upgrade our services!  Maintaining our website and our free apps does require, however, considerable time and resources.  We're aiming to achieve uninterrupted service wherever an earthquake or volcano eruption unfolds, and your donations can make it happen! Every donation will be highly appreciated.  Improved multilanguage support  Tsunami alerts  Faster responsiveness  Design upgrade  Detailed quake stats  Additional seismic data sources  Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:  Android | IOS to get one of the fastest seismic and volcano alerts online:  We truly love working to bring you the latest volcano and earthquake data from around the world.We need financing to increase hard- and software capacity as well as support our editor team.If you find the information useful and would like to support our team in integrating further features, write great content, and in upgrading our soft- and hardware, please PayPal or Online credit card payment )., these features have been added recently:","https://news.google.com/rss/articles/CBMigwFodHRwczovL3d3dy52b2xjYW5vZGlzY292ZXJ5LmNvbS9lcy9zaXNtb3MvaW5mb3JtZS1zaXNtby83NjIzNTMyL3F1YWtlLWZlbHQtTWF5LTIwLTIwMjMtTmVhci1IZW5kZXJzb252aWxsZS1Ob3J0aC1DYXJvbGluYS1VU0EuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2018-01-01","Not Discerned","Not Discerned","2023-05-20T11:44:34","The Earth’s hot and largely turbulent interior remains a mystery to scientists. Even at shallow depths, our planet’s crusty outer surface contains many unknowns.  Magma deep in Earth’s mantle that rises to form continental crust Inherently different to the magma seeping from the hills in the middle of the ocean. The magma that erupts from volcanoes on Earth contains less iron, which makes it noticeably lighter. This is the key that allows the Earth to float above the Earth’s mantle, while the oceanic crust forms a lower basin.  However, experts can only speculate as to why this difference exists. Now, a major hypothesis proposing a source for the volcanic magma that formed the continental crusts has come under scrutiny by scientists in the United States.  In 2018, researchers Proposal That the iron-depleted nature of the continental crust stems from the way tectonic plates interact with each other at subduction zones. The authors argued that as one plate slides under the other, pressure crystallizes the silicate material in the rising magma, sucking iron out of the molten rock in the process.  Geologist Elizabeth Cottrell is not convinced.  Very high pressures are needed to remove the iron by crystallization of the silicates, she says, and some parts of the Earth’s crust where iron-deficient magma flows are not that thick.  So the pressure is not too high. Explain Cottrell, who works with the Smithsonian Institution’s National Museum of Natural History.  Simulating the heat and pressure of these subduction zones in the lab, Cottrell and colleague Megan Hollickross, an atmospheric scientist at Cornell University, measured levels of iron and iron oxide in simulations of continental crust.  They used a piston cylinder that could compress small samples of molten rock with extreme pressures and temperatures to match the conditions of magma chambers in the Earth’s crust.  Even with pressure 15,000 to 30,000 times greater than Earth’s atmosphere, crystals of a silicate substance, known as garnet, fail to remove enough iron from rock to account for the unique composition of Earth’s continental crust.  Agate crystal, the authors He says“not likely to be responsible” for the “trend of iron depletion observed in the continental crust”.  “It is likely that conditions in the Earth’s mantle below the continental crust create these oxidative conditions,” he said. He says Cottrell.  “If the agate is not crystallizing in the crust and is something to do with how magma got out of the mantle, what is going on in the mantle?”  Just this year, scientists using seismic waves discovered a new layer of partially molten rock hiding deep in Earth’s interior, which could fundamentally change our understanding of how the mantle belches magma.  One of Cottrell’s colleagues is now investigating whether oxidized sulfur could play a role in removing iron from mantle magma before it erupts.  The puzzle continues.  The study has been published in Sciences.","https://news.google.com/rss/articles/CBMibmh0dHBzOi8vd3d3LnRvd25vZmxhcm9uZ2UuY2EvYS1tYWpvci1oeXBvdGhlc2lzLWFib3V0LWhvdy10aGUtY29udGluZW50cy1yaXNlLXdhcy1qdXN0LXNoYXR0ZXJlZC1zY2llbmNlYWxlcnQv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2023-05-18","Not Discerned","{""Goma"", ""NordKivu"", ""DemocraticRepublicCongo""}","2023-05-21T00:44:44","Despite the silence of the authorities concerned, the crisis at the Volcanological Observatory of Goma (OVG) is far from over, because discontent still persists within the staff of this institution.  In a letter addressed to the Attorney General at the General Prosecutor’s Office of North Kivu on May 18, 2023, the provincial trade union committee of the OVG reminded him of the file RI 062 / PG / PAT / 2022 opened in his office at the expense of the Director General of OVG MUHINDO SYAVULISEMBO Adalbert.  In this document used by your editorial staff, the Union Delegation presents various accusations which it attributes to their General Manager.  These include the alleged misappropriation of agent incentive bonuses by the Government of the DRC in connection with the monitoring of the Virunga Volcanoes since the eruption of May 22, 2021 until that date and the disappearance of seven OVG state vehicles.  Several hearings have been carried out by the investigating magistrate of the said file but without follow-up to date and even no confrontation has ever taken place, however impatiently awaited by the agents of the OVG, notes this document.  The latter inform that the working conditions of the agents have worsened further since the opening of this file without follow-up due to the fact that some of them are referred to the Public Prosecutor’s Office, to the police, to the Military Prosecutor’s Office to be martyred and muzzled. Others face threats of all kinds and fear for their safety.  In addition, the OVG agents, through this correspondence, are asking questions about the probable reasons and motivations that the investigating magistrate of the said file would like to have it blocked.  They send a cry of distress to the Attorney General at the General Prosecutor’s Office of North Kivu and remain confident of the attention he will bring to this almost closed file.  It should be recalled that the agents and executives of the Volcanological Observatory of Goma launched a strike on February 22 and suspended on March 06, 2023, while the Nyiragongo and Nyamulagira Volcanoes experienced intense activities within their main craters.  Jules Ninda","https://news.google.com/rss/articles/CBMikQFodHRwczovL3d3dy5icmVha2luZ2xhdGVzdC5uZXdzL25ld3MvYWdlbnRzLWFuZC1leGVjdXRpdmVzLXJlbWluZC10aGUtcGctYXQtdGhlLWdlbmVyYWwtcHJvc2VjdXRvcnMtb2ZmaWNlLW9mLW5vcnRoLWtpdnUtb2YtdGhlaXItZm9yZ290dGVuLWZpbGUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","0079-01-01","Not Discerned","Not Discerned","2023-05-20T17:22:37","Rome is a city steeped in history, culture, and architectural beauty. But if you want to take a day trip from Rome to explore even more of Italy’s rich history, you should consider visiting Pompeii. This ancient city is located about 150 miles from Rome and is one of Italy’s most popular tourist destinations.  Pompeii was famously destroyed by the eruption of Mount Vesuvius in AD 79 and only rediscovered in the 18th century. Today, visitors can come and explore the ruins of this once-thriving city and get a glimpse into what life was like in ancient Rome. In this article, we will guide you through planning your day trip from Rome to Pompeii, exploring the top sights and attractions, and providing recommendations and tips to make the most of your visit.  Introduction to Pompeii and its History:  Pompeii, once a bustling Roman city, fell to the destructive eruption of Mount Vesuvius in AD 79. Up to 20 feet of ash and pumice buried the town, preserving it for centuries until rediscovery in the 18th century. Now, as one of the most well-preserved Roman cities in the world, it offers visitors a glimpse into life in ancient Rome.  How was Pompeii destroyed?  Did you know that when Mount Vesuvius blew up, it wrecked Pompeii? It was one of the most dangerous volcanic eruptions ever! Scientists think the explosion released 100,000 times more heat than the bomb that hit Hiroshima. The eruption lasted two days and buried Pompeii and several other nearby towns under thick ash and pumice.  The Significance of Pompeii:  The preservation of Pompeii has provided valuable insights into the daily life and culture of ancient Rome. The city has helped historians and archaeologists better understand ancient Roman architecture, engineering, art, and everyday life. Pompeii is also a UNESCO World Heritage site that attracts millions of visitors annually.  Planning Your Day Trip from Rome to Pompeii:  Planning is essential to maximize your day trip from Rome to Pompeii.  When to go: If you want to go to Pompeii, the best time to go is in the spring or fall. It’s not too hot, and there aren’t as many people around. But if you go in the summer, it can be scorching, and many people will be there. That might make it hard to have fun and see everything you want to see.  How long to spend in Pompeii: Depending on your pace and the amount you wish to see, you could spend 2 to 4 hours visiting Pompeii. Plan to spend at least 3 hours exploring the area to appreciate Pompeii’s beauty and history thoroughly.  What to pack: Be sure to wear comfortable shoes, as Pompeii is a large site with uneven terrain. Also, you will need Sunscreen, a hat, and plenty of water is also essential, particularly during summer. Finally, you will require a camera to capture the incredible sights of Pompeii.  Exploring Pompeii: Top Sights and Attractions:  Pompeii is a vast site with many exciting sights to see. Here are some of the best attractions to visit during your trip:  The Forum: The Forum was the heart of Pompeii and served as the city’s main public square. It features the remains of several temples, public buildings, and markets.  The Amphitheatre: The Amphitheatre is the oldest surviving Roman Amphitheatre and could seat up to 20,000 spectators. Public events, including gladiatorial contests and other spectacles, took place there.  The House of the Vettii: This luxurious Roman house features beautifully preserved frescoes, mosaics, and sculptures. It offers a glimpse into the life of the wealthy residents of Pompeii.  The Baths of Pompeii: The Baths of Pompeii was a public bathing complex with separate areas for men and women. They featured hot and cold baths, saunas, and exercise areas.  Guided Tours vs. Self-Guided Tours: Pros and Cons  When visiting Pompeii, travelers can take a guided tour or explore the site independently. Let’s check the pros and cons of all options:  Benefits of a guided tour:  A guided tour provides visitors with valuable insights into the history and culture of Pompeii. Guides know the site and can offer a more immersive and educational experience. They can also help visitors navigate the vast area and avoid getting lost.  Benefits of a self-guided tour:  A self-guided tour allows visitors to explore Pompeii at their own pace and focus on the parts of the site that interest them most. It can also be more cost-effective than a guided tour.  Cost considerations:  Guided tours can be more expensive than self-guided tours but often include entrance fees and other expenses. Therefore, it is essential to compare prices and options before deciding.  Getting to Pompeii from Rome: Transportation Options:  Visiting Pompeii from Rome is a popular day trip for travelers who want to experience the city’s ancient ruins and fascinating history. Several transportation options are available to get you from Rome to Pompeii.  Train options: The train is the most popular way to get to Pompeii from Rome. You can catch a train from Roma Termini to Napoli Centrale Station, which takes around an hour and a half. In addition, you can take the Circumvesuviana local train to Pompeii, which takes about 30 minutes.  Bus options: Another option is taking a bus from Rome to Pompeii. You can take a bus from Rome’s Tiburtina Station to Sorrento and the Circumvesuviana local train to Pompeii.  Driving options: If you prefer to rent a car, you can drive from Rome to Pompeii. It takes around 2 hours and 30 minutes to get there. However, going to Italy can be challenging, so ensure you’re comfortable with the roads before embarking on this option.  Private transfer: Dive into the heart of Italy with a day trip from Rome using our customized local tours. Catch an early train from “Roma Termini” to “Napoli Centrale (Garibaldi),” with tickets from www.trenitalia.com or www.italotreno.it/en. Then, please choose from our handpicked tours in Naples, meeting our friendly driver at the station. An unforgettable 8–9-hour journey awaits, making your Italian escapade magical.  Dining and Shopping in Pompeii: Recommendations and Tips:  After exploring the ancient ruins of Pompeii, you will want to refuel with some delicious food and do some shopping. Here are some recommendations and tips for dining and shopping in Pompeii.  Best restaurants in Pompeii:  You will be satisfied with Pompeii if you want authentic Italian food. For a quick bite, try Pizzeria President or Casa del Nonno 13. For a sit-down meal, Ristorante President or Hortus Restaurant are great choices.  Unique shopping experiences in Pompeii:  Pompeii is known for its beautiful coral jewelry, sold in many local shops. You can also find ceramics, leather goods, and handmade clothing in the local boutiques.  Closing Thoughts and Recommendations for Your Trip:  Here are some recommendations for what to do next and overall thoughts on your trip:  After wrapping up your Pompeii tour, make your way to Sorrento. This stunning coastal gem is a short train hop away. Unwind on the sun-kissed beach, stroll through the city, and indulge in the mouthwatering seafood it offers.  Overall recommendations: You can wear comfortable shoes and bring plenty of water for your trip to Pompeii. Also, try to arrive early to avoid the crowds and make the most of your time there. After spending a day in Pompeii, you’ll likely be ready for some relaxation.","https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vdGVjaGJ1bGxpb24uY29tL3JvbWUtdG8tcG9tcGVpaS1hLXF1aWNrLWJ1dC1tZW1vcmFibGUtZGF5LXRyaXAv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2023-05-16","Not Discerned","{""MexicoCity"", ""DistritoFederal"", ""Mexico""}","2023-05-20T15:33:45","CENAPRED reported that there were 127-281 daily steam, gas, and ash emissions and minor-to-moderate explosions recorded at Popocatépetl during 9-16 May. Plumes mostly drifted SE, ESE, and ENE. On 9 May minor explosions were recorded at 1141, 2009, and 2310, and on 10 May moderate explosions were recorded at 0152 and 0316. ...  Background:  Volcán Popocatépetl, whose name is the Aztec word for smoking mountain, towers to 5426 m 70 km SE of Mexico City to form North America's 2nd-highest volcano. The glacier-clad stratovolcano contains a steep-walled, 250-450 m deep crater. The generally symmetrical volcano is modified by the sharp-peaked Ventorrillo on the NW, a remnant of an earlier volcano.  At least three previous major cones were destroyed by gravitational failure during the Pleistocene, producing massive debris-avalanche deposits covering broad areas south of the volcano. The modern volcano was constructed to the south of the late-Pleistocene to Holocene El Fraile cone. Three major plinian eruptions, the most recent of which took place about 800 AD, have occurred from Popocatépetl since the mid Holocene, accompanied by pyroclastic flows and voluminous lahars that swept basins below the volcano. Frequent historical eruptions, first recorded in Aztec codices, have occurred since precolumbian time.  ---  Source: GVP, Smithsonian Institution - Popocatepetl information","https://news.google.com/rss/articles/CBMilQFodHRwczovL3d3dy52b2xjYW5vZGlzY292ZXJ5LmNvbS9ydS9wb3BvY2F0ZXBldGwvbmV3cy8yMTE4MDMvVnVsa2FuLVBvcG9jYXRlcGV0bC1Lb25zdWx5dGF0aXZuaXktdHNlbnRyLXBvLXZ1bGthbmljaGVza29tdS1wZXBsdS1PTkdPSU5HLVZBLUVNUy0uaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","1985-01-01","Not Discerned","Not Discerned","2023-05-21T06:18:58","Orange Alert Issued for Nevado del Ruiz Volcano  A new orange alert has been issued for the Nevado del Ruiz Volcano in Colombia. The alert was announced live by AS Colombia and it warns of a potential eruption in the next few days.  The orange alert status means that there is “probable eruption in term” and that the volcano is exhibiting signs of increased activity. This includes the emission of ash, gas and more recently, seismic activity.  Monitoring Teams are Assuring Safety Measures:  Officials are taking the necessary safety precautions and have already begun to evacuate nearby towns and villages. Monitoring teams are also on site and working around the clock to monitor the volcano’s activity.  Colombia has a long history of volcanic activity and Nevado del Ruiz has been particularly active in recent years. Its last major eruption was in 1985, which caused a devastating mudslide that killed more than 25,000 people.  Stay Informed and Stay Safe  If you live in the vicinity of the Nevado del Ruiz Volcano, it is important to stay informed and follow the guidance of local authorities.  AS Colombia will be providing live updates on the latest developments as they happen, so stay tuned for more information.  In summary, a new orange alert has been issued for the Nevado del Ruiz Volcano in Colombia. Monitoring teams are working around the clock to monitor the volcano’s activity, and local authorities are taking necessary safety precautions.","https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vbWFya2V0cmVzZWFyY2h0ZWxlY2FzdC5jb20vbmV2YWRvLWRlbC1ydWl6LXZvbGNhbm8taXNzdWVzLW9yYW5nZS1hbGVydC8yODc5MDgv0gFaaHR0cHM6Ly9tYXJrZXRyZXNlYXJjaHRlbGVjYXN0LmNvbS9uZXZhZG8tZGVsLXJ1aXotdm9sY2Fuby1pc3N1ZXMtb3JhbmdlLWFsZXJ0LzI4NzkwOC9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en"
"volcano eruption","2018-05-18","Not Discerned","Not Discerned","2023-05-21T00:03:41","Support us - Help us upgrade our services!  Maintaining our website and our free apps does require, however, considerable time and resources.  We're aiming to achieve uninterrupted service wherever an earthquake or volcano eruption unfolds, and your donations can make it happen! Every donation will be highly appreciated.  Improved multilanguage support  Tsunami alerts  Faster responsiveness  Design upgrade  Detailed quake stats  Additional seismic data sources  Download and Upgrade the Volcanoes & Earthquakes app to get one of the fastest seismic and volcano alerts online:  Android | IOS to get one of the fastest seismic and volcano alerts online:  We truly love working to bring you the latest volcano and earthquake data from around the world.We need financing to increase hard- and software capacity as well as support our editor team.If you find the information useful and would like to support our team in integrating further features, write great content, and in upgrading our soft- and hardware, please PayPal or Online credit card payment )., these features have been added recently:","https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3LnZvbGNhbm9kaXNjb3ZlcnkuY29tL2l0L2VhcnRocXVha2VzL2FsYmFuaWEvYXJjaGl2ZS8yMDIzLW1heS0yMC5odG1s0gEA?oc=5&hl=en-US&gl=US&ceid=US:en"
