"topic","date"," time","place","url","date published","article text"
"explosion","2023-05-15","Not Discerned","{""Houston"", ""Texas"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3LnRtajQuY29tL2ZpcmUtYnJlYWtzLW91dC1hdC10ZXhhcy1yZWZpbmVyeS0xLXdvcmtlci1raWxsZWTSAVBodHRwczovL3d3dy50bWo0LmNvbS9maXJlLWJyZWFrcy1vdXQtYXQtdGV4YXMtcmVmaW5lcnktMS13b3JrZXIta2lsbGVkP19hbXA9dHJ1ZQ?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:18:00","A fire at a Marathon Petroleum refinery near Houston on Monday killed a worker and prompted a battle with open flames as crews worked to bring it under control.  The fire broke out at a plant near Galveston Bay, a heavily industrialized area on the Texas coast, at approximately 9:30 a.m. Central Time.  Marathon Petroleum said it was investigating the cause of the blaze. There were no immediate reports of additional injuries.  The company said it would monitor air quality in the nearby community as a precaution.  Texas City police said the fire had been contained by Monday afternoon and was not at risk of spreading to other facilities.  In a statement to the Associated Press, Marathon said ""The safety of our workers and the community is our top priority, and a full investigation will be conducted to determine the cause of the incident.""  In 2005, an explosion at this same facility killed 15 people and injured 180 others. At the time it was owned by BP. Marathon Petroleum bought the facility in 2013.  SEE MORE: 9 hospitalized after fire at Texas chemical plant  Earlier this month, a fire a a petrochemical facility run by Shell in Deer Park hospitalized nine workers with heat injuries. That fire took two days to fully extinguish. Shell said the fire response generated more wastewater than the facility could store. Some water was released into the Houston Ship Channel.  Trending stories at Scrippsnews.com"
"explosion","2023-05-11","Not Discerned","{""Augusta"", ""Maine"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMimwFodHRwczovL3R1bHNhd29ybGQuY29tL2FwL3N0YXRlL3BpY2t1cC10cnVjay1maXJlLW91dHNpZGUtbWFpbmUtZ292ZXJub3JzLW1hbnNpb24tYmxhbWVkLW9uLWRyaWxsLWJhdHRlcnkvYXJ0aWNsZV9jNjk5OGUzYS1mYWRmLTVkOTctYmI2ZS1jNGUxZDEyMDljNDIuaHRtbNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 14:29:27","AUGUSTA, Maine (AP) — A pickup truck fire and explosion outside the Maine governor's mansion last week was traced to a faulty battery in a cordless drill, officials said.  The unoccupied truck was parked on Chamberlain Street, just feet from the white fence surrounding the Blaine House, when smoke began pouring from the vehicle, followed by flames and a blast on Thursday.  The incident caused some concern because of proximity to the governor's residence. Democratic Gov. Janet Mills was working at her Statehouse office at the time.  No one was injured.  Fire marshal investigators blamed the fire on a lithium-ion battery attached to a cordless drill in the back of the truck, said Shannon Moss, spokesperson for the Maine Department of Public Safety.  The batteries are used in everything from electric vehicles and bicycles to cellphones and computers. While rare, lithium-ion battery fires can be caused by a mechanical defect or being left in hot areas or direct sunlight, Moss said.  In New York, Fire Commissioner Laura Kavanagh said last week that the lithium-ion batteries have caused more than 70 fires this year."
"explosion","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LnRyaWJ1bmVpbmRpYS5jb20vbmV3cy9hbXJpdHNhci9oZXJpdGFnZS1ibGFzdC1leHBsb3NpdmUtdGhyb3dpbmctc2NlbmUtcmVjcmVhdGVkLXdpdGgtYWNjdXNlZC01MDgyMzDSAXBodHRwczovL3d3dy50cmlidW5laW5kaWEuY29tL25ld3MvYW1yaXRzYXIvaGVyaXRhZ2UtYmxhc3QtZXhwbG9zaXZlLXRocm93aW5nLXNjZW5lLXJlY3JlYXRlZC13aXRoLWFjY3VzZWQtNTA4MjMw?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 06:05:00","Tribune News Service  Amritsar, May 15  In the Heritage Street blasts case, the city police recreated a scene of throwing explosives down from the Saragarhi parking lot at Heritage Street near the Golden Temple on Sunday. During this, the police also brought the main accused of the blasts, Azadbir Singh, to the spot. The entire scene was recreated by Azadbir Singh under the supervision of the police. Not only this, the angle from which the photograph was taken was also scrutinised.  Police officials were not allowed to capture the scene for the media. At present, all five accused are being interrogated by the Crime Investigation Agency (CIA).  During the investigation, it was found that before the blast and arrest, Azadbir Singh of Baba Bakala had spent a day in Tarn Taran and Gurdaspur respectively. The police suspect that Azadbir Singh had links with the smugglers involved in cross-border drug smuggling.  The police are also investigating the call details and call locations of Azadbir Singh and Amrik Singh for the last three months to know their links, contacts and area of the movement.  It is worth mentioning here that Azadbir Singh, Amrik Singh, firecracker dealer Sahib Singh alias Saba, Dharminder Singh and Harpreet Singh were arrested by the police for their alleged involvement in the three blasts near the Golden Temple last week. Accused Azadbir Singh and Amarjit Singh along with their two accomplices had bought explosives from firecracker dealer Sahib Singh.  #Golden Temple Amritsar #Saragarhi #Sikhs"
"explosion","2023-05-10","Not Discerned","{""Sunderland"", ""Sunderland"", ""UnitedKingdom""}","https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5zdW5kZXJsYW5kZWNoby5jb20vbmV3cy9wb2xpdGljcy9jb3VuY2lsL3N1bmRlcmxhbmQtZmxhdHMtZGFtYWdlZC1pbi1oYXMtZXhwbG9zaW9uLXNldC10by1iZS1kZW1vbGlzaGVkLXVuZGVyLW5ldy1wbGFucy00MTQzNjA30gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 16:24:00","Sunderland City Council’s planning department has received an application for 44-45 and 48-51 Whickham Street in Sunderland’s Roker area.  The street hit the headlines in 2022 after a gas blast tore through the terrace destroying one property and substantially damaging several others, sparking a huge fire and rescue service response.  Advertisement Hide Ad  Advertisement Hide Ad  The morning after a gas explosion in Whickham Street, Roker.  Following the gas blast, one property was demolished and remaining vacant properties were left standing, however it was acknowledged that the future of the surviving buildings remained uncertain.  An application from housing provider Gentoo is now seeking permission to demolish the remaining terraced dwellings, which had been made up of flats.  Advertisement Hide Ad  Advertisement Hide Ad  Those behind the plans have said repairing the properties would not be feasible.  The planning application from Gentoo reads: “Originally 8 dwellings (4 terraced properties split into 8 flats) were located within the block.  The building as it is today.  “However, following an explosion in February 2022, the additional 2 have since been demolished.  Advertisement Hide Ad  Advertisement Hide Ad  “The remaining properties have been left vacant due to structural issues.  “Demolition is required due to the amount of damage caused to the properties following the explosion.  “Any scheme to remedy the defects to the properties and make good would not be feasible.”  The proposed demolition would be carried out within the boundaries of the site with a controlled dismantling from top to bottom and “demolishing inwards to the centre of site”.  Advertisement Hide Ad  Advertisement Hide Ad  Rubble would also be sorted and where possible recycled, with the site expected to be grassed and surrounded by a small fence.  According to planning documents, no redevelopment or rebuilding is proposed at a later date.  A decision on the planning application will be made once a period of council consultation has concluded.  Information on Sunderland City Council’s website indicates a decision is expected by June 1, 2023.  Advertisement Hide Ad  Advertisement Hide Ad"
"explosion","2023-05-10","Not Discerned","{""Sunderland"", ""Sunderland"", ""UnitedKingdom""}","https://news.google.com/rss/articles/CBMiiwFodHRwczovL3d3dy5zdW5kZXJsYW5kZWNoby5jb20vbmV3cy9wb2xpdGljcy9jb3VuY2lsL3N1bmRlcmxhbmQtZmxhdHMtZGFtYWdlZC1pbi1nYXMtZXhwbG9zaW9uLXNldC10by1iZS1kZW1vbGlzaGVkLXVuZGVyLW5ldy1wbGFucy00MTQzNjA30gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 16:24:00","Sunderland City Council’s planning department has received an application for 44-45 and 48-51 Whickham Street in Sunderland’s Roker area.  The street hit the headlines in 2022 after a gas blast tore through the terrace destroying one property and substantially damaging several others, sparking a huge fire and rescue service response.  Advertisement Hide Ad  Advertisement Hide Ad  The morning after a gas explosion in Whickham Street, Roker.  Following the gas blast, one property was demolished and remaining vacant properties were left standing, however it was acknowledged that the future of the surviving buildings remained uncertain.  An application from housing provider Gentoo is now seeking permission to demolish the remaining terraced dwellings, which had been made up of flats.  Advertisement Hide Ad  Advertisement Hide Ad  Those behind the plans have said repairing the properties would not be feasible.  The planning application from Gentoo reads: “Originally 8 dwellings (4 terraced properties split into 8 flats) were located within the block.  The building as it is today.  “However, following an explosion in February 2022, the additional 2 have since been demolished.  Advertisement Hide Ad  Advertisement Hide Ad  “The remaining properties have been left vacant due to structural issues.  “Demolition is required due to the amount of damage caused to the properties following the explosion.  “Any scheme to remedy the defects to the properties and make good would not be feasible.”  The proposed demolition would be carried out within the boundaries of the site with a controlled dismantling from top to bottom and “demolishing inwards to the centre of site”.  Advertisement Hide Ad  Advertisement Hide Ad  Rubble would also be sorted and where possible recycled, with the site expected to be grassed and surrounded by a small fence.  According to planning documents, no redevelopment or rebuilding is proposed at a later date.  A decision on the planning application will be made once a period of council consultation has concluded.  Information on Sunderland City Council’s website indicates a decision is expected by June 1, 2023.  Advertisement Hide Ad  Advertisement Hide Ad"
"explosion","2023-05-13","Not Discerned","{""Cincinnati"", ""Ohio"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiYGh0dHBzOi8vd3d3Lndsd3QuY29tL2FydGljbGUvcGFyYXNpdGUtcG9wdWxhdGlvbi1leHBsb3Npb24taW5jcmVhc2UtZGlzZWFzZS1wZXRzLXJlZ2lvbi80Mzg5Njk1MNIBZGh0dHBzOi8vd3d3Lndsd3QuY29tL2FtcC9hcnRpY2xlL3BhcmFzaXRlLXBvcHVsYXRpb24tZXhwbG9zaW9uLWluY3JlYXNlLWRpc2Vhc2UtcGV0cy1yZWdpb24vNDM4OTY5NTA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:43:00","Parasite population explosion fuels rapid increase in disease affecting pets in region Share Copy Link Copy  Hide Transcript Show Transcript  THOUSAND PEOPLE DURING THE THREE DAYS. A WARNING FOR PET OWNERS TONIGHT, A DISEASE WAS UNCOMMON IN PETS. A FEW YEARS OR SO AGO IS NOW MAKING A SHARP INCREASE. AND WLWT NEWS 5 BRIAN HAMRICK HAS STORY OF HOW THE SUDDEN MIGRATION OF A PARASITE HAS VETERINARY FANS TELLING PET OWNERS TO BE ON ALERT. WELL, IT’S A PAIR OF SIGHT CAUSING THE PROBLEM AND IT’S CARRYING A DISEASE THAT PETS LIKE TACO HERE DIDN’T HAVE TO WORRY ABOUT A COUPLE OF YEARS AGO. NOW IT’S A CONCERN. IT’S OFF THE LEASH. YOU CAN’T RUN BAY SLUGS OR HIDE. THEY ARE A BLOOD THIRSTY CREATURES. THEY FEED OFF OF BLOOD FROM CREATURE LURKING OUTSIDE OF HORROR FILM FICTION IN THE GREEN PASTURES OF REALITY. THEY LIVE IN GRASS. SO THAT’S WHERE IT CAN BE. ANYWHERE OR IN BACKYARDS, ANYWHERE THE MICRO MONSTERS ARE TICKS. MORE SCARY IS THAT THEY CARRY DISEASE AND THAT THE NUMBER OF CASES IN PETS IS MAKING A DRAMATIC CLIMB. IT’S BEEN PROBABLY ABOUT DOUBLED OR TRIPLED FROM WHERE WE USED TO BE. BUT LAST. DR. BRIDGET WILSON IS A VETERINARY AND OWNER OF THE PET WELLNESS GROUP IN NORTHERN KENTUCKY. SHE SAYS THE NUMBER OF LYME DISEASE CASES IN PETS HAS EXPLODED OVER THE PAST TWO YEARS. IT WAS ALL THE TICKS COMING IN FROM THE NORTHEAST SO IT USED TO BE THOUGHT OF AS A DISEASE UP IN THE NORTHEAST. BUT NOW IT’S COME INTO OUR AREA. THE NUMBER TYPES OF TICKS HAVE INCREASED. NEVER BEFORE SEEN LEVELS IN THIS. DEER TICKS ARE AMONG THE MOST WELL KNOWN, BUT IT’S NOT LIMITED TO THEM OR TO DEEP WOODS. SO YOU’VE GOT RABBITS IN YOUR BACKYARD. YOU HAVE TICKS IN YOUR BACKYARD WHO HAVE RACCOONS, SQUIRRELS, ANYTHING. THE INCREASE TICKS AND LYME DISEASE HAS SO FAST, MANY PET OWNERS ARE UNAWARE IT’S EVEN HERE. YOU KNOW, I KNEW ABOUT LYME DISEASE, BUT I DIDN’T KNOW IT WAS BECOMING SUCH A PROBLEM. PEOPLE HAVE BEEN TALKING ABOUT MORE TICKS THIS YEAR, AND EACH OF HAS HAD A TICK THIS YEAR. SO HOW WILL YOU KNOW IF YOUR PET HAS LYME DISEASE? THE BIGGEST THINGS WITH LYME DISEASE IS JOINTNESS ISSUES. SO IF YOU START LIMPING OR ACTING PAINFUL IN THE JOINTS AND KIDNEY DISEASE WITH KIDNEY DISEASE, PETS, MORE WATER HAVE INCREASED URINATION. YOU MIGHT NOTICE THEY’RE MORE LETHARGIC. THEY CAN BE TREATED WITH ANTIBIOTICS. AND THERE IS A VACCINE. MOST VETS RECOMMEND. BUT AS CHECKS CONTINUE THEIR SEARCH FOR ANY WARM BLOODED HOST, THERE’S SOMETHING ELSE TO CONSIDER. IF A DOG HAS A TICK ON THEM AND DROPS OFF IN THE HOUSE, THEN THE FAMILY’S NOW EXPOSED. MORE REASON TO STAY ALERT FOR THESE VAMPIRES. IF THE VEGETATION. LOOKING FOR THE NEXT MEAL. BRIAN HAMRICK WLWT NEWS 5 WELL, TWO THINGS. ONE FAR MORE IMPORTANT THAN THE OTHER. NUMBER ONE, I’M GLAD THEY GOT THAT INFORMATION OUT THERE. NUMBER TWO, I’LL NEVER GET THE IMAGE OF BRIAN HAMRICK OUT OF MY HEAD WITH TACO, THE DOG STANDING  GET LOCAL BREAKING NEWS ALERTS The latest breaking updates, delivered straight to your email inbox. Your Email Address Submit Privacy Notice"
"explosion","2023-05-13","Not Discerned","{""Copenhagen"", ""Copenhagen"", ""Denmark""}","https://news.google.com/rss/articles/CBMihQFodHRwczovL3d3dy5kYWlseW1haWwuY28udWsvbmV3cy9hcnRpY2xlLTEyMDg1NjcxL015c3RlcmlvdXMtdHJlbW9ycy1yb2NrLURhbmlzaC1pc2xhbmQtQm9ybmhvbG0tbmVhci1Ob3JkLVN0cmVhbS1leHBsb3Npb24tc2l0ZS5odG1s0gGJAWh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9uZXdzL2FydGljbGUtMTIwODU2NzEvYW1wL015c3RlcmlvdXMtdHJlbW9ycy1yb2NrLURhbmlzaC1pc2xhbmQtQm9ybmhvbG0tbmVhci1Ob3JkLVN0cmVhbS1leHBsb3Npb24tc2l0ZS5odG1s?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 14:54:11","A series of minor tremors recorded on the Danish Baltic island of Bornholm close to the site of the damaged Nord Stream gas pipeline has puzzled scientists, who now say they were caused by 'acoustic pressure waves from an unknown source.'  At first the tremors, which were registered on Saturday, were thought to have been caused by earthquakes.  Then, seismologists theorised that they originated from controlled explosions in Poland, almost 90 miles to the south, as part of military exercises.  But they are still not certain of the true origin of the unexplained geological phenomenon.  FILE PHOTO: Gas leak at Nord Stream 2 as seen from the Danish F-16 interceptor on Bornholm, Denmark September 27, 2022  On Monday, the Geological Survey of Denmark and Greenland, an official body that monitors the underground, said the tremors were 'not caused by earthquakes, but by pressure waves from an event in the atmosphere.'  However, they came from 'an unknown source.'  'The seismologists can report that it is unlikely that the tremors originate from a controlled explosion in Poland, which was carried out shortly before the first reports of tremors on Bornholm,' the body known as GEUS said in a statement.  On Saturday, GEUS said it had received 'more than 60' tips from people on Bornholm that 'earthquake-like tremors' - described as a deep rumbling, shaking and rattling, changing pressure in the ear - had been reported in the afternoon on Bornholm.  This map, created shortly after the leaks in the Nord Stream pipeline were detected, shows the location of the Danish island of Bornholm  Police said they too were contacted by members of the public about the tremor on the eastern part of the island.  Danish media reported that the tremors caused a crack in the wall of a house, but no one was hurt.  GEUS said that seismic tremors were measured at a magnitude of 2.3.  Polish authorities have said that there was intensive activity during the Anakonda23 exercise in Ustka, northern Poland, involving jet fighters and live firing of artillery munitions.  GEUS, an independent research and advisory institution within Denmark's Ministry of Climate, Energy and Utilities, said that it had two seismographs on Bornholm that collect data around the clock.  Bornholm, home to nearly 40,000 people, is a rocky island in the Baltic Sea, south of Sweden, northeast of Germany and north of Poland."
"explosion","2023-05-11","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3LmZveG5ld3MuY29tL3VzL3BpY2t1cC10cnVjay1leHBsb3Npb24tb3V0c2lkZS1tYWluZS1nb3Zlcm5vcnMtbWFuc2lvbi1zcGFya2VkLWZhdWx0eS1iYXR0ZXJ5LWNvcmRsZXNzLWRyaWxs0gF7aHR0cHM6Ly93d3cuZm94bmV3cy5jb20vdXMvcGlja3VwLXRydWNrLWV4cGxvc2lvbi1vdXRzaWRlLW1haW5lLWdvdmVybm9ycy1tYW5zaW9uLXNwYXJrZWQtZmF1bHR5LWJhdHRlcnktY29yZGxlc3MtZHJpbGwuYW1w?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:43:00","A pickup truck fire and explosion outside the Maine governor's mansion last week was traced to a faulty battery in a cordless drill, officials said.  The unoccupied truck was parked on Chamberlain Street, just feet from the white fence surrounding the Blaine House, when smoke began pouring from the vehicle, followed by flames and a blast on Thursday.  The incident caused some concern because of proximity to the governor's residence. Democratic Gov. Janet Mills was working at her Statehouse office at the time.  MAINE'S TOP ELECTIONS OFFICIAL ISSUES CEASE-AND-DESIST TO NO LABELS PARTY  No one was injured.  MAINE PETITIONS FEDS TO LET ASYLUM SEEKERS WORK  Fire marshal investigators blamed the fire on a lithium-ion battery attached to a cordless drill in the back of the truck, said Shannon Moss, spokesperson for the Maine Department of Public Safety.  The batteries are used in everything from electric vehicles and bicycles to cellphones and computers. While rare, lithium-ion battery fires can be caused by a mechanical defect or being left in hot areas or direct sunlight, Moss said.  CLICK HERE TO GET THE FOX NEWS APP  In New York, Fire Commissioner Laura Kavanagh said last week that the lithium-ion batteries have caused more than 70 fires this year."
"explosion","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiZ2h0dHBzOi8vd3d3Lm1pZGRsZXRvd25wcmVzcy5jb20vbmV3cy9hcnRpY2xlL2Vhc3QtaGFkZGFtLWV4cGxvc2lvbi1maXJlLXByb3BhbmUtYW1tdW5pdGlvbi0xODEwMDQ0OC5waHDSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 22:32:09","EAST HADDAM — A structure containing hazardous materials such as propane and ammunition caught fire in an explosion Sunday morning, according to local fire officials.  Local firefighters responded to Pine Road around 10:30 a.m. Sunday after the fire was reported to Valley Shore Emergency Communications dispatchers, fire officials said in a Facebook post. Two houses were in close proximity to the burning structure, officials said."
"explosion","2023-05-15","Not Discerned","{""Philadelphia"", ""Pennsylvania"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiS2h0dHBzOi8vNmFiYy5jb20vcGhpbGx5LWZpcmUtcGhpbGFkZWxwaGlhLWNlbnRlci1jaXR5LTEydGgtc3RyZWV0LzEzMjUwNzMwL9IBT2h0dHBzOi8vNmFiYy5jb20vYW1wL3BoaWxseS1maXJlLXBoaWxhZGVscGhpYS1jZW50ZXItY2l0eS0xMnRoLXN0cmVldC8xMzI1MDczMC8?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:00:38","Philadelphia firefighters battled a blaze on top of a high-rise in Center City on Monday.  The video shows smoke rising into the air for a few moments before something on the roof explodes.  PHILADELPHIA (WPVI) -- Philadelphia firefighters battled a blaze on top of a high-rise in Center City on Monday.  Thick, black smoke could be seen coming from a building at 12th and Sansom streets during the noon hour Monday.  A second alarm was called around 1 p.m., and the fire was declared under control a short time later.  The Philadelphia Fire Department said the building is a high-rise residence that is under construction.  The fire involved roofing materials, insulation and propane tanks.  Video from Action News viewer Kelsey Lock shows the fire from across the street.  Tom Spreitzer  It shows the smoke rising into the air for a few moments before a propane tank on the roof explodes.  The Philadelphia Fire Department says about 100 firefighters responded to the scene."
