"topic","date","time","place","url","date published","article text"
"fire","2023-05-13","Not Discerned","{""Falconer"", ""NewYork"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3Lm9ic2VydmVydG9kYXkuY29tL25ld3MvbG9jYWwtcmVnaW9uLzIwMjMvMDUvZmlyZS1pbi1mYWxjb25lci1ibGFtZWQtb24tcGx1Zy1zdHJpcC1mYWlsdXJlL9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 06:27:43","FALCONER — An accidental fire due to a failure in a multi-plug strip is being blamed in a fire Saturday that led to the death of a pet in the village.  Falconer firefighters were dispatched around 6:45 p.m. to 319 Central Ave. for a reported porch fire. An official arrived and confirmed a working blaze at the property, located on the corner of Central and East Mosher Street.  Firefighters from Gerry, Kennedy and Kiantone were requested to the scene. Chautauqua County EMS also responded Saturday.  In a news release, the Chautauqua County Sheriff’s Office said the occupants of the home were not injured; however, one family pet did die as a result of the fire.  Crews left the scene around 11:15 p.m.  A fundraiser (https://gofund.me/10e67afb) has been set up to assist the homeowner. As of Sunday morning, more than $3,500 had been donated."
"fire","2023-05-13","Not Discerned","{""Lincoln"", ""Nebraska"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMirwFodHRwczovL2twaWMuY29tL25ld3MvbG9jYWwvZmlyZS1vbi1saW5jb2xuLWNpdHktYmVhY2gtc2NvcmNoZWQtdGhyZWUtYWNyZXMtcmVtYWlucy11bmRlci1pbnZlc3RpZ2F0aW9uLWlubi1hdC1zcGFuaXNoLWhlYWQtdGFmdC1jb3VudHktZGVwb2UtYmF5LW9yZWdvbi1kZXBhcnRtZW50LW9mLWZvcmVzdHJ50gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 23:20:03","Officials in Lincoln City say the fire that broke out Saturday burned 3 acres.  PAST COVERAGE |    The fire is under investigation by the Oregon State Fire Marshal’s Office and Lincoln City Police.    Police told KATU News on Saturday that several people had been detained, but there is no further information about any arrests.  WATCH: Fire burns on Lincoln City Beach  North Lincoln Fire and Rescue, along with Depoe Bay Fire, and the Oregon Department of Forestry battled the blaze.  Officials with North Lincoln Fire and Rescue say Saturday’s fire is a “Good opportunity to remind everyone to put out all beach fires with water, do not leave them unattended.”"
"fire","2023-05-14","14:00:00","{""Gateway"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vbmJjLTIuY29tL25ld3MvZW52aXJvbm1lbnQvMjAyMy8wNS8xNC9maXZlLWFjcmUtYnJ1c2gtZmlyZS1icmVha3Mtb3V0LWluLWxlZS1jb3VudHkv0gFgaHR0cHM6Ly9uYmMtMi5jb20vbmV3cy9lbnZpcm9ubWVudC8yMDIzLzA1LzE0L2ZpdmUtYWNyZS1icnVzaC1maXJlLWJyZWFrcy1vdXQtaW4tbGVlLWNvdW50eS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 23:07:00","LEE COUNTY, Fla. – A five-acre brush fire broke out behind the water plant in Gateway on Sunday, May 14.  This area is not a danger to the nearby community or roadways, according to South Trail Fire & Rescue District.  Crews are working the hot spots and flare-ups while the dozers cut a fire line.  Additionally, crews will continue to remain on scene to monitor the fire and assist the Florida Forest Service."
"fire","2023-05-14","Not Discerned","{""LasVegas"", ""Nevada"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiUmh0dHBzOi8vd3d3LmFicWpvdXJuYWwuY29tLzI1OTg4MTkvZmlyZS1vZmZpY2lhbHMtbGFzLXR1c2FzLWZpcmUtNjAtY29udGFpbmVkLmh0bWzSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 00:22:48","Crews fighting a wildfire near Las Vegas had the blaze 60% contained by Sunday morning, according to fire officials.  Cooler temperatures, high humidity and cloud cover helped firefighters secure the Las Tusas Fire line throughout the weekend, according to the Incident Management Team assigned to the fire.  The fire started on May 10 and had burned 969 acres by Sunday morning. It started in Sapello, which is 12 miles west of Las Vegas.  There are two hotshot crews, a handcrew, two dozers, eight engines and a helicopter assigned to the fire. Rain is expected in the coming days, and fire officials said it’s likely that fire-fighting resources will decrease throughout the week.  The Hermits Peak/Calf Canyon fire north of Las Vegas last year was the largest fire in state history."
"fire","2023-05-14","13:00:00","{""Sylvania"", ""Ohio"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiTmh0dHBzOi8vd3d3LjEzYWJjLmNvbS8yMDIzLzA1LzE0L3N5bHZhbmlhLWZpcmUtZGVwYXJ0bWVudC1yZXNwb25kcy1ob3VzZS1maXJlL9IBXWh0dHBzOi8vd3d3LjEzYWJjLmNvbS8yMDIzLzA1LzE0L3N5bHZhbmlhLWZpcmUtZGVwYXJ0bWVudC1yZXNwb25kcy1ob3VzZS1maXJlLz9vdXRwdXRUeXBlPWFtcA?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 18:21:00","TOLEDO, Ohio (WTVG) - First responders rescued two family pets after a home in Sylvania caught fire in the early afternoon Sunday.  Firefighters received the structure fire call for a residential building at the 8200 block of Erie Street after a passerby spotted the incident.  According to the Sylvania Fire Department, a person attempted to enter the home to see if anyone was inside but was pushed out by smoke. Crews were not able to identify who the individual was.  Aside from the two pets firefighters retrieved, nobody was inside, however, it is an occupied structure.  See a spelling or grammar error in our story? Please include the title when you click here to report it.  Copyright 2023 WTVG. All rights reserved."
"fire","2023-05-14","06:00:00","{""Carencro"", ""Louisiana"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiWGh0dHBzOi8vd3d3LmthdGMuY29tL25ld3MvbGFmYXlldHRlLXBhcmlzaC9jYXJlbmNyby1sYW5kbWFyay1idXJucy1pbi1lYXJseS1tb3JuaW5nLWZpcmXSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 20:56:59","A landmark in Carencro has been heavily damaged by fire.  Just before 6:00 a.m. on Sunday, May 14, 2023, the Carencro Fire Department responded to a report of a commercial fire at Pelican Park, located at 110 Softball Drive.  Arriving units reported flames and heavy smoke coming from the first floor of the three-story facility.  Carencro Fire Department, with the help of fire departments from Lafayette, Scott, and Duson, were able to bring the fire under control in approximately 30 minutes.  The fire was contained to the concession stand area, causing severe damage. The bar and offices on the upper floors only received minor smoke damage.  However, the extreme heat from the fire on the first floor has compromised the structural integrity of the second floor.  Investigators from the Lafayette Fire Department determined the fire originated in a storage room and was deemed accidental. Fire fighters remained on scene for several hours putting out hotspots.  Carencro Fire Chief, David Mouton, said there were no players or spectators at the park when the fire started and no injuries were reported.  A staff member preparing the park for a softball tournament discovered the fire and attempted to put it out with a fire extinguisher, but was repelled by the intense heat and flames.  Pelican Park will remain closed, and all scheduled tournaments have been canceled until further notice."
"fire","2023-05-14","07:30:00","{""Malden"", ""Massachusetts"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LmJvc3RvbjI1bmV3cy5jb20vbmV3cy9sb2NhbC90aGV5LWRvbnQtaGF2ZS1ob21lLWFueW1vcmUtZmlyZS1mb3JjZXMtY291cGxlLW1hbGRlbi1ob21lL0FaMkFGQkRKNEJDT0JDU09GTU1ZMjIzMkNZL9IBjQFodHRwczovL3d3dy5ib3N0b24yNW5ld3MuY29tL25ld3MvbG9jYWwvdGhleS1kb250LWhhdmUtaG9tZS1hbnltb3JlLWZpcmUtZm9yY2VzLWNvdXBsZS1tYWxkZW4taG9tZS9BWjJBRkJESjRCQ09CQ1NPRk1NWTIyMzJDWS8_b3V0cHV0VHlwZT1hbXA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 04:09:11","MALDEN, Mass — A couple in Malden was forced from their Forest St. home after fire broke out Sunday morning.  “You feel bad for them obviously,” said Malden Fire Chief Stephen Froio. “It’s Mother’s Day and they’re out of their house, they don’t have a home anymore.”  Chief Froio said firefighters were called to the house around 7:30 a.m. When they arrived, both residents were safely out of the house, but much of the home was engulfed in flames.  “There was fire in multiple locations, first and second floor,” Froio said. “It had a good head start.”  A neighbor told Boston 25 News her friend was walking by the house before fire crews arrived and saw flames shooting from the home.  “My friend was walking by at 7 o’clock this morning, she sent me a video of the fire shooting out the left side of the house,” the neighbor said. “The woman [in the video] had her two dogs in a vehicle, and she had disclosed that her cats were still missing.”  Chief Froio said crews had to fight the fire from the outside since it wasn’t safe for them to enter the home.  “It’s a collapse hazard so everybody’s outside pouring water on it,” Froio said. “Just a longer duration fire because of the access problems.”  Firefighters from Everett, Lynn, Medford and Revere helped fight the 2-alarm fire.  The cause of the fire is under investigation.  BREAKING: Firefighters battling a blaze at this single-family home on Forest St. in Malden. Crews on scene tell me everyone got out safely and no one was hurt @boston25 pic.twitter.com/28PGXVzdgZ — Julianne Lima (@JulianneLimaTV) May 14, 2023  This is a developing story. Check back for updates as more information becomes available.  Download the FREE Boston 25 News app for breaking news alerts.  Follow Boston 25 News on Facebook and Twitter. | Watch Boston 25 News NOW  ©2023 Cox Media Group"
"fire","2023-05-13","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vZm94OC5jb20vbmV3cy9yZXNpZGVudHMtdm9pY2UtY29uY2VybnMtYWZ0ZXItcGFybWEtYXBhcnRtZW50LWJ1aWxkaW5nLWZpcmUv0gFXaHR0cHM6Ly9mb3g4LmNvbS9uZXdzL3Jlc2lkZW50cy12b2ljZS1jb25jZXJucy1hZnRlci1wYXJtYS1hcGFydG1lbnQtYnVpbGRpbmctZmlyZS9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 02:54:27","PARMA, Ohio (WJW) – Residents are concerned their home is not safe after a fire broke out on the seventh floor at the Regency Apartments.  The blaze caught many residents off guard on Saturday at 4:23 p.m.  “We almost ignored it,” resident Jessica Hennie said. “We were like, it’s probably just another false alarm. And we were about to just sit there and ignore it again.”  Many residents evacuated the building as the Parma Fire Department worked to extinguish the flames using a ladder tip technique. No injuries have been reported, but some residents are worried that it could have been much worse because the fire alarm system goes off frequently.  “Sometimes you have a lot of kids in here and they don’t have any play area in here for them, so they do things like pull the alarm,” 17-year resident Audray Johnson said.  She’s happy that everyone got out safe, but now is concerned about any potential delayed effects from the fire.  WJW photo  WJW photo  Photo courtesy Parma Fire  Photo courtesy Parma Fire Department  “The ventilation system, and also the smoke and water damage, because we’re above it,” Johnson said. “The fire was above us, and it might come down in the walls.”  The Regency’s management office was closed on Sunday and our request for comment was not made by the time this report was published, But PFD’s public information officer said only one resident ended up being displaced.  “The only people displaced from the fire right now are the actual residents in the affected apartment,” Robert Bures said. “From what we’ve been told everyone else has moved back into their units.”  One resident was packing up to move out after the fire. She declined speaking on camera but said she’s seen enough and is actively breaking her lease due to the conditions and safety concerns compared to the price of her unit.  Other residents are happy no one was injured, and hope management follows up to make sure they are safe.  “Make sure the fire alarms and fire detectors are checked, make sure in case a real fire happens everyone gets out safe, and the elevators work,” Heather Dobson said. “But other than that I think it’s a good place to live.”  PFD said it should know more about what caused the blaze by Friday, once their investigation is complete. It is also grateful to the Brooklyn and Brooklyn Heights Fire Departments for assistance covering ambulance calls while the fire was being controlled."
"fire","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LndhdnkuY29tL25ld3MvbG9jYWwtbmV3cy90aHJlZS1kaXNwbGFjZWQtZm9sbG93aW5nLWZpcmUtb24ta2lsYnktYXZlLWluLXN1ZmZvbGsv0gFgaHR0cHM6Ly93d3cud2F2eS5jb20vbmV3cy9sb2NhbC1uZXdzL3RocmVlLWRpc3BsYWNlZC1mb2xsb3dpbmctZmlyZS1vbi1raWxieS1hdmUtaW4tc3VmZm9say9hbXAv?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 18:10:03","SUFFOLK, Va. (WAVY)– Suffolk Fire and Rescue responded to a fire on Kilby Ave Sunday morning.  Crews were dispatched to the 400 block of Kilby Ave at 6:19 a.m. When crews arrived on scene, they found heavy smoke coming from the second floor of a two-story residential structure.  Crews were able to get the fire under control at 6:38 a.m. The structure has heavy smoke and fire damage to the second floor.  No injuries were reported.  Three adults are displaced and being assisted by the Red Cross.  The cause and origin of the fire are being investigated by the Fire Marshal."
"fire","2023-05-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3LnBhaG9tZXBhZ2UuY29tL25ld3MvY3Jld3MtYmF0dGxlLWp1bmt5YXJkLWZpcmUtaW4tbGFya3N2aWxsZS_SAU1odHRwczovL3d3dy5wYWhvbWVwYWdlLmNvbS9uZXdzL2NyZXdzLWJhdHRsZS1qdW5reWFyZC1maXJlLWluLWxhcmtzdmlsbGUvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en","Sun 14 May 2023 22:21:38","LARKSVILLE, LUZERNE COUNTY (WBRE/WYOU)— Happening in Larksville, emergency crews were on the scene of a fire in Luzerne County which can be seen for miles.  It broke out Sunday afternoon in Larksville and is burning inside a junkyard.  Eyewitness News was there on East Main Street in Larksville in front of the Lark Dijner where smoke was seen billowing from a fire at J-L Junkyard.  Crews are still working to put out this fire which was first reported to be a brush fire but is burning inside J-L Junkyard.  Firefighters were first called around 3:00 p.m. Sunday afternoon for the smoky fire.  Reports indicate crews have been struggling with low water pressure.  They have also had to bring in heavy equipment to separate what’s burning inside the junkyard in order to stop the fire from spreading and to put it out.  We are still waiting to hear about the extent of the damage and the cause of the fire.  In the meantime, police have Route 11 shut down from the Carey Avenue Bridge to Boston Hill Road.  Eyewitness News will have more on the fire as the information comes available to us."
