"topic","date"," time","place","url","date published","article text"
"hurricane","2018-08-25","Not Discerned","{""Miami"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiRmh0dHBzOi8vd3d3Lm9ybGFuZG9zZW50aW5lbC5jb20vMjAyMy8wNS8xNS90aWNrZWQtb2ZmLW5vLXRhYmFzY28tc2F1Y2XSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 16:42:39","To our meteorologists at a local TV channel. A weather impact day – with the little triangle warning on their forecast calendar – is to the most of us living in Florida for a while, at least the arrival of a category three hurricane and not a day with the possibility of a few sea breeze showers, that may not even show up. Some visitors may really be worried when see and hear this.  I’m ticked off that I guess plastic bags are rare. Saw dog poop two places on the sidewalk today. It wasn’t before. C’mon guys!  While stopped at a red light today I noticed that the lady in the next car was squeezing zits on her face and then picked her nose. I am ticked off that I was grossed out while driving and seeing that. Please, that type of stuff should stay at home!  Local television news is unwatchable because of the incessant law firm ads. You know the major offender, don’t you? I’ve learned to record my selected news channel, then return to the channel 15 minutes later, and fast-forward every a"
"hurricane","2017-09-05","Not Discerned","{""FortMyers"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMilAFodHRwczovL3d3dy5mb3g0bm93LmNvbS9uZXdzL2xvY2FsLW5ld3MvbGVlLWNvdW50eS9hZnRlci1pYW4tMTgtcmVzdGF1cmFudHMtcmV0dXJuLXRvLWZvcnQtbXllcnMtYmVhY2gtYXMtc29tZS1sb29rLXRvLW9wZW4tbmV3LWxvY2F0aW9ucy1vZmYtaXNsYW5k0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:39:00","FORT MYERS BEACH, Fla. — On Monday, the Fort Myers Beach restaurant, La Ola, was working to open a second location at the Bell Tower shopping mall in Fort Myers.  “You know with everything going on down at the beach, we were in a temporary situation where we did know what the future holds, before relocating,” said La Ola's owner, Tom Houghton.  While other destroyed beach businesses, like the Zanzibar Greek restaurant, are being discussed as the front runners to lease a new space from the City of Fort Myers.  Back in December, Fox 4 reported that Fort Myers Beach expected about half of the businesses that were there before Hurricane Ian to return in some capacity.  On Monday, Jacki Liszak the Fort Myers Beach Chamber's Executive Director said they now expect more than half of the businesses before Ian to return to the beach. Before Ian, 60 restaurants called Fort Myers Beach home.  La Ola is just one of the 18 restaurants that Liszak said has returned since the storm.  “We are operati"
"hurricane","2023-08-25","22:00:00","{""Miami"", ""Florida"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMimQFodHRwczovL3d3dy5jYnNzcG9ydHMuY29tL25obC92aWRlby9taWtlLW1jY2x1cmUtYW5kLWFsbGFuLWJlbGwtam9pbi1lcmlrLWt1c2VsaWFzLXRvLWdpdmUtdGhlLWJlc3QtYmV0LWZvci10aGUtZ2FtZS1iZXR3ZWVuLXRoZS1odXJyaWNhbmVzLWFuZC1wYW50aGVycy_SAZ0BaHR0cHM6Ly93d3cuY2Jzc3BvcnRzLmNvbS9uaGwvdmlkZW8vbWlrZS1tY2NsdXJlLWFuZC1hbGxhbi1iZWxsLWpvaW4tZXJpay1rdXNlbGlhcy10by1naXZlLXRoZS1iZXN0LWJldC1mb3ItdGhlLWdhbWUtYmV0d2Vlbi10aGUtaHVycmljYW5lcy1hbmQtcGFudGhlcnMvYW1wLw?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 01:12:39","CBS Sports HQ Newsletter Get the best highlights and stories - yeah, just the good stuff handpicked by our team to start your day. I agree to receive the ""CBS Sports HQ Newsletter"" and marketing communications, updates, special offers (including partner offers), and other information from CBS Sports and the Paramount family of companies. By pressing sign up, I confirm that I have read and agree to the Terms of Use and acknowledge Paramount's Privacy Policy See All Newsletters  Please check the opt-in box to acknowledge that you would like to subscribe.  Thanks for signing up! Keep an eye on your inbox."
"hurricane","2018-09-14","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS9uYXRpb25hbC1zZWN1cml0eS8yMDIzLzA1LzE1L2R1cmhhbS1zcGVjaWFsLWNvdW5zZWwtdHJ1bXAtcmVwb3J0Lz9pdGlkPW1yX25hdGlvbmFsJTIwc2VjdXJpdHlfMdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 19:44:47","Listen 7 min Comment on this story Comment Gift Article Share  Special counsel John Durham has issued a long-awaited report that sharply criticizes the FBI for investigating the 2016 Trump campaign based on “raw, unanalyzed, and uncorroborated intelligence” — a conclusion that may fuel rather than end partisan debate about politicization within the Justice Department and FBI. Wp Get the full experience. Choose your plan ArrowRight Durham was tapped in 2019 by President Donald Trump’s attorney general, William P. Barr, to reexamine how government agents hunted for possible links between the Trump campaign and Russian efforts to interfere in the presidential election. The very appointment — of an investigator to reinvestigate the investigators — led to significant criticism from current and former law enforcement officials.  The report, coming almost four years to the day since Durham’s assignment began, will probably be derided by Democrats as the end of a partisan boondoggle. Republic"
"hurricane","2023-10-22","18:00:00","{""Wellington"", ""Wellington"", ""NewZealand""}","https://news.google.com/rss/articles/CBMieGh0dHBzOi8vd3d3LnN0dWZmLmNvLm56L3Nwb3J0L3J1Z2J5L3N1cGVyLXJ1Z2J5LzEzMjA0MzI1NC9mb3JtZXItY2hpZWZzLWNydXNhZGVycy13aW5nLWtpbmktbmFob2xvLXNoaW5lcy1mb3ItaHVycmljYW5lc9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:00:00","The hosts dotted down 11 times in keeping Moana Pasifika winless in Wellington.  After two false starts, former schoolboy sensation Kini Naholo is finally beginning to fulfil his Super Rugby Pacific potential with the Hurricanes.  The Fijian speedster was touted for big things after exploding onto the scene with 40 tries in a single season with the Hastings’ Boys High School First XV.  But injuries and a lack of opportunities restricted the younger brother of former All Blacks star Waisake Naholo to just two appearances across stints with two different Super Rugby teams between 2020 and 2022.  Despite his lack of game time with the Chiefs and Crusaders, Hurricanes coach Jason Holland was willing to take a punt on the 24-year-old winger and look past his injury history.  Naholo tore the anterior cruciate ligament in his knee on his debut with the Chiefs in 2020, but Holland knew he could become a force in Super Rugby so long as he managed his body right and stayed injury free.  Hagen H"
"hurricane","2023-05-01","Not Discerned","{""Raleigh"", ""NorthCarolina"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMihgFodHRwczovL3d3dy5uY2Rwcy5nb3YvbmV3cy9wcmVzcy1yZWxlYXNlcy8yMDIzLzA1LzE1L25jLW9mZmljZS1yZWNvdmVyeS1hbmQtcmVzaWxpZW5jeS1vZmZlcnMtYWRkaXRpb25hbC00Ny1taWxsaW9uLWFmZm9yZGFibGUtaG91c2luZ9IBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 14:04:12","RALEIGH  Comunicado de Prensa en Español  The N.C. Office of Recovery and Resiliency (NCORR) has launched the third phase of the Affordable Housing Development Fund (AHDF) program, which invites local governments to apply for financing for multifamily or single-family housing rehabilitation and new construction outside of the 100-year floodplain. A total of $47 million will be awarded by fall 2023 for housing that increases community resilience. The funds will be used to increase the availability of safe, affordable housing in areas of the state that experienced major damage from hurricanes Matthew and Florence. Most of these areas were already experiencing a housing shortage prior to receiving damage from multiple hurricanes. The award funds will promote rebuilding and replacing some of the lost housing stock.  Funding is available for projects located in any of the federally identified most impacted and distressed (MID) counties, with priority given to six counties that are not curr"
"hurricane","2023-05-17","22:00:00","{""Fredericksburg"", ""Virginia"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vcGF0Y2guY29tL3ZpcmdpbmlhL2ZyZWRlcmlja3NidXJnL21pc3Npbmctc3BvdHN5bHZhbmlhLXRlZW4tbGFzdC1zZWVuLW1heS0xMi1mcmVkZXgtY2xvc3VyZXPSAXRodHRwczovL3BhdGNoLmNvbS92aXJnaW5pYS9mcmVkZXJpY2tzYnVyZy9hbXAvMzEzNzY4MDEvbWlzc2luZy1zcG90c3lsdmFuaWEtdGVlbi1sYXN0LXNlZW4tb24tbWF5LTEyLWZyZWRleC1jbG9zdXJlcw?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 23:01:20","Hi all. It's me, Nicole Fallon-Peek, your host of the Fredericksburg Patch newsletter. Here are all the most important things to know about what's happening locally.  🏘️ Looking to differentiate yourself from other real estate agents in Fredericksburg? Partner with the Fredericksburg Patch and gain access to a targeted, engaged audience through our premium newsletter sponsorships. Click here to learn more.  Here are the top three stories in Fredericksburg today:  Today’s Fredericksburg Patch newsletter is brought to you in part by T-Mobile. T-Mobile has invested billions to light up their best network ever, covering 99% of people in America with LTE, which helps to keep communities like ours informed and connected. We thank T-Mobile for their support and for making today’s Fredericksburg Patch newsletter possible.  Today and tomorrow in and around Fredericksburg:"
"hurricane","2018-10-10","Not Discerned","{""Panama"", ""Panama"", ""Panama""}","https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vd3d3Lm15cGFuaGFuZGxlLmNvbS9oaWxsLXBvbGl0aWNzL3RydW1wLXJlYWN0cy10by1kdXJoYW0tZmJpLXJlcG9ydC1zY2FtbWVkL9IBWGh0dHBzOi8vd3d3Lm15cGFuaGFuZGxlLmNvbS9oaWxsLXBvbGl0aWNzL3RydW1wLXJlYWN0cy10by1kdXJoYW0tZmJpLXJlcG9ydC1zY2FtbWVkL2FtcC8?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 21:33:46","Former President Trump on Monday hailed the findings of Justice Department special counsel John Durham, whose final report after a four-year investigation was deeply critical of the FBI’s investigation into Trump’s 2016 campaign.  “WOW! After extensive research, Special Counsel John Durham concludes the FBI never should have launched the Trump-Russia Probe! In other words, the American Public was scammed, just as it is being scammed right now by those who don’t want to see GREATNESS for AMERICA!” Trump wrote on Truth Social in his first reaction to the 305-page report.  In a subsequent interview with Fox News Digital, Trump called the FBI’s investigation of him a “disgrace” and argued former FBI Director James Comey and others should face consequences.  “I, and much more importantly, the American public, have been victims of this long-running and treasonous charade started by the Democrats — started by Comey,” Trump told the outlet. “There must be a heavy price to pay for putting our "
"hurricane","2017-01-01","Not Discerned","{""Detroit"", ""Michigan"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiU2h0dHBzOi8vdGhlYXRobGV0aWMuY29tLzQ1MTQ3MzYvMjAyMy8wNS8xNS9yZWQtd2luZ3Mtc3RhbmxleS1jdXAta3Jha2VuLWh1cnJpY2FuZXMv0gFZaHR0cHM6Ly90aGVhdGhsZXRpYy5jb20vNDUxNDczNi8yMDIzLzA1LzE1L3JlZC13aW5ncy1zdGFubGV5LWN1cC1rcmFrZW4taHVycmljYW5lcy8_YW1wPTE?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 13:18:14","In the days since this year’s NHL Draft Lottery, when the Red Wings officially found out they’d have the ninth pick in the 2023 draft, this space has focused primarily on answering two major questions: Who Detroit could take with that pick, and how the team’s lack of lottery luck has really affected the franchise through its rebuild.  Advertisement  But in both cases, one question has loomed even larger: Is it still possible for the Red Wings to build a Stanley Cup contender without that lottery win, and the superstar talent it can deliver?  The angst arising from that question has been evident in fans. When Detroit entered this rebuild, the hope, certainly, was to come out of it like the Blackhawks and Penguins had once upon a time emerged from theirs, or like the Avalanche were about to — with a payoff in the form of era-defining superstars who could headline a potential dynasty.  But after seven years picking in the top 10, that vision looks a bit different. By necessity.  The Red "
"hurricane","2023-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiamh0dHBzOi8vd3d3LmVkZi5vcmcvbWVkaWEvZmxvcmlkYXMtb2ZmaWNpYWwtc3RhdGUtZGVzc2VydC1zdHJhd2JlcnJ5LXNob3J0Y2FrZS1zaG9ydGNoYW5nZWQtY2xpbWF0ZS1pbXBhY3TSAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 23:41:05","(MIAMA. FL – May 15, 2023) A new Environmental Defense Fund study illustrates the impacts climate change will have on the $400 million Florida strawberry industry by modeling the mid-century changes in Florida strawberry fields. This report describes and defines four climate and crop models developed by researchers at the University of Florida. Climate adaptation strategies can ensure U.S. farms stay productive in the face of climate change, continuing to support global food needs and rural economies.  “Agriculture has been hard hit by extreme weather in Florida especially, sustaining over one billion in losses from Hurricane Ian in 2022 alone,” said Dawn Shirreffs, Environmental Defense Fund Florida director. “Mid-century climate change will have a big impact on farmers who are growing these delicious red fruits. In Hillsborough County, Florida, where most of the state’s strawberries are grown, growers can anticipate an 11% decline in the crop by 2050, and a 17% decline in early yiel"
