"topic","date"," time","place","url","date published","article text"
"suicide","2017-09-02","Not Discerned","{""Walnut"", ""California"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vOTM5dGhlZWFnbGUuY29tL2NvbHVtYmlhLXBvbGljZS1pbnZlc3RpZ2F0aW5nLXdlZWtlbmQtZGVhdGgtYXQtZG93bnRvd25zLXRhbGxlc3QtcGFya2luZy1nYXJhZ2Uv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 17:04:26","Columbia Police are investigating a weekend falling death at the Fifth and Walnut parking garage downtown. It’s unclear if the man jumped or fell to his death early Saturday afternoon.  A 939 the Eagle News reporter saw the young man standing outside the fence on the top floor, on a ledge facing the post office. Police officers on-scene told us he was on the roof for more than 90 minutes. 939 the Eagle saw at least two CPD crisis negotiators on the rooftop speaking to the man. The man looked down at the ground numerous times and also looked straight up at the sky once. Paramedics were stationed nearby and immediately performed CPR on the man on the street.  The Fifth and Walnut garage is downtown’s largest garage. It has seen at least nine suicides since it opened in 2011.  The city has spent $831,000 on suicide prevention measures since it opened: they finished a $489,000 project to install fencing on the garage’s top level and they also spent $342,000 to install 150 steel window cov"
"suicide","2023-03-31","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9zZWVsb3MtdGhlcmFwZXV0aWNzLXByb3ZpZGVzLWNsaW5pY2FsLXJlcG9ydHMtMTIwMDAwMzM1Lmh0bWzSAWNodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9zZWVsb3MtdGhlcmFwZXV0aWNzLXByb3ZpZGVzLWNsaW5pY2FsLXJlcG9ydHMtMTIwMDAwMzM1Lmh0bWw?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 12:00:00","- Seelos expects to release top-line data in two registrational studies in 2023  NEW YORK, May 15, 2023 /PRNewswire/ -- Seelos Therapeutics, Inc. (Nasdaq: SEEL) (""Seelos""), a clinical-stage biopharmaceutical company focused on the development of therapies for central nervous system disorders and rare diseases, today provided a clinical update and reported its financial results for the first quarter ended March 31, 2023.  ""2023 is the most important year in Seelos' history thus far. Our team has been diligently working to complete the registration directed study of our intranasal ketamine program, SLS-002, and we have notified our trial sites that enrollment will conclude by the end of June 2023. We expect to release top-line data in the third quarter of 2023. Our experienced team feels confident that the design and execution of this trial will allow SLS-002 to demonstrate its true potential of efficacy, safety, and tolerability in patients with MDD at imminent risk of suicide. We stro"
"suicide","2018-01-01","Not Discerned","{""Montclair"", ""California"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMicWh0dHBzOi8vbW9udGNsYWlybG9jYWwubmV3cy9zdHVkZW50cy1mcm9tLW1vbnRjbGFpcnMtZ2xlbmZpZWxkLW1pZGRsZS1zY2hvb2wtcmFpc2UtMjAwMC10by1wcmV2ZW50LWxnYnRxLXN1aWNpZGUv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 13:59:24","Glenfield middle school students helped to raise more than $2,000 for the Trevor Project, a nonprofit that works to prevent suicide among LGBTQ+ youth, with a rally and bake sale on Thursday, May 11, on Church Street in Montclair.  The event, Montclair Stands Up for Trans Youth, was organized by Vi, a transgender seventh grade student at Glenfield. Vi came up with the idea for a rally and bake sale as a project for their upcoming b'nai mitzvah. Vi chose to raise money for the Trevor Project, a life-saving resource for LGBTQ+ young people. Vi's friends from Glenfield Middle School joined to support the project; Glenfield teachers helped get the word out, circulating information about the rally to Glenfield families.  In addition to strong support from Glenfield students, a group of high school students and a group from Vi's synagogue – Shomrei Emunah on Park Street – participated in the rally, said Vi's mom, Debra Caplan, who also shared the announcement on social media. Caplan was sur"
"suicide","2012-01-01","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vbmV3cy5zeXIuZWR1L2Jsb2cvMjAyMy8wNS8xNS9udXJ0dXJpbmctY2hpbGRyZW5zLW1lbnRhbC1oZWFsdGgtZHVyaW5nLXN1bW1lci1icmVhay_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:02:24","Media Tip Sheets  Syracuse University associate professor Matthew Mulvaney provides actionable guidance to parents as children and teenagers head into summer break.  Matthew Mulvaney is a parenting researcher who joined Syracuse University’s Falk College of Sport and Human Dynamics in 2012, following a series of faculty appointments, including a Fulbright fellowship in Cyprus. In both his teaching and his research, he seeks to understand the principles by which parents and families support optimal child development. He has a broad interest in working to enhance teaching in the developmental sciences.  As we head into summer break and May is Mental Health Awareness Month, Professor Mulvaney answered some questions below on the topic. He is available for additional questions and interviews, and you can reach out to Vanessa Marquette, media relations specialist, at vrmarque@syr.edu to schedule.  Q: It’s Mental Health Awareness Month. This article mentions how parenting style can signific"
"suicide","2019-05-11","Not Discerned","{""Portsmouth"", ""Virginia"", ""UnitedStates""}","https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBvcnRzbW91dGguY28udWsvbmV3cy9wZW9wbGUvcG9ydHNtb3V0aC1tYW4td2hvLWVzY2FwZWQtdGFsaWJhbi10d2ljZS1kaWVkLWJ5LXN1aWNpZGUtb24tYTI3LWlucXVlc3QtaGVhcnMtNDE0Mjc4NdIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 23:20:00","An inquest into his death, held at Portsmouth Coroner’s Court on May 11, found that Mr Khan entered the road ‘deliberately’ after years of suffering anxiety, depression and post-traumatic stress disorder (PTSD).  Advertisement Hide Ad  Advertisement Hide Ad  SEE ALSO: Fareham veteran to join commemoration of National Service  Reshad Khan, 29, of Somers Road, Southsea, died on the A27 westbound towards Hilsea.  Born in Afghanistan, Mr Khan moved to Portsmouth when he was 13 years old in a bid to escape the Taliban conflict. Living with his mother and brother, he studied at Miltoncross Academy and later obtained his GCSEs while at college.  The inquest heard that Mr Khan struggled with his mental health – which worsened after returning to Afghanistan in 2021 to reunite with his wife Lima, only to flee the Taliban once again when Kabul was seized.  Advertisement Hide Ad  Advertisement Hide Ad  Written evidence from his family described him as someone who had seen ‘a huge amount of trauma"
"suicide","2023-03-03","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vbGlzdHMvbWVudGFsLWhlYWx0aC1hd2FyZW5lc3MtbW9udGgtbGF0aW4tc29uZ3MtbGlzdC_SAQA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 20:56:56","Latin artists have long addressed mental health issues through their music. In 2017, Juanes joined Logic, Alessia Cara and Khalid for a bilingual version of “1-800-273-8255,” the phone number for the National Suicide Prevention Lifeline. The original song, off Logic’s album Everybody, helped him score his highest charting hit on the Billboard Hot 100, peaking at No. 3. As Juanes told Billboard at the time of his rendition’s release, “I think these days when everything’s about dancing and having a good time, it’s fresh to find a hit song like this one that’s talking about serious issues.”  The following year, Bad Bunny’s “Estamos Bien” quickly became a go-to uplifting anthem, with the superstar posting on social media with its release: “Many times, we’re sad and we don’t know why and it’s simply because we forget about the simple things in life.”  And three years ago, Residente released his poignant autobiographical “René,” on which he talks frankly about depression and dark moments in"
"suicide","2019-05-15","Not Discerned","Not Discerned","https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vbGVocmVuLmNvbS9mZWF0dXJlZC90aGUtdHJvdC1zaW5nZXItaGFlc29vLWRpZWQtYXQtdGhlLWFnZS1vZi0yOS8xNjg3NTcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 07:30:19","A South Korean trot artist, Haesoo, was found dead in her hotel room at the age of 29. At the place where she took her life, the police also found a suicide note that the singer had left. According to some Korean media publications, on May 15th, they received a call from the organiZers who stated that it was difficult to attend because Haesso was scheduled to appear on stage at the Gwanjumyeon People’s Day celebration in Wanju Gun, Jeollabuk-do, on May 20.    The event organisers reported her absence because of her sudden death. After finding the suicide note, police believed that Haesoo had decided to take the drastic step. To prevent frenzy, the administration had decided not to expose the singer’s identity to the general public.    Her fans are shocked by the news of her sudden death. The singer was one of the celebrities who actively talked with her fans through her social media posts. Haesoo made her debut in 2009 with her single “My Life, I Will. She also made her name through h"
"suicide","2023-12-03","Not Discerned","{""U"", ""Pohnpei"", ""Micronesia""}","https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LnJuei5jby5uei9uZXdzL25hdGlvbmFsLzQ4OTk2Ny90ZS13aGF0dS1vcmEtY291bnRpZXMtbWFudWthdS1ibGFtZWQtZm9yLXN1aWNpZGFsLXBhdGllbnQtcy1kZWF0aNIBAA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 08:15:15","Photo: RNZ / Marika Khabazi  A scathing report has found Te Whatu Ora Counties Manukau responsible for the death of a mental health patient in his 30s after a suspected suicide.  The Deputy Health and Disability Commissioner (HDC) found the man was given inadequate care whilst being transferred to another Te Whatu Ora district he recently moved to.  After he was discharged from Middlemore Hospital in 2018, his transfer was seen as insufficient because there was a delay in contacting him.  This was a critical moment missed after Te Whatu Ora Counties Manukau did not follow up with him after an inpatient admission.  Deputy Health and Disability Commissioner, Dr Vanessa Caldwell said Te Whatu Ora Counties Manukau was in breach of right 4(1) of the Code of Health and Disability Services Consumers' Rights for not providing services with reasonable care and skill.  Right 4(5) was also breached for the lack of cooperation between providers to ensure quality and continuity of services.  ""I co"
"suicide","2023-05-16","Not Discerned","{""Alexandria"", ""Alexandria"", ""Egypt""}","https://news.google.com/rss/articles/CBMifWh0dHBzOi8vd3d3LmRpZ2l0YWxqb3VybmFsLmNvbS9wci9uZXdzL2dldG5ld3MvdmV0ZXJhbi13aG8tZmVsdC1zdWljaWRhbC1hZnRlci1sZWF2aW5nLXRoZS1hcm15LW5vdy1zcGVha3Mtb3V0LXRvLWhlbHAtb3RoZXJz0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Tue 16 May 2023 03:47:14","PRESS RELEASE Published May 16, 2023 GetNews  A PR expert and advocate for military veterans has spoken out about the lack of mental health support for those leaving the armed forces.  Olivia Nunn always knew she wanted to follow in her father’s footsteps and join the US Army. Her Korean-American family encouraged her to get an education first so she went to Radford University and was commissioned as an officer after graduation in June 2001.  This was the start of a successful 20-year career where Olivia rose to the rank of Lieutenant-Colonel. But when she decided to leave the army in 2021 to focus on her family, she found herself struggling to cope with adjusting to civilian life, combined with the added stress of an unexpected divorce.  The 44-year-old from Alexandria, Virginia, said: “I thoroughly enjoyed the work I did in the army but there comes a point when you know it is time to hang up your boots. I had my two children later in my career and it was hard to be an amazing soldie"
"suicide","2023-01-26","Not Discerned","{""Winnipeg"", ""Manitoba"", ""Canada""}","https://news.google.com/rss/articles/CBMiUGh0dHBzOi8vd3d3Lm1pcmFnZW5ld3MuY29tL2N1bHR1cmFsLWV4Y2hhbmdlLXRhcmdldHMtaW5kaWdlbm91cy1zdWljaWRlLTEwMDYyMTcv0gEA?oc=5&hl=en-US&gl=US&ceid=US:en","Mon 15 May 2023 08:18:00","Six young Indigenous Australians, including three from WA, will travel to Canada today for a new cultural exchange program focused on suicide prevention and wellbeing.  “”They will come back stronger and wiser… Indigenous youth are our future, and we are delighted to provide this opportunity for them.” Professor Pat Dudgeon, UWA School of Indigenous Studies  The inaugural Anika Indigenous Cultural Exchange, funded by the Anika Foundation and the Poche Centre of Indigenous Health at The University of Western Australia, will enable six participants aged 18 to 30 to spend two weeks in Winnipeg with Canadian First Nations youth and Elders.  They will engage in cultural connection, discussion and knowledge-sharing related to Indigenous suicide prevention and wellbeing, and bring back new learnings to share with their communities.  In Australia the average rate of suicide among Indigenous people is twice as high as that recorded for other Australians. For youth aged 15 to 24, it is 3.5 time"
